statement_id	record_unit_id	visible_owner	source_instruction_chain_de	encoded_master_sequence	rendered_visible_sequence	decoded_master_sequence	decoded_instruction_chain_de	roundtrip_status	complete_local_translation_de
H1-S001	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Wurzel | den Ansatz bereitstellen | davon | Teil | AUFNAHMEFELD_ODER_UMSCHLUSS | laufendes Medium zugießen | Folgeteil | einsetzen | Sollmaß | kleiner Rest	MC071 MC158 MC055 MC086 MC159 MC014 MC069 MC026 MC039 MC108	dchey cthoor char chty os chair otytchol oky daiin etyd	MC071 MC158 MC055 MC086 MC159 MC014 MC069 MC026 MC039 MC108	Wurzel | den Ansatz bereitstellen | davon | Teil | AUFNAHMEFELD_ODER_UMSCHLUSS | laufendes Medium zugießen | Folgeteil | einsetzen | Sollmaß | kleiner Rest	PASS	Die Wurzel der Bildpflanze nehmen, einen Teil im Aufnahmegefäß vorbereiten, Flüssigkeit zugießen, den Folgeteil einsetzen, auf Sollmaß bringen und einen kleinen Rest belassen.
H1-S002	H1	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	den laufenden Posten einsetzen und weiterbearbeiten | zum Folgegang wechseln | weiter | bereit	MC103 MC163 MC153 MC161	qokchy qotchol chol cthy	MC103 MC163 MC153 MC161	den laufenden Posten einsetzen und weiterbearbeiten | zum Folgegang wechseln | weiter | bereit	PASS	Die erste Charge weiterbearbeiten, zum Folgegang wechseln, dort weiterarbeiten und sie als bereit halten.
H2-S001	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	aktueller Auszugsansatz | bereit | Ansatz | die Sollvorbereitung setzen | danach mit diesem Posten weiter | dies | dies | Sollmaß | dies	MC075 MC161 MC080 MC169 MC115 MC123 MC123 MC039 MC123	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	MC075 MC161 MC080 MC169 MC115 MC123 MC123 MC039 MC123	aktueller Auszugsansatz | bereit | Ansatz | die Sollvorbereitung setzen | danach mit diesem Posten weiter | dies | dies | Sollmaß | dies	PASS	Aus dem bereiten Auszugsansatz die nächste Charge ansetzen, danach mit diesem Posten weiterarbeiten und ihn auf Sollmaß bringen.
H2-S002	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Folgeansatz | Ansatz | danach im selben Gang weiter | weiter | derselbe Ansatz | weiter | Sollmaß | davon	MC013 MC080 MC053 MC153 MC157 MC153 MC039 MC055	qotchor chor otol chol cholor chol daiin dar	MC013 MC080 MC053 MC153 MC157 MC153 MC039 MC055	Folgeansatz | Ansatz | danach im selben Gang weiter | weiter | derselbe Ansatz | weiter | Sollmaß | davon	PASS	Den Folgeansatz und den aktiven Ansatz setzen, danach im selben Gang weiterarbeiten, davon eine Sollmenge nehmen und die Folge beibehalten.
H2-S003	H2	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	Gefäß für den Ansatz | Ansatz | Ansatz | dies | die Arbeitsstufe setzen | dies | Zugabemaß	MC027 MC080 MC080 MC123 MC048 MC123 MC087	oykchor shor chor chy kaiiin dy chodaiin	MC027 MC080 MC080 MC123 MC048 MC123 MC087	Gefäß für den Ansatz | Ansatz | Ansatz | dies | die Arbeitsstufe setzen | dies | Zugabemaß	PASS	Im Zubereitungsgefäß den Ansatz in der Bearbeitungsstufe bearbeiten und die vorgeschriebene Zugabemenge einsetzen.
H3-S001	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Kochgut | Sudansatz | auswringen | eine vorgeschriebene Stehzeit einhalten | nachseihen | Klarlauf | kalt stellen; Schluss	MC098 MC049 MC129 MC111 MC156 MC119 MC037	tshol schoal cfhy shfydaiin cphy shey tchody	MC098 MC049 MC129 MC111 MC156 MC119 MC037	Kochgut | Sudansatz | auswringen | eine vorgeschriebene Stehzeit einhalten | nachseihen | Klarlauf | kalt stellen; Schluss	PASS	Aus dem Kochgut einen Sudansatz bilden, auswringen, eine Stehzeit abwarten, nachseihen, den Klarlauf abnehmen und kalt stellen; Schluss.
H3-S002	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	Zugabeteil	MC062	shoyty	MC062	Zugabeteil	PASS	Den weiteren Zugabeteil bereitlegen.
H3-S003	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	vom vorigen Arbeitsgang nehmen | dies | den laufenden Posten bearbeiten | dies | Sollmaß	MC142 MC123 MC117 MC123 MC039	dchol chy kchy dy daiin	MC142 MC123 MC117 MC123 MC039	vom vorigen Arbeitsgang nehmen | dies | den laufenden Posten bearbeiten | dies | Sollmaß	PASS	Vom vorigen Ansatz diesen Posten weiterbearbeiten und auf Sollmaß bringen.
H3-S004	H3	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	zum nächsten Posten wechseln | die Fortsetzung einsetzen | bereit | dies	MC107 MC041 MC161 MC123	qotchy okchol cthy dy	MC107 MC041 MC161 MC123	zum nächsten Posten wechseln | die Fortsetzung einsetzen | bereit | dies	PASS	Zum nächsten Posten wechseln, ihn weiter einsetzen, Bereitschaft prüfen und als aktuellen Posten halten.
H4-S001	H4	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	bemessen | Sollmaß | erste Portion | zweite Portion | ZURUECKNEHMEN__SCHLUSS	MC120 MC039 MC047 MC148 MC100	qokaiin chaiin ykain ykan ody	MC120 MC039 MC047 MC148 MC100	bemessen | Sollmaß | erste Portion | zweite Portion | ZURUECKNEHMEN__SCHLUSS	PASS	Den Ansatz bemessen, auf Sollmaß in eine erste und zweite Portion teilen und abkühlen lassen; Schluss.
