visible_surface	master_card_id	source_instruction_de	master_form	surface_role	read_rule
lchedy	MC155	abführen; Schluss	lchedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
lchy	MC008	Abführgut	lchy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
lcheckhy	MC168	Abführpassage	lcheckhy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
lched	MC127	Abführung	lched	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
lochedy	MC167	Abführung; Schluss	lochedy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
ldy	MC004	abziehen; Schluss	ldy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
lo	MC030	Abzug	lo	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
choy	MC131	aktuelle Zutat	choy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
ycheor	MC075	aktueller Auszugsansatz	ycheor	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
shedal	MC113	am Ziel absetzen	shedal	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
kchal	MC077	an der Zielstelle bearbeiten	kchal	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chor	MC080	Ansatz	chor	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
or	MC080	Ansatz	chor	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
shor	MC080	Ansatz	chor	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
sor	MC080	Ansatz	chor	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
rol	MC016	Anschluss	rol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
okain	MC017	Anteil zugeben	okain	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qokain	MC017	Anteil zugeben	okain	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
chedain	MC145	Anteilstransfer	chedain	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
oiiin	MC033	Arbeitsstufe	oiiin	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
soiiin	MC033	Arbeitsstufe	oiiin	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
ly	MC118	Auffanggefäß	ly	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
os	MC159	AUFNAHMEFELD_ODER_UMSCHLUSS	os	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cheeckhody	MC099	auftragen; Schluss	cheeckhody	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
ls	MC065	Auslass	ls	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cfhy	MC129	auswringen	cfhy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
cheoar	MC085	Auszug aus der Quelle	cheoar	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
chokcheo	MC006	Auszug einsetzen	chokcheo	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
kchoar	MC136	bearbeiteter Quellauszug	kchoar	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
kair	MC023	Beckenlauf	kair	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qokylddy	MC164	befestigen; Schluss	qokylddy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
okaiin	MC120	bemessen	okaiin	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qokaiin	MC120	bemessen	okaiin	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
checthy	MC161	bereit	checthy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
cthy	MC161	bereit	checthy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
shcthy	MC161	bereit	checthy	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
orain	MC072	Bereitungsanteil	orain	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
otal	MC093	danach dorthin	otal	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
qotal	MC093	danach dorthin	otal	REGISTERED_RENDERER_VARIANT	map this visible surface to its unique master card, then read the instruction
otol	MC053	danach im selben Gang weiter	otol	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
qoctholy	MC115	danach mit diesem Posten weiter	qoctholy	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
otchey	MC171	das nächste	otchey	SOLE_SURFACE	map this visible surface to its unique master card, then read the instruction
