world	frequency_degree_gain_bits	topology_only_gain_bits	full_incidence_gain_bits	max_three_gain_bits
0	-50744.400165264044	-33430.743172489201	-69207.143629931510	-33430.743172489201
1	-49676.104497367793	-32179.064301930757	-68987.637331715057	-32179.064301930757
2	-52383.155230871213	-38595.466591748751	-71645.871074728755	-38595.466591748751
3	-49814.195811507205	-32091.389255702139	-68160.925393625599	-32091.389255702139
4	-51020.262102308108	-35824.602598941092	-69693.662814101117	-35824.602598941092
5	-49683.180078957404	-38057.139070970858	-69955.557839888294	-38057.139070970858
6	-50030.723561670733	-33372.349346715579	-70015.323202202140	-33372.349346715579
7	-48614.290521360803	-36470.040513140353	-68941.988258134268	-36470.040513140353
8	-48709.727607865010	-34809.150601495603	-69632.822713323287	-34809.150601495603
9	-50755.054220817838	-35035.923305103643	-70237.416505790621	-35035.923305103643
10	-51745.564139468850	-37993.840853972113	-71862.786450104672	-37993.840853972113
11	-52363.903452837229	-34526.605062699098	-70553.216344789893	-34526.605062699098
12	-50628.817052612729	-34912.667066586007	-68580.801708710336	-34912.667066586007
13	-49989.595528122984	-35545.156175486300	-69101.497644479430	-35545.156175486300
14	-49933.354093416638	-33889.232346965247	-68698.679160448402	-33889.232346965247
15	-50513.377716331895	-35114.622690255768	-69554.341259800160	-35114.622690255768
16	-50200.375351631250	-34993.894201677838	-69903.342554179530	-34993.894201677838
17	-49149.812660533382	-32248.342200108138	-68056.070682767240	-32248.342200108138
18	-47837.501863814781	-33869.918661953569	-67947.992620242090	-33869.918661953569
19	-49997.606318205013	-34207.117056788447	-68356.918841528095	-34207.117056788447
20	-52239.836565836631	-35684.843686181957	-71576.367203680245	-35684.843686181957
21	-50733.843926707159	-33832.981644447660	-68990.595551406746	-33832.981644447660
22	-48763.529520536082	-33381.629159071461	-68696.487630837975	-33381.629159071461
23	-49187.575781512038	-35203.011931891226	-68637.104511091209	-35203.011931891226
24	-51816.629961742772	-33898.583710003229	-71119.301008273294	-33898.583710003229
25	-47319.293536196914	-33617.356258115375	-67209.354633352472	-33617.356258115375
26	-49617.863305351399	-36080.667385846245	-68749.134576568089	-36080.667385846245
27	-51559.165972628609	-37622.867308147601	-72211.740641988974	-37622.867308147601
28	-48428.733429588079	-34510.104972496942	-68398.589884082263	-34510.104972496942
29	-49935.902590425649	-37895.373360206162	-70701.831987308804	-37895.373360206162
30	-48632.324134468610	-33830.231330904971	-68075.577517467551	-33830.231330904971
31	-49481.999677423999	-34236.856793672028	-68296.425753209696	-34236.856793672028
32	-47712.653613812268	-33720.307546756412	-66739.979850243297	-33720.307546756412
33	-51384.422192850288	-36249.009684057637	-71497.209392788165	-36249.009684057637
34	-48478.059921329579	-33219.952326376871	-67691.045326684369	-33219.952326376871
35	-47967.348115439592	-31558.391818966444	-66671.940436338482	-31558.391818966444
36	-53267.572770444094	-34961.630430011392	-71808.282772661623	-34961.630430011392
37	-49523.708043474813	-33164.503734795479	-68204.521536613523	-33164.503734795479
38	-49628.408491720329	-35782.454853282485	-70075.746274423524	-35782.454853282485
39	-50951.492967654762	-34933.828994355557	-68897.322365813554	-34933.828994355557
40	-49697.432147334657	-34601.056096502194	-68974.553085143591	-34601.056096502194
41	-48922.452322528399	-37001.145308508349	-68950.913810650280	-37001.145308508349
42	-49581.733557075764	-33646.672539344443	-68977.861805996654	-33646.672539344443
43	-48001.067349798373	-32697.492701101855	-67094.208039101446	-32697.492701101855
44	-50069.467968809207	-34306.535186164554	-68707.792963295389	-34306.535186164554
45	-50010.728690625161	-34180.408281099728	-67482.235013396552	-34180.408281099728
46	-46686.653849634298	-34439.281752033989	-67509.689006054279	-34439.281752033989
47	-49782.832818458584	-33850.253004669969	-68933.789192023600	-33850.253004669969
48	-50083.733799719208	-32999.750894057455	-68836.499227853987	-32999.750894057455
49	-52383.169190244123	-35309.588779475220	-71894.990783149682	-35309.588779475220
50	-51366.244032707873	-35770.285204213200	-70944.744660909098	-35770.285204213200
51	-49906.846157194799	-35311.268873685221	-70186.981498967405	-35311.268873685221
52	-49890.744200139190	-33492.387493313290	-68336.238168359749	-33492.387493313290
53	-48407.202410170081	-34368.797852572126	-67180.504252956875	-34368.797852572126
54	-50561.064169032936	-34291.941192056081	-70687.993036856584	-34291.941192056081
55	-49342.404946853378	-36409.226769520072	-69039.838616742796	-36409.226769520072
56	-50818.155569961520	-34849.897877864496	-70440.040136915224	-34849.897877864496
57	-51535.749120831082	-34072.100538711267	-69805.414634463392	-34072.100538711267
58	-50488.619142873940	-31180.174904043550	-69030.567416663223	-31180.174904043550
59	-51539.267727252321	-36171.646528048914	-70183.717522127146	-36171.646528048914
60	-51628.552390961420	-35522.188792179368	-70069.421101407075	-35522.188792179368
61	-49143.568674769864	-33133.959608071083	-67415.602319747282	-33133.959608071083
62	-49208.799660349767	-32579.276090956886	-67625.698923763834	-32579.276090956886
63	-51642.777165450054	-34939.223089796949	-70962.643997602863	-34939.223089796949
64	-49395.379672951116	-35935.800996050937	-67686.986997512431	-35935.800996050937
65	-49023.506526174191	-34174.113400657690	-67785.114018550856	-34174.113400657690
66	-51500.863898501593	-33858.740891061418	-70721.316306206150	-33858.740891061418
67	-49117.797906543514	-35384.394265770788	-68685.510606202981	-35384.394265770788
68	-47094.543866241314	-32508.436244044562	-65605.397662163392	-32508.436244044562
69	-51212.170469081648	-34640.952204911642	-69134.793809511844	-34640.952204911642
70	-48886.216088574940	-34095.335804865026	-68849.693720377312	-34095.335804865026
71	-47370.460081801612	-33813.424068365224	-66190.691960258468	-33813.424068365224
72	-52074.876464280023	-37142.799531237550	-71243.442160056627	-37142.799531237550
73	-49355.973851030707	-35065.384890134512	-68152.000081079692	-35065.384890134512
74	-48899.018778914266	-32132.848963281052	-67648.199808696736	-32132.848963281052
75	-50783.079637513511	-34053.848584806859	-69047.699182707307	-34053.848584806859
76	-47506.431015609087	-35005.981133745532	-67176.401276337900	-35005.981133745532
77	-53766.043271439186	-37749.497242873047	-72721.216570460499	-37749.497242873047
78	-53076.032990474087	-35405.564699493712	-72089.853107212562	-35405.564699493712
79	-48330.051673132752	-33739.816113163412	-67708.639174822849	-33739.816113163412
80	-50310.988826577843	-35786.354694289723	-67709.204120597307	-35786.354694289723
81	-51859.169693365191	-36832.007156953390	-72474.142197343666	-36832.007156953390
82	-49981.725848514056	-35029.054176199286	-70136.440583398668	-35029.054176199286
83	-50753.084329233221	-34467.645428559925	-70137.096306118241	-34467.645428559925
84	-50337.684188316889	-36851.362233392894	-69399.515151838335	-36851.362233392894
85	-47564.357601916417	-31946.400442970880	-66764.101836971633	-31946.400442970880
86	-49391.854039271238	-35042.423524782207	-67864.525237226160	-35042.423524782207
87	-51637.862401956758	-34322.660854869064	-69219.397029838743	-34322.660854869064
88	-51736.419062547080	-36997.284941771861	-70822.575522971762	-36997.284941771861
89	-49328.651641521770	-34187.516322553834	-67560.250138136544	-34187.516322553834
90	-50628.762083139482	-35384.393195484183	-70438.685397012363	-35384.393195484183
91	-49138.287251284324	-35411.302492487841	-68198.574680126476	-35411.302492487841
92	-48214.025259079237	-31738.418706138189	-66160.165150234650	-31738.418706138189
93	-51208.210550511554	-34479.625605892339	-69612.784485206430	-34479.625605892339
94	-49554.772150915451	-33447.650561103110	-68207.851771702641	-33447.650561103110
95	-51026.267109268927	-37462.227609458001	-70522.090994593949	-37462.227609458001
96	-49966.984360323258	-32289.565364510490	-68155.165067459180	-32289.565364510490
97	-50816.125865415321	-34074.762089178126	-70227.879212542699	-34074.762089178126
98	-50547.110081994244	-34847.920117113907	-69847.668688864491	-34847.920117113907
99	-51090.691149730643	-35301.755723320661	-69807.014234325776	-35301.755723320661
100	-48807.700270986301	-31686.426133875961	-66936.420306174739	-31686.426133875961
101	-49964.247235873969	-33408.797342110316	-69341.815496529831	-33408.797342110316
102	-49468.337529155964	-35323.254385455955	-69050.945098001888	-35323.254385455955
103	-51018.091708862725	-35940.415525385695	-72118.480719194238	-35940.415525385695
104	-50459.201108278881	-33723.538699753924	-69071.517903549218	-33723.538699753924
105	-48425.741182688165	-35283.998663101615	-68449.176872074808	-35283.998663101615
106	-51981.638748113917	-35600.013871048803	-72068.530316250632	-35600.013871048803
107	-49507.298553941931	-34203.517391001449	-69426.605826865722	-34203.517391001449
108	-46848.140406258288	-34761.688522937045	-66698.541565794585	-34761.688522937045
109	-48944.175732615826	-35978.580810799271	-69127.488274162839	-35978.580810799271
110	-50367.052173668213	-36237.825113806881	-70435.032135482732	-36237.825113806881
111	-49201.540191491549	-34151.637456488119	-67465.651548399896	-34151.637456488119
112	-48199.191933841663	-35840.467987185286	-67654.226165093554	-35840.467987185286
113	-50167.662787918067	-34237.602223997412	-68302.412620178948	-34237.602223997412
114	-50586.547885600667	-34245.029977753358	-68477.968853155820	-34245.029977753358
115	-50498.627329568990	-35440.449481367563	-70382.172393510569	-35440.449481367563
116	-52121.688452842507	-34283.523435486022	-71222.097974665157	-34283.523435486022
117	-49810.097642088062	-35209.539063606040	-68274.774444293580	-35209.539063606040
118	-50788.826196903734	-34658.074446860061	-71001.251316306996	-34658.074446860061
