dataset	collection	records	full_units	opaque_types	sampled_units	role_counts_json	raw_forms_exported
COREMA	b4	271	5010	654	5010	"{""CLOSER"": 161, ""INGREDIENT"": 2205, ""OPENER"": 35, ""OPERATION"": 2261, ""TOOL"": 348}"	NO
COREMA	b6	34	594	214	594	"{""CLOSER"": 7, ""INGREDIENT"": 236, ""OPENER"": 25, ""OPERATION"": 275, ""TOOL"": 51}"	NO
COREMA	br1	45	1037	228	1037	"{""CLOSER"": 37, ""INGREDIENT"": 396, ""OPENER"": 44, ""OPERATION"": 444, ""TOOL"": 116}"	NO
COREMA	bs1	269	5376	666	5376	"{""CLOSER"": 97, ""INGREDIENT"": 2269, ""OPENER"": 265, ""OPERATION"": 2250, ""TOOL"": 495}"	NO
COREMA	gr1	254	5520	723	5520	"{""CLOSER"": 140, ""INGREDIENT"": 2179, ""OPENER"": 235, ""OPERATION"": 2442, ""TOOL"": 524}"	NO
COREMA	w1	263	4857	676	4857	"{""CLOSER"": 162, ""INGREDIENT"": 2126, ""OPENER"": 29, ""OPERATION"": 2199, ""TOOL"": 341}"	NO
NUREMBERG	Band2	465	59418	5240	8074	"{""ADDRESSEE"": 2254, ""CONTENT"": 56344, ""OTHER"": 820}"	NO
NUREMBERG	Band3	1063	134290	7897	11741	"{""ADDRESSEE"": 4785, ""CONTENT"": 127549, ""OTHER"": 1956}"	NO
NUREMBERG	Band4	556	74556	5255	9107	"{""ADDRESSEE"": 2934, ""CONTENT"": 70449, ""OTHER"": 1173}"	NO
NUREMBERG	Band5	1091	153456	7998	11543	"{""ADDRESSEE"": 6027, ""CONTENT"": 145886, ""OTHER"": 1543}"	NO
