held_folio	register	joint_tuple_id	training_occurrences	training_frequency_bin	training_folios	held_records	anonymous_class	anonymous_class_probability	hits	trials	p_register_frequency	p_comparator_class	p_exact_tuple	semantic_state	translation_state
f10	HERBAL_A	2f1c5e56e8f0ff459065	428	16_PLUS	83	3	C2	0.696066925332	28	34	0.662801643222	0.764032076149	0.766245534282	UNASSIGNED	UNASSIGNED
f10	HERBAL_A	4d4559019a961b834aa1	173	16_PLUS	57	2	C1	0.472477547121	18	24	0.662801643222	0.674402501958	0.709568426498	UNASSIGNED	UNASSIGNED
f10	HERBAL_A	834825c61d048a6b5628	59	16_PLUS	35	2	C4	0.670834538221	20	24	0.662801643222	0.638903848385	0.658506909202	UNASSIGNED	UNASSIGNED
f10	HERBAL_A	dcda95c81a5460feb191	410	16_PLUS	80	2	C2	0.544081435891	19	24	0.662801643222	0.764032076149	0.760952777199	UNASSIGNED	UNASSIGNED
f10	HERBAL_A	e0b630cb1b5df5e7105b	97	16_PLUS	49	3	C4	0.577544784927	26	34	0.662801643222	0.638903848385	0.693991808132	UNASSIGNED	UNASSIGNED
f100	OTHER_A	2f1c5e56e8f0ff459065	433	16_PLUS	83	2	C2	0.704031885395	16	20	0.629497165158	0.732425866649	0.755953400470	UNASSIGNED	UNASSIGNED
f100	OTHER_A	642b2bc11b535d949c84	13	8_15	11	2	C4	0.775284875236	9	20	0.452766963991	0.454102272283	0.507587020877	UNASSIGNED	UNASSIGNED
f100	OTHER_A	d904bf7b044dd3922781	25	16_PLUS	20	2	C1	0.562854597646	8	20	0.629497165158	0.658936416654	0.567266288688	UNASSIGNED	UNASSIGNED
f100	OTHER_A	dcda95c81a5460feb191	408	16_PLUS	80	2	C2	0.546947909445	16	20	0.629497165158	0.732425866649	0.722625450754	UNASSIGNED	UNASSIGNED
f102	OTHER_A	33026b63f2d3add2e7ad	4	4_7	4	2	C1	0.732328710442	6	32	0.382274481354	0.381602524792	0.382274481354	UNASSIGNED	UNASSIGNED
f102	OTHER_A	43eb9aa12959b4d5cdc9	5	4_7	4	2	C4	0.672844143933	6	18	0.382274481354	0.383180557536	0.382274481354	UNASSIGNED	UNASSIGNED
