order	event_id	locus	statement_id	surface	joint_tuple_id	selected_small_value_de	process_phase
1	E039	f11r.1	H3-S001	tshol	953ad19b79517fc8a211	Blütenkraut	SEPARATION_CHAIN
2	E040	f11r.1	H3-S001	schoal	428a5e3662aa57b4b256	Sud	SEPARATION_CHAIN
3	E041	f11r.1	H3-S001	cfhy	bdad9f9ea8b80f141496	auswringen	SEPARATION_CHAIN
4	E042	f11r.1	H3-S001	shfydaiin	a8af08e69edab8e54f15	Standzeit	SEPARATION_CHAIN
5	E043	f11r.1	H3-S001	cphy	deb377381ceaf55ea310	nachseihen	SEPARATION_CHAIN
6	E044	f11r.1	H3-S001	shey	b5df9126607030b95175	Klarauszug	SEPARATION_CHAIN
7	E045	f11r.1	H3-S001	tchody	2e2027b1951d79911e24	abkühlen; Schluss	SEPARATION_CHAIN
8	E046	f11r.1	H3-S002	shoyty	577c03a928d674d420d7	Reserve setzen	RESERVE
9	E047	f11r.4	H3-S003	dchol	d665560c8ff80799a82c	Fortsetzung	SECOND_PRODUCT
10	E048	f11r.4	H3-S003	chy	b921a237be883a820352	dies	SECOND_PRODUCT
11	E049	f11r.4	H3-S003	kchy	b2812c8283c3a62438bd	Trank	SECOND_PRODUCT
12	E050	f11r.4	H3-S003	dy	b921a237be883a820352	dies	SECOND_PRODUCT
13	E051	f11r.4	H3-S003	daiin	2f1c5e56e8f0ff459065	Mass	SECOND_PRODUCT
14	E052	f11r.7	H3-S004	qotchy	a48efd6c4491a046ba78	Reserve nehmen	RESERVE
15	E053	f11r.7	H3-S004	okchol	322281bd391aa621f568	Fortsetzung einsetzen	SECOND_PRODUCT
16	E054	f11r.7	H3-S004	cthy	e0b630cb1b5df5e7105b	bereit	SECOND_PRODUCT
17	E055	f11r.7	H3-S004	dy	b921a237be883a820352	dies	SECOND_PRODUCT
