surface	candidate_rank	selected_primary	source_prior_order	role_id	historical_expression	working_candidate_de	placement_fit_score_0_100	placement_fit_basis	source_ids	historical_source_count	candidate_evidence	counterevidence	exact_whole_only	eva_spelling_used	component_export_credit	confirmed_lexeme
pchor	1	1	1	RECIPE_OPENING	Recipe / Accipe / Take	nimm	72.714286	Absatzanfang + vollständiger Inhalts/Mengen/Vorgangs-Körper	HF001|HF002	2	6/7 initial occurrences open a paragraph and 3/7 carry the full recipe-body triad; top triad-rate initial whole.	Paragraph opening can also be an indication or entry heading; three global occurrences are not line-initial.	1	0	0	0
pchor	2	0	3	ENTRY_HEADING	Preparatio	Zubereitung / Rezept	71.928571	Absatzanfang + sektional konzentrierter Inhalts/Qualitäts-Körper	HF005	1	Paragraph opening permits a recipe or preparation rubric.	Bodies are varied and do not identify a preparation noun.	1	0	0	0
pchor	3	0	2	INDICATION_OPENING	For / Ad / Contra	für / gegen	69.857143	Absatzanfang, herbaler Schwerpunkt und kein Zwang zu vollständigem Rezeptkörper	HF004	1	Strong paragraph-opening geometry and four Herbal initial occurrences.	Cross-section distribution and high triad rate are less specific to an ailment heading.	1	0	0	0
ychor	1	1	1	ITEM_CONTINUATION	Item	ferner / ebenso	72.307692	interne Zeile + Rezeptkörper + hohe Anfangsreinheit	HF002|HF003	2	13/13 exact occurrences are line-initial, 0/13 paragraph-initial, with 4/13 full recipe triads.	Three paragraph-final cases and mixed descriptive bodies leave a process or Item-take rival.	1	0	0	0
ychor	2	0	2	ITEM_PLUS_COMMAND	Item take	ferner: nimm	69.307692	wie Item-Fortsetzung, mit Spezifitätsabzug für zwei Bedeutungen in einer Form	HF002|HF003	2	Period sources directly attest Item plus take and the body often has recipe slots.	Two spoken functions in one target whole are less economical.	1	0	0	0
ychor	3	0	3	RECIPE_OPENING	Recipe / Accipe	nimm	31.538462	Absatzanfang + vollständiger Inhalts/Mengen/Vorgangs-Körper	HF001|HF002	2	Recipe command was the preceding lead and remains practical in prescriptive lines.	Zero of thirteen occurrences opens a coded paragraph.	1	0	0	0
polaiin	1	1	1	ENTRY_HEADING	Preparatio / recipe heading	Zubereitung / Rezept	86.696429	Absatzanfang + sektional konzentrierter Inhalts/Qualitäts-Körper	HF005	1	7/7 initial occurrences open a paragraph; five are in section S and the bodies mix content, process and quality.	Could instead be a section-specific indication or command; no noun is identified.	1	0	0	0
polaiin	2	0	2	RECIPE_OPENING	Recipe / Accipe	nimm	68.750000	Absatzanfang + vollständiger Inhalts/Mengen/Vorgangs-Körper	HF001|HF002	2	All initial uses open paragraphs and 2/7 have full recipe triads.	No Herbal initial use and strong section-S concentration weaken a universal take command.	1	0	0	0
polaiin	3	0	3	INDICATION_OPENING	For / Ad / Contra	für / gegen	67.321429	Absatzanfang, herbaler Schwerpunkt und kein Zwang zu vollständigem Rezeptkörper	HF004	1	Absolute paragraph-opening purity fits a topic or purpose header.	Zero Herbal initial uses and no disease slot independently identifies an indication.	1	0	0	0
pol	1	1	1	ENTRY_HEADING	Preparatio / entry	Zubereitung / Eintrag	67.237762	Absatzanfang + sektional konzentrierter Inhalts/Qualitäts-Körper	HF005	1	7/11 initial occurrences open paragraphs, with six Biology and three Stars lines and 9/11 quality bodies.	Four internal lines and two paragraph-final lines show that the role is not a pure heading.	1	0	0	0
pol	2	0	2	INDICATION_OPENING	For / Ad / Contra	für / gegen	53.006993	Absatzanfang, herbaler Schwerpunkt und kein Zwang zu vollständigem Rezeptkörper	HF004	1	Paragraph-opening majority permits a purpose or topical header.	Only one initial occurrence is Herbal; no independent disease slot.	1	0	0	0
pol	3	0	3	RECIPE_OPENING	Recipe / Accipe	nimm	51.188811	Absatzanfang + vollständiger Inhalts/Mengen/Vorgangs-Körper	HF001|HF002	2	Three recipe-triad bodies and four process-bearing bodies keep a command live.	Only 7/11 initial uses open paragraphs and the quality-heavy bodies can be descriptive.	1	0	0	0
ycheol	1	1	1	PROCESS_CONTINUATION	deinde	danach	73.750000	interne, nicht überwiegend finale Zeile mit Vorgangs-/Qualitätskörper	HF006	1	8/8 occurrences are line-initial, 0/8 paragraph-initial and only 2/8 paragraph-final; bodies often carry quality.	Only 2/8 bodies have an independent process slot; Item remains possible.	1	0	0	0
ycheol	2	0	2	ITEM_CONTINUATION	Item	ferner	68.750000	interne Zeile + Rezeptkörper + hohe Anfangsreinheit	HF002|HF003	2	Perfect line-initial purity and universal paragraph-internal placement fit an additional item.	Two paragraph-final uses and low recipe-triad count weaken a pure Item marker.	1	0	0	0
ycheol	3	0	3	CLOSURE_FORMULA	custodiatur / preservari	zum Schluss	60.000000	interne Zeile mit starkem Absatzendgewicht	HF007	1	Two of eight initial uses end a paragraph.	Six of eight do not end a paragraph.	1	0	0	0
