exact_card_id	component_recipe	target_hand	line_first	prev_dy	preferred_surface	surface_counts	support_events
PROC003	AR	HAND_1	0	0	char	char:1,dar:1	2
PROC003	AR	HAND_2	0	0	char	char:1,dar:1,sar:1	3
PROC004	T+Y	HAND_1	0	0	chty	chty:1	1
PROC004	T+Y	HAND_2	0	0	chety	chety:1	1
PROC008	OK+Y	HAND_1	0	0	choky	choky:2,oky:1	3
PROC008	OK+Y	HAND_2	0	0	qoky	qoky:5	5
PROC008	OK+Y	HAND_2	0	1	qoky	qoky:2	2
PROC009	AIIN	HAND_1	0	0	daiin	daiin:5,taiin:1	6
PROC009	AIIN	HAND_2	0	0	daiin	aiin:2,chaiin:1,daiin:4,saiin:1	8
PROC009	AIIN	HAND_2	0	1	aiin	aiin:1,daiin:1	2
PROC009	AIIN	HAND_2	1	0	saiin	daiin:1,saiin:3	4
PROC013	OL	HAND_1	0	0	chol	chol:3	3
PROC013	OL	HAND_2	0	0	ol	cheol:1,ol:8,qol:2,tol:1	12
PROC013	OL	HAND_2	0	1	qol	qol:1,sol:1	2
PROC013	OL	HAND_2	1	0	sol	sol:2	2
PROC014	CTH+Y	HAND_1	0	0	cthy	cthy:3	3
PROC014	CTH+Y	HAND_2	0	0	checthy	checthy:2,shcthy:2	4
PROC016	OR	HAND_1	0	0	chor	chor:3,shor:1	4
PROC016	OR	HAND_2	0	0	or	or:1	1
PROC016	OR	HAND_2	1	0	or	or:1,sor:1	2
PROC019	Y	HAND_1	0	0	dy	chy:3,dy:4,shy:1	8
PROC019	Y	HAND_2	0	0	chey	chey:5,dy:1,sy:1,y:1	8
PROC019	Y	HAND_2	0	1	chey	chey:2	2
PROC022	OL+OR	HAND_1	0	0	cholor	cholor:1	1
PROC022	OL+OR	HAND_2	1	0	olor	olor:1	1
PROC031	SH+EE+Y	HAND_1	0	0	shey	shey:1	1
PROC031	SH+EE+Y	HAND_2	0	0	cheey	cheey:1,shey:1	2
PROC031	SH+EE+Y	HAND_2	1	0	cheey	cheey:1	1
PROC055	AL	HAND_1	0	0	dal	dal:1	1
PROC055	AL	HAND_2	0	0	dal	al:1,dal:2,tal:1	4
PROC055	AL	HAND_2	0	1	chal	chal:1,cheal:1,dal:1,sal:1	4
PROC055	AL	HAND_2	1	0	dal	dal:1	1
PROC065	OT+Y	HAND_1	1	0	otchey	otchey:1	1
PROC065	OT+Y	HAND_2	1	0	otchey	otchey:1	1
