exact_card_id	component_recipe	target_hand	default_surface	all_attested_surfaces	events	instruction
PROC003	AR	HAND_1	char	char,dar	2	use context row when available; otherwise use this default
PROC003	AR	HAND_2	char	char,dar,sar	3	use context row when available; otherwise use this default
PROC004	T+Y	HAND_1	chty	chty	1	use context row when available; otherwise use this default
PROC004	T+Y	HAND_2	chety	chety	1	use context row when available; otherwise use this default
PROC008	OK+Y	HAND_1	choky	choky,oky	3	use context row when available; otherwise use this default
PROC008	OK+Y	HAND_2	qoky	qoky	7	use context row when available; otherwise use this default
PROC009	AIIN	HAND_1	daiin	daiin,taiin	6	use context row when available; otherwise use this default
PROC009	AIIN	HAND_2	daiin	aiin,chaiin,daiin,saiin	14	use context row when available; otherwise use this default
PROC013	OL	HAND_1	chol	chol	3	use context row when available; otherwise use this default
PROC013	OL	HAND_2	ol	cheol,ol,qol,sol,tol	16	use context row when available; otherwise use this default
PROC014	CTH+Y	HAND_1	cthy	cthy	3	use context row when available; otherwise use this default
PROC014	CTH+Y	HAND_2	checthy	checthy,shcthy	4	use context row when available; otherwise use this default
PROC016	OR	HAND_1	chor	chor,shor	4	use context row when available; otherwise use this default
PROC016	OR	HAND_2	or	or,sor	3	use context row when available; otherwise use this default
PROC019	Y	HAND_1	dy	chy,dy,shy	8	use context row when available; otherwise use this default
PROC019	Y	HAND_2	chey	chey,dy,sy,y	10	use context row when available; otherwise use this default
PROC022	OL+OR	HAND_1	cholor	cholor	1	use context row when available; otherwise use this default
PROC022	OL+OR	HAND_2	olor	olor	1	use context row when available; otherwise use this default
PROC031	SH+EE+Y	HAND_1	shey	shey	1	use context row when available; otherwise use this default
PROC031	SH+EE+Y	HAND_2	cheey	cheey,shey	3	use context row when available; otherwise use this default
PROC055	AL	HAND_1	dal	dal	1	use context row when available; otherwise use this default
PROC055	AL	HAND_2	dal	al,chal,cheal,dal,sal,tal	9	use context row when available; otherwise use this default
PROC065	OT+Y	HAND_1	otchey	otchey	1	use context row when available; otherwise use this default
PROC065	OT+Y	HAND_2	otchey	otchey	1	use context row when available; otherwise use this default
