pair_id	side	physical_folio	page	stratum_id	source_locus	normalized_code	object_tags	readings
f68r1|@Ls|STAR_OR_SKY;LABEL|P01	A	f68	f68r1	f68r1|@Ls|STAR_OR_SKY;LABEL	f68r1.9	@Ls	STAR_OR_SKY;LABEL	IT2a;RF1b;ZL3b
f68r1|@Ls|STAR_OR_SKY;LABEL|P01	B	f68	f68r1	f68r1|@Ls|STAR_OR_SKY;LABEL	f68r1.8	@Ls	STAR_OR_SKY;LABEL	IT2a;RF1b;ZL3b
f88r|@Lc|LABEL|P01	A	f88	f88r	f88r|@Lc|LABEL	f88r.12	@Lc	LABEL	IT2a;RF1b;ZL3b
f88r|@Lc|LABEL|P01	B	f88	f88r	f88r|@Lc|LABEL	f88r.1	@Lc	LABEL	IT2a;RF1b;ZL3b
f89r2|@Lf|PLANT;LABEL|P01	A	f89	f89r2	f89r2|@Lf|PLANT;LABEL	f89r2.19	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f89r2|@Lf|PLANT;LABEL|P01	B	f89	f89r2	f89r2|@Lf|PLANT;LABEL	f89r2.34	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P01	A	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.3	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P01	B	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.21	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P02	A	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.4	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P02	B	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.23	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P03	A	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.6	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P03	B	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.24	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P04	A	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.8	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P04	B	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.25	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P05	A	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.26	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P05	B	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.9	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P06	A	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.11	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P06	B	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.38	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P07	A	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.40	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99r|@Lf|PLANT;LABEL|P07	B	f99	f99r	f99r|@Lf|PLANT;LABEL	f99r.39	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99v|@Lf|PLANT;LABEL|P01	A	f99	f99v	f99v|@Lf|PLANT;LABEL	f99v.20	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f99v|@Lf|PLANT;LABEL|P01	B	f99	f99v	f99v|@Lf|PLANT;LABEL	f99v.6	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f100r|@Lf|PLANT;LABEL|P01	A	f100	f100r	f100r|@Lf|PLANT;LABEL	f100r.19	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f100r|@Lf|PLANT;LABEL|P01	B	f100	f100r	f100r|@Lf|PLANT;LABEL	f100r.18	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f102v1|@Lf|PLANT;LABEL|P01	A	f102	f102v1	f102v1|@Lf|PLANT;LABEL	f102v1.2	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f102v1|@Lf|PLANT;LABEL|P01	B	f102	f102v1	f102v1|@Lf|PLANT;LABEL	f102v1.3	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f102v1|@Lf|PLANT;LABEL|P02	A	f102	f102v1	f102v1|@Lf|PLANT;LABEL	f102v1.16	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f102v1|@Lf|PLANT;LABEL|P02	B	f102	f102v1	f102v1|@Lf|PLANT;LABEL	f102v1.18	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f102v2|@Lf|PLANT;LABEL|P01	A	f102	f102v2	f102v2|@Lf|PLANT;LABEL	f102v2.7	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f102v2|@Lf|PLANT;LABEL|P01	B	f102	f102v2	f102v2|@Lf|PLANT;LABEL	f102v2.4	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f102v2|@Lf|PLANT;LABEL|P02	A	f102	f102v2	f102v2|@Lf|PLANT;LABEL	f102v2.29	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
f102v2|@Lf|PLANT;LABEL|P02	B	f102	f102v2	f102v2|@Lf|PLANT;LABEL	f102v2.5	@Lf	PLANT;LABEL	IT2a;RF1b;ZL3b
