damage_id	intended_case	damage_kind	removed_cards	removed_surfaces	remaining_surface_fragment	remaining_card_fragment	remaining_cards	old_single_cue_selector	old_selector_correct
C1_PRIMARY_CUE_REMOVED	C1	PRIMARY_CUE_REMOVED	PROC005	os	qokaiin lsho qokal shey shedy	PROC038|PROC084|PROC048|PROC031|PROC078	5	UNRESOLVED	NO
C1_FULL_CUE_FAMILY_REMOVED	C1	FULL_CUE_FAMILY_REMOVED	PROC005	os	qokaiin lsho qokal shey shedy	PROC038|PROC084|PROC048|PROC031|PROC078	5	UNRESOLVED	NO
C2_PRIMARY_CUE_REMOVED	C2	PRIMARY_CUE_REMOVED	PROC014	cthy	cthaiin qoctholy ches qokal qokeeedy	PROC017|PROC018|PROC124|PROC048|PROC119	5	UNRESOLVED	NO
C2_FULL_CUE_FAMILY_REMOVED	C2	FULL_CUE_FAMILY_REMOVED	PROC014|PROC017|PROC018	cthy|cthaiin|qoctholy	ches qokal qokeeedy	PROC124|PROC048|PROC119	3	UNRESOLVED	NO
C3_PRIMARY_CUE_REMOVED	C3	PRIMARY_CUE_REMOVED	PROC028	cfhy	cphy qokaiin qokal shey shedy	PROC030|PROC038|PROC048|PROC031|PROC078	5	UNRESOLVED	NO
C3_FULL_CUE_FAMILY_REMOVED	C3	FULL_CUE_FAMILY_REMOVED	PROC028	cfhy	cphy qokaiin qokal shey shedy	PROC030|PROC038|PROC048|PROC031|PROC078	5	UNRESOLVED	NO
C4_PRIMARY_CUE_REMOVED	C4	PRIMARY_CUE_REMOVED	PROC040	ykan	qokaiin qokain qokal qokylddy talam	PROC038|PROC080|PROC048|PROC155|PROC043	5	UNRESOLVED	NO
C4_FULL_CUE_FAMILY_REMOVED	C4	FULL_CUE_FAMILY_REMOVED	PROC040	ykan	qokaiin qokain qokal qokylddy talam	PROC038|PROC080|PROC048|PROC155|PROC043	5	UNRESOLVED	NO
C5_PRIMARY_CUE_REMOVED	C5	PRIMARY_CUE_REMOVED	PROC052	cho	qokaiin kchoar chodaly daiiin shedy	PROC038|PROC063|PROC053|PROC169|PROC078	5	C5	YES
C5_FULL_CUE_FAMILY_REMOVED	C5	FULL_CUE_FAMILY_REMOVED	PROC052|PROC063|PROC053	cho|kchoar|chodaly	qokaiin daiiin shedy	PROC038|PROC169|PROC078	3	UNRESOLVED	NO
