damage_id	intended_case	damage_kind	remaining_cards	old_selector	template_selected_case	unique_best_template	exact_case_recovery	best_score	runner_up_case	restored_surface_strip	restored_card_strip	visible_owner_or_margin_required	case_template_required
C1_PRIMARY_CUE_REMOVED	C1	PRIMARY_CUE_REMOVED	5	UNRESOLVED	C1	YES	YES	0|-5|0|-4	C3	qokaiin os lsho qokal shey shedy	PROC038|PROC005|PROC084|PROC048|PROC031|PROC078	NO	YES
C1_FULL_CUE_FAMILY_REMOVED	C1	FULL_CUE_FAMILY_REMOVED	5	UNRESOLVED	C1	YES	YES	0|-5|0|-4	C3	qokaiin os lsho qokal shey shedy	PROC038|PROC005|PROC084|PROC048|PROC031|PROC078	NO	YES
C2_PRIMARY_CUE_REMOVED	C2	PRIMARY_CUE_REMOVED	5	UNRESOLVED	C2	YES	YES	0|-5|0|-4	C1	cthy cthaiin qoctholy ches qokal qokeeedy	PROC014|PROC017|PROC018|PROC124|PROC048|PROC119	NO	YES
C2_FULL_CUE_FAMILY_REMOVED	C2	FULL_CUE_FAMILY_REMOVED	3	UNRESOLVED	C2	YES	YES	0|-3|0|-2	C1	cthy cthaiin qoctholy ches qokal qokeeedy	PROC014|PROC017|PROC018|PROC124|PROC048|PROC119	NO	YES
C3_PRIMARY_CUE_REMOVED	C3	PRIMARY_CUE_REMOVED	5	UNRESOLVED	C3	YES	YES	0|-5|0|-4	C1	cfhy cphy qokaiin qokal shey shedy	PROC028|PROC030|PROC038|PROC048|PROC031|PROC078	NO	YES
C3_FULL_CUE_FAMILY_REMOVED	C3	FULL_CUE_FAMILY_REMOVED	5	UNRESOLVED	C3	YES	YES	0|-5|0|-4	C1	cfhy cphy qokaiin qokal shey shedy	PROC028|PROC030|PROC038|PROC048|PROC031|PROC078	NO	YES
C4_PRIMARY_CUE_REMOVED	C4	PRIMARY_CUE_REMOVED	5	UNRESOLVED	C4	YES	YES	0|-5|0|-3	C3	qokaiin qokain ykan qokal qokylddy talam	PROC038|PROC080|PROC040|PROC048|PROC155|PROC043	NO	YES
C4_FULL_CUE_FAMILY_REMOVED	C4	FULL_CUE_FAMILY_REMOVED	5	UNRESOLVED	C4	YES	YES	0|-5|0|-3	C3	qokaiin qokain ykan qokal qokylddy talam	PROC038|PROC080|PROC040|PROC048|PROC155|PROC043	NO	YES
C5_PRIMARY_CUE_REMOVED	C5	PRIMARY_CUE_REMOVED	5	C5	C5	YES	YES	0|-5|0|-4	C1	cho qokaiin kchoar chodaly daiiin shedy	PROC052|PROC038|PROC063|PROC053|PROC169|PROC078	NO	YES
C5_FULL_CUE_FAMILY_REMOVED	C5	FULL_CUE_FAMILY_REMOVED	3	UNRESOLVED	C5	YES	YES	0|-3|0|-1	C1	cho qokaiin kchoar chodaly daiiin shedy	PROC052|PROC038|PROC063|PROC053|PROC169|PROC078	NO	YES
