group_serial	page	locus	visible_owner	namespace_id	visible_surface	prefix_surface	address_suffix	address_contribution_de	component_parse	composed_short_value_de	prefix_status	existing_diagram_reading_de
9	f67r2	f67r2.3	A1_RIGHT_SECTOR_SLOT_03	F67_RIGHT_WHEEL_NS	okar	ok	AR	VON_QUELLE	OK_PREFIX+AR	Quelladresse des OK-Postens	PREFIX_PLUS_ADDRESS_SUFFIX	Sektorplatz A1_RIGHT_SECTOR_SLOT_03: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.
18	f67r2	f67r2.8	A1_RIGHT_SECTOR_SLOT_08	F67_RIGHT_WHEEL_NS	chkchdar	chkchd	AR	VON_QUELLE	CHKCHD_PREFIX+AR	Quelladresse des CHKCHD-Postens	PREFIX_PLUS_ADDRESS_SUFFIX	Sektorplatz A1_RIGHT_SECTOR_SLOT_08: Grad oder Diagrammzustand justieren + Wert oder Platzbezug uebertragen + Ausgangssektor, Ursprung oder Bezugswert.
19	f67r2	f67r2.9	A1_RIGHT_SECTOR_SLOT_09	F67_RIGHT_WHEEL_NS	ykar	yk	AR	VON_QUELLE	YK_PREFIX+AR	Quelladresse des YK-Postens	PREFIX_PLUS_ADDRESS_SUFFIX	Sektorplatz A1_RIGHT_SECTOR_SLOT_09: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest yk.
23	f67r2	f67r2.10	A1_RIGHT_SECTOR_SLOT_10	F67_RIGHT_WHEEL_NS	okar	ok	AR	VON_QUELLE	OK_PREFIX+AR	Quelladresse des OK-Postens	PREFIX_PLUS_ADDRESS_SUFFIX	Sektorplatz A1_RIGHT_SECTOR_SLOT_10: Diagrammposten setzen oder aktivieren + Ausgangssektor, Ursprung oder Bezugswert.
49	f67r2	f67r2.19	A1_LEFT_LOCAL_FIELD_19	F67_LEFT_WHEEL_NS	ar	ROOT	AR	VON_QUELLE	ROOT_PREFIX+AR	Quelladresse des ROOT-Postens	PREFIX_PLUS_ADDRESS_SUFFIX	Sternplatz A1_LEFT_LOCAL_FIELD_19: Ausgangssektor, Ursprung oder Bezugswert.
52	f67r2	f67r2.20	A1_LEFT_LOCAL_FIELD_20	F67_LEFT_WHEEL_NS	saral	sar	AL	ZU_ZIEL	S_FRAME+AR+AL	von der Quelladresse zur Zieladresse	FULL_RELATION_COMPOSITION	Sternplatz A1_LEFT_LOCAL_FIELD_20: Ausgangssektor, Ursprung oder Bezugswert + Zielsektor, Zielstern oder Zielfeld; lokaler Namensrest s.
55	f67r2	f67r2.21	A1_LEFT_LOCAL_FIELD_21	F67_LEFT_WHEEL_NS	ar	ROOT	AR	VON_QUELLE	ROOT_PREFIX+AR	Quelladresse des ROOT-Postens	PREFIX_PLUS_ADDRESS_SUFFIX	Sternplatz A1_LEFT_LOCAL_FIELD_21: Ausgangssektor, Ursprung oder Bezugswert.
59	f67r2	f67r2.24	A1_LEFT_LOCAL_FIELD_24	F67_LEFT_WHEEL_NS	sodar	sod	AR	VON_QUELLE	SOD_PREFIX+AR	Quelladresse des SOD-Postens	PREFIX_PLUS_ADDRESS_SUFFIX	Sternplatz A1_LEFT_LOCAL_FIELD_24: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest sod.
60	f67r2	f67r2.24	A1_LEFT_LOCAL_FIELD_24	F67_LEFT_WHEEL_NS	ofar	of	AR	VON_QUELLE	OF_PREFIX+AR	Quelladresse des OF-Postens	PREFIX_PLUS_ADDRESS_SUFFIX	Sternplatz A1_LEFT_LOCAL_FIELD_24: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest of.
61	f67r2	f67r2.24	A1_LEFT_LOCAL_FIELD_24	F67_LEFT_WHEEL_NS	ar	ROOT	AR	VON_QUELLE	ROOT_PREFIX+AR	Quelladresse des ROOT-Postens	PREFIX_PLUS_ADDRESS_SUFFIX	Sternplatz A1_LEFT_LOCAL_FIELD_24: Ausgangssektor, Ursprung oder Bezugswert.
77	f67r2	f67r2.32	A1_LEFT_LOCAL_FIELD_32	F67_LEFT_WHEEL_NS	dosar	dos	AR	VON_QUELLE	DOS_PREFIX+AR	Quelladresse des DOS-Postens	PREFIX_PLUS_ADDRESS_SUFFIX	Sternplatz A1_LEFT_LOCAL_FIELD_32: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest dos.
82	f67r2	f67r2.33	A1_LEFT_LOCAL_FIELD_33	F67_LEFT_WHEEL_NS	oear	oe	AR	VON_QUELLE	OE_PREFIX+AR	Quelladresse des OE-Postens	PREFIX_PLUS_ADDRESS_SUFFIX	Sternplatz A1_LEFT_LOCAL_FIELD_33: Ausgangssektor, Ursprung oder Bezugswert; lokaler Namensrest oe.
