visible_surface	address_suffix	prefix_surface	component_parse	composed_short_value_de	group_count	pages	loci
okar	AR	ok	OK_PREFIX+AR	Quelladresse des OK-Postens	4	f67r2|f69v	f67r2.3|f67r2.10|f69v.1|f69v.1
chkchdar	AR	chkchd	CHKCHD_PREFIX+AR	Quelladresse des CHKCHD-Postens	1	f67r2	f67r2.8
ykar	AR	yk	YK_PREFIX+AR	Quelladresse des YK-Postens	3	f67r2|f69v	f67r2.9|f69v.2|f69v.2
ar	AR	ROOT	ROOT_PREFIX+AR	Quelladresse des ROOT-Postens	9	f67r2|f69v	f67r2.19|f67r2.21|f67r2.24|f67r2.73|f67r2.74|f69v.1|f69v.1|f69v.3|f69v.3
saral	AL	sar	S_FRAME+AR+AL	von der Quelladresse zur Zieladresse	2	f67r2|f69v	f67r2.20|f69v.19
sodar	AR	sod	SOD_PREFIX+AR	Quelladresse des SOD-Postens	1	f67r2	f67r2.24
ofar	AR	of	OF_PREFIX+AR	Quelladresse des OF-Postens	2	f67r2	f67r2.24|f67r2.34
dosar	AR	dos	DOS_PREFIX+AR	Quelladresse des DOS-Postens	1	f67r2	f67r2.32
oear	AR	oe	OE_PREFIX+AR	Quelladresse des OE-Postens	1	f67r2	f67r2.33
odal	AL	od	OD_PREFIX+AL	Zieladresse des OD-Postens	1	f67r2	f67r2.33
qotoear	AR	qotoe	QOTOE_PREFIX+AR	Quelladresse des QOTOE-Postens	1	f67r2	f67r2.52
dchdar	AR	dchd	DCHD_PREFIX+AR	Quelladresse des DCHD-Postens	1	f67r2	f67r2.53
saldal	AL	sald	SALD_PREFIX+AL	Zieladresse des SALD-Postens	1	f67r2	f67r2.54
ytodal	AL	ytod	YTOD_PREFIX+AL	Zieladresse des YTOD-Postens	1	f67r2	f67r2.55
ytokar	AR	ytok	YTOK_PREFIX+AR	Quelladresse des YTOK-Postens	1	f67r2	f67r2.61
okodar	AR	okod	OKOD_PREFIX+AR	Quelladresse des OKOD-Postens	2	f67r2	f67r2.63|f67r2.67
soear	AR	soe	SOE_PREFIX+AR	Quelladresse des SOE-Postens	1	f67r2	f67r2.65
osar	AR	os	OS_PREFIX+AR	Quelladresse des OS-Postens	1	f67r2	f67r2.70
olar	AR	ol	OL+AR	von der Quelladresse im selben Lauf weiter	1	f67r2	f67r2.73
okchoal	AL	okcho	OKCHO_PREFIX+AL	Zieladresse des OKCHO-Postens	1	f68r1	f68r1.1
chokal	AL	chok	CHOK_PREFIX+AL	Zieladresse des CHOK-Postens	1	f68r1	f68r1.3
eckhear	AR	eckhe	ECKHE_PREFIX+AR	Quelladresse des ECKHE-Postens	1	f68r1	f68r1.3
okear	AR	oke	OKE_PREFIX+AR	Quelladresse des OKE-Postens	1	f68r1	f68r1.16
oiinar	AR	oiin	OIIN_PREFIX+AR	Quelladresse des OIIN-Postens	1	f68r1	f68r1.27
okeeodal	AL	okeeod	OKEEOD_PREFIX+AL	Zieladresse des OKEEOD-Postens	1	f68r1	f68r1.32
qear	AR	qe	QE_PREFIX+AR	Quelladresse des QE-Postens	1	f68r1	f68r1.37
chykar	AR	chyk	CHYK_PREFIX+AR	Quelladresse des CHYK-Postens	1	f69v	f69v.1
ykeeal	AL	ykee	YKEE_PREFIX+AL	Zieladresse des YKEE-Postens	1	f69v	f69v.2
daiial	AL	daii	DAII_PREFIX+AL	Zieladresse des DAII-Postens	1	f69v	f69v.2
chear	AR	che	CHE_PREFIX+AR	Quelladresse des CHE-Postens	1	f69v	f69v.2
otaldal	AL	otald	OTALD_PREFIX+AL	Zieladresse des OTALD-Postens	1	f69v	f69v.3
otoar	AR	oto	OTO_PREFIX+AR	Quelladresse des OTO-Postens	1	f69v	f69v.3
oteeal	AL	otee	OTEE_PREFIX+AL	Zieladresse des OTEE-Postens	1	f69v	f69v.3
okeodal	AL	okeod	OKEOD_PREFIX+AL	Zieladresse des OKEOD-Postens	1	f69v	f69v.3
oteoarar	AR	oteoar	OTEOAR_PREFIX+AR	Quelladresse des OTEOAR-Postens	1	f69v	f69v.3
okeal	AL	oke	OKE_PREFIX+AL	Zieladresse des OKE-Postens	1	f69v	f69v.13
okolar	AR	okol	OK+OL+AR	den Lauf von der Quelladresse aktivieren	1	f69v	f69v.21
oar	AR	o	O_PREFIX+AR	Quelladresse des O-Postens	1	f69v	f69v.31
