root	structural_category	selected_minimal_value_de	decision	rival_a_de	rival_b_de	portable_use_rule_de	atom_mention_count	page_count	register_count	decision_reason_de
Y	ARGUMENT	POSTEN	KEEP	DIES	GEGENSTAND	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	1611	24	5	Referentrolle breit und registerübergreifend
OK	HANDLUNG	SETZEN	KEEP	ANSETZEN	AKTIVIEREN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	774	24	5	produktiver Handlungskopf; genauer Verbton offen
OL	REIHENFOLGE	FORTSETZEN	KEEP	WEITER	GLEICHER GANG	als Fortsetzung oder nächsten Geschwistergang lesen	688	24	5	wiederkehrende Fortsetzungs-/Weiterführungslage
OT	REIHENFOLGE	DANACH	KEEP	NÄCHSTER	WECHSEL	als Fortsetzung oder nächsten Geschwistergang lesen	363	24	5	Geschwister-/Folgewechsel statt Stoffwort
AL	BEZIEHUNG	ZIELORT	KEEP	ZU	ANSCHLUSS	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	352	24	5	komplementäre Zieladresse zu AR
CH	HANDLUNG	NEHMEN	KEEP_PROVISIONAL	BEARBEITEN	GREIFEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	843	24	5	NEHMEN bleibt knapp vor BEARBEITEN; hohe Gradlast verhindert Promotion.
SH	HANDLUNG	HALTEN	KEEP	RUHEN LASSEN	BEWAHREN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	631	24	5	463 Gradfoki machen HALTEN breiter und sparsamer als RUHEN LASSEN.
AR	BEZIEHUNG	AUSGANG	KEEP	VON	QUELLE	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	323	23	5	komplementäre Quelladresse zu AL
K	HANDLUNG	GEBEN	KEEP_PROVISIONAL	ZUFÜHREN	ZUORDNEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	492	24	5	GEBEN bleibt, aber ZUORDNEN ist im Himmelsregister gleichwertig.
AIIN	ARGUMENT	WERT	KEEP	MASS	VORGABE	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	432	23	5	MASS wäre auf Himmelsseiten zu eng
S	HANDLUNG	WÄHLEN	KEEP_PROVISIONAL	TRENNEN	PRÜFEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	306	24	5	WÄHLEN bleibt, PRÜFEN ist in technischen Zellen ein lebender Rivale.
CHD	HANDLUNG	UMSETZEN	KEEP_PROVISIONAL	ÜBERFÜHREN	WECHSELN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	301	16	5	UMSETZEN deckt Transfer und Zustandswechsel; genaue Technik offen.
OR	ARGUMENT	EINHEIT	KEEP	ANSATZ	BESTAND	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	266	24	5	ANSATZ wäre in Bio/Himmel zu eng
L	BEZIEHUNG	VERBINDUNG	KEEP	MIT	ANSCHLUSS	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	270	20	5	VERBINDUNG hält als neutraler Relationsname; MIT ist zu grammatisch eng.
T	HANDLUNG	EINSTELLEN	KEEP	ORDNEN	BESTIMMEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	296	24	5	EINSTELLEN deckt Wert-, Grad- und Zielkomplemente am gleichmäßigsten.
AIN	ARGUMENT	ANTEIL	KEEP	PORTION	TEIL	als kurzen Posten-/Wertslot lesen; konkretes Nomen kommt vom Besitzer	240	20	5	PORTION wäre in Himmels-/Adresskontexten zu stofflich
R	HANDLUNG	MARKIEREN	KEEP	VERWEISEN	KENNZEICHNEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	114	22	5	MARKIEREN ist der kürzeste gemeinsame Wert für Kopf- und Schwanzlage.
P	HANDLUNG	EINSETZEN	KEEP	BEGINNEN	EINBRINGEN	als kurze Werkstatthandlung lesen; konkrete Technik bleibt lokal	160	24	5	BEGINNEN scheitert: P steht häufiger medial als initial; EINSETZEN bleibt.
AIR	BEZIEHUNG	LAUF	KEEP_PROVISIONAL	WEG	FLUSS	als Quell-, Ziel- oder Wegrelation lesen; keine Flussrichtung erfinden	43	16	5	LAUF und WEG bleiben punktgleich; Wasser/Fluss sind zu stofflich.
