root	selected_value_de	final_status	atom_mention_count	page_count	register_count	first_count	middle_count	last_count	governed_focus_count	governed_family_counts	governed_exact_focus_counts	relation_focus_governing_action_counts	selected_score_0_12	best_rival_score_0_12	selection_margin	decision_note_de
CH	NEHMEN	KEEP_PROVISIONAL	843	24	5	484	356	3	761	ARGUMENT:339|GRADE:251|RELATION:171	E:202|Y:194|OR:76|L:74|AIIN:54|AL:49|EE:46|AR:39|AIN:15|AIR:9|EEE:3	NONE	11	10	1	NEHMEN bleibt knapp vor BEARBEITEN; hohe Gradlast verhindert Promotion.
SH	HALTEN	KEEP	631	24	5	476	153	2	899	ARGUMENT:322|GRADE:463|RELATION:114	E:347|Y:234|EE:114|L:49|OR:41|AL:37|AIIN:34|AR:26|AIN:13|AIR:2|EEE:2	NONE	12	10	2	463 Gradfoki machen HALTEN breiter und sparsamer als RUHEN LASSEN.
K	GEBEN	KEEP_PROVISIONAL	492	24	5	127	358	7	805	ARGUMENT:476|GRADE:200|RELATION:129	Y:340|E:120|EE:76|AIIN:63|AL:45|AIN:42|L:38|AR:36|OR:31|AIR:10|EEE:4	NONE	11	10	1	GEBEN bleibt, aber ZUORDNEN ist im Himmelsregister gleichwertig.
S	WÄHLEN	KEEP_PROVISIONAL	306	24	5	184	32	90	344	ARGUMENT:205|GRADE:45|RELATION:94	AIIN:77|Y:68|AR:40|AL:39|AIN:35|E:28|OR:25|EE:16|L:10|AIR:5|EEE:1	NONE	11	10	1	WÄHLEN bleibt, PRÜFEN ist in technischen Zellen ein lebender Rivale.
CHD	UMSETZEN	KEEP_PROVISIONAL	301	16	5	141	152	8	338	ARGUMENT:234|GRADE:16|RELATION:88	Y:185|L:50|AIIN:26|AL:19|AR:17|AIN:12|OR:11|E:8|EE:8|AIR:2	NONE	11	10	1	UMSETZEN deckt Transfer und Zustandswechsel; genaue Technik offen.
L	VERBINDUNG	KEEP	270	20	5	197	20	53	0	NONE	NONE	CH:74|CHD:50|SH:49|K:38|OK:18|T:16|S:10|OWNER:10|R:3|P:2	12	10	2	VERBINDUNG hält als neutraler Relationsname; MIT ist zu grammatisch eng.
T	EINSTELLEN	KEEP	296	24	5	81	212	3	453	ARGUMENT:277|GRADE:95|RELATION:81	Y:209|E:72|AR:32|AIIN:31|AL:31|OR:23|EE:19|L:16|AIN:14|EEE:4|AIR:2	NONE	12	10	2	EINSTELLEN deckt Wert-, Grad- und Zielkomplemente am gleichmäßigsten.
R	MARKIEREN	KEEP	114	22	5	65	13	36	71	ARGUMENT:54|GRADE:1|RELATION:16	Y:22|AIIN:15|AIN:12|AL:8|OR:5|AR:4|L:3|AIR:1|EE:1	NONE	12	10	2	MARKIEREN ist der kürzeste gemeinsame Wert für Kopf- und Schwanzlage.
P	EINSETZEN	KEEP	160	24	5	49	107	4	125	ARGUMENT:66|GRADE:29|RELATION:30	Y:47|E:20|AR:18|AL:8|AIN:7|EE:7|OR:7|AIIN:5|AIR:2|EEE:2|L:2	NONE	12	9	3	BEGINNEN scheitert: P steht häufiger medial als initial; EINSETZEN bleibt.
AIR	LAUF	KEEP_PROVISIONAL	43	16	5	6	7	30	0	NONE	NONE	K:10|CH:9|OK:9|S:5|SH:2|T:2|P:2|CHD:2|R:1|OWNER:1	11	11	0	LAUF und WEG bleiben punktgleich; Wasser/Fluss sind zu stofflich.
