root	candidate_value_de	role_fit_0_3	cross_register_fit_0_3	atomic_brevity_0_3	avoids_local_overfit_0_3	total_0_12	selected_value	final_status
CH	NEHMEN	3	3	3	2	11	YES	KEEP_PROVISIONAL
CH	BEARBEITEN	3	3	2	2	10	NO	RIVAL
CH	GREIFEN	2	2	3	1	8	NO	RIVAL
SH	HALTEN	3	3	3	3	12	YES	KEEP
SH	RUHEN LASSEN	3	2	1	2	8	NO	RIVAL
SH	BEWAHREN	2	3	3	2	10	NO	RIVAL
K	GEBEN	3	3	3	2	11	YES	KEEP_PROVISIONAL
K	ZUFÜHREN	3	2	2	2	9	NO	RIVAL
K	ZUORDNEN	3	3	2	2	10	NO	RIVAL
S	WÄHLEN	3	3	3	2	11	YES	KEEP_PROVISIONAL
S	PRÜFEN	2	3	3	2	10	NO	RIVAL
S	TRENNEN	2	2	3	1	8	NO	RIVAL
CHD	UMSETZEN	3	3	3	2	11	YES	KEEP_PROVISIONAL
CHD	ÜBERFÜHREN	3	2	2	2	9	NO	RIVAL
CHD	WECHSELN	2	3	3	2	10	NO	RIVAL
L	VERBINDUNG	3	3	3	3	12	YES	KEEP
L	MIT	2	3	3	2	10	NO	RIVAL
L	ANSCHLUSS	3	2	3	2	10	NO	RIVAL
T	EINSTELLEN	3	3	3	3	12	YES	KEEP
T	BESTIMMEN	3	3	2	2	10	NO	RIVAL
T	ORDNEN	2	3	3	2	10	NO	RIVAL
R	MARKIEREN	3	3	3	3	12	YES	KEEP
R	VERWEISEN	3	3	2	2	10	NO	RIVAL
R	KENNZEICHNEN	3	3	2	2	10	NO	RIVAL
P	EINSETZEN	3	3	3	3	12	YES	KEEP
P	EINBRINGEN	3	2	2	2	9	NO	RIVAL
P	BEGINNEN	1	3	3	1	8	NO	RIVAL
AIR	LAUF	3	3	3	2	11	YES	KEEP_PROVISIONAL
AIR	WEG	3	3	3	2	11	NO	RIVAL
AIR	FLUSS	2	2	3	1	8	NO	RIVAL
