case	candidate_id	position_1	position_2	position_3	position_4	position_5	position_6	position_7	position_8	position_9	position_10	position_11	position_12	position_13	position_14	position_15
IT2a_TOP_DOWN	18557	Rubeus	Laetitia	Caput draconis	Puer	Acquisitio	Puella	Albus	Fortuna major	Fortuna minor	Amissio	Cauda draconis	Tristitia	Conjunctio	Via	Carcer
IT2a_TOP_DOWN	18621	Rubeus	Laetitia	Puella	Puer	Caput draconis	Carcer	Albus	Fortuna major	Fortuna minor	Conjunctio	Cauda draconis	Tristitia	Amissio	Via	Acquisitio
IT2a_TOP_DOWN	18663	Rubeus	Laetitia	Cauda draconis	Caput draconis	Conjunctio	Puella	Fortuna major	Tristitia	Fortuna minor	Carcer	Puer	Albus	Acquisitio	Via	Amissio
IT2a_TOP_DOWN	18667	Rubeus	Laetitia	Cauda draconis	Puella	Caput draconis	Amissio	Fortuna major	Tristitia	Fortuna minor	Acquisitio	Puer	Albus	Carcer	Via	Conjunctio
IT2a_TOP_DOWN	23331	Acquisitio	Puella	Albus	Fortuna major	Rubeus	Laetitia	Caput draconis	Puer	Cauda draconis	Tristitia	Fortuna minor	Amissio	Via	Conjunctio	Carcer
IT2a_TOP_DOWN	27441	Conjunctio	Puella	Fortuna major	Tristitia	Rubeus	Laetitia	Cauda draconis	Caput draconis	Puer	Albus	Fortuna minor	Carcer	Via	Acquisitio	Amissio
IT2a_TOP_DOWN	31011	Caput draconis	Carcer	Albus	Fortuna major	Rubeus	Laetitia	Puella	Puer	Cauda draconis	Tristitia	Fortuna minor	Conjunctio	Via	Amissio	Acquisitio
IT2a_TOP_DOWN	31281	Caput draconis	Amissio	Fortuna major	Tristitia	Rubeus	Laetitia	Cauda draconis	Puella	Puer	Albus	Fortuna minor	Acquisitio	Via	Carcer	Conjunctio
IT2a_TOP_DOWN	35934	Laetitia	Fortuna minor	Acquisitio	Cauda draconis	Puer	Caput draconis	Tristitia	Albus	Rubeus	Puella	Amissio	Fortuna major	Via	Carcer	Conjunctio
IT2a_TOP_DOWN	36054	Laetitia	Fortuna minor	Puer	Conjunctio	Cauda draconis	Caput draconis	Tristitia	Albus	Rubeus	Puella	Carcer	Fortuna major	Via	Amissio	Acquisitio
IT2a_TOP_DOWN	48402	Puella	Puer	Tristitia	Albus	Fortuna minor	Rubeus	Carcer	Cauda draconis	Conjunctio	Fortuna major	Laetitia	Caput draconis	Acquisitio	Via	Amissio
IT2a_TOP_DOWN	48658	Puella	Cauda draconis	Tristitia	Albus	Fortuna minor	Rubeus	Puer	Amissio	Acquisitio	Fortuna major	Laetitia	Caput draconis	Conjunctio	Via	Carcer
IT2a_TOP_DOWN	50334	Fortuna minor	Rubeus	Carcer	Cauda draconis	Puella	Puer	Tristitia	Albus	Laetitia	Caput draconis	Conjunctio	Fortuna major	Via	Acquisitio	Amissio
IT2a_TOP_DOWN	50394	Fortuna minor	Rubeus	Puer	Amissio	Puella	Cauda draconis	Tristitia	Albus	Laetitia	Caput draconis	Acquisitio	Fortuna major	Via	Conjunctio	Carcer
IT2a_TOP_DOWN	55058	Puer	Caput draconis	Tristitia	Albus	Laetitia	Fortuna minor	Acquisitio	Cauda draconis	Amissio	Fortuna major	Rubeus	Puella	Carcer	Via	Conjunctio
IT2a_TOP_DOWN	59154	Cauda draconis	Caput draconis	Tristitia	Albus	Laetitia	Fortuna minor	Puer	Conjunctio	Carcer	Fortuna major	Rubeus	Puella	Amissio	Via	Acquisitio
IT2a_BOTTOM_UP	18557	Rubeus	Laetitia	Caput draconis	Puer	Acquisitio	Puella	Albus	Fortuna major	Fortuna minor	Amissio	Cauda draconis	Tristitia	Conjunctio	Via	Carcer
IT2a_BOTTOM_UP	18621	Rubeus	Laetitia	Puella	Puer	Caput draconis	Carcer	Albus	Fortuna major	Fortuna minor	Conjunctio	Cauda draconis	Tristitia	Amissio	Via	Acquisitio
IT2a_BOTTOM_UP	18663	Rubeus	Laetitia	Cauda draconis	Caput draconis	Conjunctio	Puella	Fortuna major	Tristitia	Fortuna minor	Carcer	Puer	Albus	Acquisitio	Via	Amissio
IT2a_BOTTOM_UP	18667	Rubeus	Laetitia	Cauda draconis	Puella	Caput draconis	Amissio	Fortuna major	Tristitia	Fortuna minor	Acquisitio	Puer	Albus	Carcer	Via	Conjunctio
IT2a_BOTTOM_UP	23331	Acquisitio	Puella	Albus	Fortuna major	Rubeus	Laetitia	Caput draconis	Puer	Cauda draconis	Tristitia	Fortuna minor	Amissio	Via	Conjunctio	Carcer
IT2a_BOTTOM_UP	27441	Conjunctio	Puella	Fortuna major	Tristitia	Rubeus	Laetitia	Cauda draconis	Caput draconis	Puer	Albus	Fortuna minor	Carcer	Via	Acquisitio	Amissio
IT2a_BOTTOM_UP	31011	Caput draconis	Carcer	Albus	Fortuna major	Rubeus	Laetitia	Puella	Puer	Cauda draconis	Tristitia	Fortuna minor	Conjunctio	Via	Amissio	Acquisitio
IT2a_BOTTOM_UP	31281	Caput draconis	Amissio	Fortuna major	Tristitia	Rubeus	Laetitia	Cauda draconis	Puella	Puer	Albus	Fortuna minor	Acquisitio	Via	Carcer	Conjunctio
IT2a_BOTTOM_UP	35934	Laetitia	Fortuna minor	Acquisitio	Cauda draconis	Puer	Caput draconis	Tristitia	Albus	Rubeus	Puella	Amissio	Fortuna major	Via	Carcer	Conjunctio
IT2a_BOTTOM_UP	36054	Laetitia	Fortuna minor	Puer	Conjunctio	Cauda draconis	Caput draconis	Tristitia	Albus	Rubeus	Puella	Carcer	Fortuna major	Via	Amissio	Acquisitio
IT2a_BOTTOM_UP	48402	Puella	Puer	Tristitia	Albus	Fortuna minor	Rubeus	Carcer	Cauda draconis	Conjunctio	Fortuna major	Laetitia	Caput draconis	Acquisitio	Via	Amissio
IT2a_BOTTOM_UP	48658	Puella	Cauda draconis	Tristitia	Albus	Fortuna minor	Rubeus	Puer	Amissio	Acquisitio	Fortuna major	Laetitia	Caput draconis	Conjunctio	Via	Carcer
