case	step	position_a	position_b	locus_a	locus_b	raw_a	raw_b	required	before	after
ZL3b_TOP_DOWN	1	1	4	f66r.1	f66r.4	rary	dary	DIFFERENT	65536	61440
ZL3b_TOP_DOWN	2	1	5	f66r.1	f66r.5	rary	ykeol	DIFFERENT	61440	53760
ZL3b_TOP_DOWN	3	4	5	f66r.4	f66r.5	dary	ykeol	DIFFERENT	53760	50176
ZL3b_TOP_DOWN	4	1	6	f66r.1	f66r.6	rary	saly	DIFFERENT	50176	46976
ZL3b_TOP_DOWN	5	4	6	f66r.4	f66r.6	dary	saly	DIFFERENT	46976	43776
ZL3b_TOP_DOWN	6	5	6	f66r.5	f66r.6	ykeol	saly	DIFFERENT	43776	40832
ZL3b_TOP_DOWN	7	1	7	f66r.1	f66r.7	rary	salf	DIFFERENT	40832	38208
ZL3b_TOP_DOWN	8	4	7	f66r.4	f66r.7	dary	salf	DIFFERENT	38208	35584
ZL3b_TOP_DOWN	9	5	7	f66r.5	f66r.7	ykeol	salf	DIFFERENT	35584	33184
ZL3b_TOP_DOWN	10	6	7	f66r.6	f66r.7	saly	salf	DIFFERENT	33184	30784
ZL3b_TOP_DOWN	11	1	8	f66r.1	f66r.8	rary	fary	DIFFERENT	30784	28992
ZL3b_TOP_DOWN	12	4	8	f66r.4	f66r.8	dary	fary	DIFFERENT	28992	25640
ZL3b_TOP_DOWN	13	5	8	f66r.5	f66r.8	ykeol	fary	DIFFERENT	25640	23848
ZL3b_TOP_DOWN	14	6	8	f66r.6	f66r.8	saly	fary	DIFFERENT	23848	22112
ZL3b_TOP_DOWN	15	7	8	f66r.7	f66r.8	salf	fary	DIFFERENT	22112	20376
ZL3b_TOP_DOWN	16	1	9	f66r.1	f66r.9	rary	qotesy	DIFFERENT	20376	19556
ZL3b_TOP_DOWN	17	4	9	f66r.4	f66r.9	dary	qotesy	DIFFERENT	19556	18720
ZL3b_TOP_DOWN	18	5	9	f66r.5	f66r.9	ykeol	qotesy	DIFFERENT	18720	17412
ZL3b_TOP_DOWN	19	6	9	f66r.6	f66r.9	saly	qotesy	DIFFERENT	17412	16021
ZL3b_TOP_DOWN	20	7	9	f66r.7	f66r.9	salf	qotesy	DIFFERENT	16021	14633
