source_position_id	event_id	record_unit_id	statement_id	surface	joint_tuple_id	slot_code	atomic_value_de	free_context_phrase_de	controlled_phrase	recovered_slot_code	recovered_atomic_value_de	exact_reverse_parse
S001	E001	H1	H1-S001	dchey	65f320e75510b2f38182	S1_BEZUG_FOLGE	Wurzelteil	Von der abgebildeten, unbenannten Pflanze nimm einen Teil der Wurzel	BEZUG[Wurzelteil]	S1_BEZUG_FOLGE	Wurzelteil	YES
S002	E002	H1	H1-S001	cthoor	dedc383b600397a301ee	S6_BEREIT_ABSCHLUSS	Bereitansatz	Säubere ihn	SCHLUSS[Bereitansatz]	S6_BEREIT_ABSCHLUSS	Bereitansatz	YES
S003	E003	H1	H1-S001	char	4d4559019a961b834aa1	S1_BEZUG_FOLGE	Quelle	Aus demselben Vorrat	BEZUG[Quelle]	S1_BEZUG_FOLGE	Quelle	YES
S004	E004	H1	H1-S001	chty	80ebbbbf238eee9f0aef	S2_MATERIAL_MASS	Zerkleinern	Zerschneide ihn	MASS[Zerkleinern]	S2_MATERIAL_MASS	Zerkleinern	YES
S005	E005	H1	H1-S001	os	df1098831679a8ad1b39	S1_BEZUG_FOLGE	Gefäß	Gib die Stücke in ein Gefäß	BEZUG[Gefäß]	S1_BEZUG_FOLGE	Gefäß	YES
S006	E006	H1	H1-S001	chair	12efe866f335461823a6	S3_PROZESS_TRANSFER	Wasserzulauf	Wasser zulaufen lassen	TRANSFER[Wasserzulauf]	S3_PROZESS_TRANSFER	Wasserzulauf	YES
S007	E007	H1	H1-S001	otytchol	62ff059766b21c7de083	S1_BEZUG_FOLGE	Folgeteilfortsetzung	Auffangen	BEZUG[Folgeteilfortsetzung]	S1_BEZUG_FOLGE	Folgeteilfortsetzung	YES
S008	E008	H1	H1-S001	oky	276a7c2d74d1143446f4	S5_ZIEL_ANWENDUNG	Einsetzen	Posten ansetzen	ZIEL[Einsetzen]	S5_ZIEL_ANWENDUNG	Einsetzen	YES
S009	E009	H1	H1-S001	daiin	2f1c5e56e8f0ff459065	S2_MATERIAL_MASS	Sollmaß	Sollmaß	MASS[Sollmaß]	S2_MATERIAL_MASS	Sollmaß	YES
S010	E010	H1	H1-S001	etyd	a6939862e33ece5a0483	S6_BEREIT_ABSCHLUSS	Kurzrest	Gebrauche es bei Stechen im Leib und verwahre den übrigen Wurzelvorrat verschlossen	SCHLUSS[Kurzrest]	S6_BEREIT_ABSCHLUSS	Kurzrest	YES
S011	E011	H1	H1-S002	qokchy	9ad66e67803a12e745de	S5_ZIEL_ANWENDUNG	Einsetzen	Posten ansetzen	ZIEL[Einsetzen]	S5_ZIEL_ANWENDUNG	Einsetzen	YES
