controlled_phrase	slot_code	atomic_value_de	event_count	card_types	joint_tuple_ids	observed_free_phrase_variants	free_phrase_examples_de	reverse_key	unique_reverse_mapping
BEZUG[Ansatz]	S1_BEZUG_FOLGE	Ansatz	7	1	7a4bb8136330ee4e6e56	1	Ansatz	S1_BEZUG_FOLGE::Ansatz	YES
BEZUG[Anschluss]	S1_BEZUG_FOLGE	Anschluss	1	1	1496a731803a9f48d2e1	1	Noch warm	S1_BEZUG_FOLGE::Anschluss	YES
BEZUG[Auszugsansatz]	S1_BEZUG_FOLGE	Auszugsansatz	1	1	7249edc4df3419c26999	1	Nimm die jungen Spitzen mit Blütenständen und Blättern derselben unbenannten Pflanze	S1_BEZUG_FOLGE::Auszugsansatz	YES
BEZUG[Bindefortsetzung]	S1_BEZUG_FOLGE	Bindefortsetzung	1	1	893c570f3fa3fce99711	1	Lege sie als Auflage auf	S1_BEZUG_FOLGE::Bindefortsetzung	YES
BEZUG[Blütenkraut]	S1_BEZUG_FOLGE	Blütenkraut	1	1	953ad19b79517fc8a211	1	Nimm im ersten Frühjahr Blüten und junge Blätter der unbenannten Pflanze	S1_BEZUG_FOLGE::Blütenkraut	YES
BEZUG[Diesposten]	S1_BEZUG_FOLGE	Diesposten	18	1	b921a237be883a820352	1	Dieser Arbeitsposten	S1_BEZUG_FOLGE::Diesposten	YES
BEZUG[Folgeansatz]	S1_BEZUG_FOLGE	Folgeansatz	2	1	10488b911aae52b3b334	1	Folgeansatz	S1_BEZUG_FOLGE::Folgeansatz	YES
BEZUG[Folgefortsetzung]	S1_BEZUG_FOLGE	Folgefortsetzung	2	2	497cbd9c7401810ff56b|e8a6105b5c3a6220b440	2	Anwärmen || Danach fortsetzen	S1_BEZUG_FOLGE::Folgefortsetzung	YES
BEZUG[Folgefortsetzungsposten]	S1_BEZUG_FOLGE	Folgefortsetzungsposten	1	1	af816c04e65874a0f2fa	1	Abpressen	S1_BEZUG_FOLGE::Folgefortsetzungsposten	YES
BEZUG[Folgeklarlauf]	S1_BEZUG_FOLGE	Folgeklarlauf	1	1	d4a31dbcf1ed6d9e5aa9	1	Spülwasser	S1_BEZUG_FOLGE::Folgeklarlauf	YES
BEZUG[Folgeposten]	S1_BEZUG_FOLGE	Folgeposten	3	2	a48efd6c4491a046ba78|faf321940aed922846a9	2	Folgeposten wählen || Nimm die zurückbehaltenen Blüten	S1_BEZUG_FOLGE::Folgeposten	YES
