statement_id	record_unit_id	free_fluent_german	free_layer_reverse_status	controlled_workshop_line	source_event_ids	source_surfaces	source_values_de	recovered_values_de	recovered_slots	controlled_reverse_status
H1-S001	H1	Nimm einen Wurzelteil der abgebildeten Pflanze. Richte daraus mit Material aus der bezeichneten Quelle einen Ansatz her, zerkleinere ihn, gib ihn ins Gefäß und führe Wasser zu. Führe den folgenden Teil weiter, setze ihn ein, prüfe das Sollmaß und behalte den kleinen Rest.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Wurzelteil] · SCHLUSS[Bereitansatz] · BEZUG[Quelle] · MASS[Zerkleinern] · BEZUG[Gefäß] · TRANSFER[Wasserzulauf] · BEZUG[Folgeteilfortsetzung] · ZIEL[Einsetzen] · MASS[Sollmaß] · SCHLUSS[Kurzrest]	E001|E002|E003|E004|E005|E006|E007|E008|E009|E010	dchey cthoor char chty os chair otytchol oky daiin etyd	Wurzelteil → Bereitansatz → Quelle → Zerkleinern → Gefäß → Wasserzulauf → Folgeteilfortsetzung → Einsetzen → Sollmaß → Kurzrest	Wurzelteil → Bereitansatz → Quelle → Zerkleinern → Gefäß → Wasserzulauf → Folgeteilfortsetzung → Einsetzen → Sollmaß → Kurzrest	S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S2_MATERIAL_MASS → S6_BEREIT_ABSCHLUSS	EXACT
H1-S002	H1	Setze den zurückbehaltenen Posten ein, führe ihn im folgenden Gang weiter und halte ihn bereit.	NEEDS_EVENT_ALIGNMENT_LEDGER	ZIEL[Einsetzen] · BEZUG[Folgefortsetzung] · BEZUG[Fortsetzung] · SCHLUSS[Bereit]	E011|E012|E013|E014	qokchy qotchol chol cthy	Einsetzen → Folgefortsetzung → Fortsetzung → Bereit	Einsetzen → Folgefortsetzung → Fortsetzung → Bereit	S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS	EXACT
H2-S001	H2	Nimm den laufenden Auszugsansatz und halte ihn bereit. Stelle den Ansatz auf sein Sollmaß; führe den Folgeposten weiter und behalte dabei denselben Posten um die Maßangabe aktiv.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Auszugsansatz] · SCHLUSS[Bereit] · BEZUG[Ansatz] · MASS[Bereitsollmaß] · BEZUG[Folgefortsetzungsposten] · BEZUG[Diesposten] · BEZUG[Diesposten] · MASS[Sollmaß] · BEZUG[Diesposten]	E015|E016|E017|E018|E019|E020|E021|E022|E023	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	Auszugsansatz → Bereit → Ansatz → Bereitsollmaß → Folgefortsetzungsposten → Diesposten → Diesposten → Sollmaß → Diesposten	Auszugsansatz → Bereit → Ansatz → Bereitsollmaß → Folgefortsetzungsposten → Diesposten → Diesposten → Sollmaß → Diesposten	S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S1_BEZUG_FOLGE	EXACT
H2-S002	H2	Eröffne den Folgeansatz, führe denselben Ansatz als Fortsetzungsansatz weiter und nimm das Sollmaß aus der bezeichneten Quelle.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Folgeansatz] · BEZUG[Ansatz] · BEZUG[Folgefortsetzung] · BEZUG[Fortsetzung] · BEZUG[Fortsetzungsansatz] · BEZUG[Fortsetzung] · MASS[Sollmaß] · BEZUG[Quelle]	E024|E025|E026|E027|E028|E029|E030|E031	qotchor chor otol chol cholor chol daiin dar	Folgeansatz → Ansatz → Folgefortsetzung → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß → Quelle	Folgeansatz → Ansatz → Folgefortsetzung → Fortsetzung → Fortsetzungsansatz → Fortsetzung → Sollmaß → Quelle	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S1_BEZUG_FOLGE	EXACT
H2-S003	H2	Richte den Ansatz im Gefäß her, halte ihn als laufenden Posten aktiv, setze die gebundene Arbeitsstufe und füge die Zutat im Sollmaß hinzu.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Gefäßansatz] · BEZUG[Ansatz] · BEZUG[Ansatz] · BEZUG[Diesposten] · SCHLUSS[Bindestufe] · BEZUG[Diesposten] · MASS[Zutatsollmaß]	E032|E033|E034|E035|E036|E037|E038	oykchor shor chor chy kaiiin dy chodaiin	Gefäßansatz → Ansatz → Ansatz → Diesposten → Bindestufe → Diesposten → Zutatsollmaß	Gefäßansatz → Ansatz → Ansatz → Diesposten → Bindestufe → Diesposten → Zutatsollmaß	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS → S1_BEZUG_FOLGE → S2_MATERIAL_MASS	EXACT
H3-S001	H3	Bringe das Blütenkraut an die Arbeitsstelle, wringe es aus, lasse es die vorgeschriebene Zeit stehen und seihe es nochmals. Nimm nur den Klarauszug ab und schließe den Schritt.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Blütenkraut] · ZIEL[Zieleingabe] · TRANSFER[Auswringen] · TRANSFER[Standzeit] · TRANSFER[Nachseihen] · TRANSFER[Klarauszug] · TRANSFER[Rücknahmeschluss]	E039|E040|E041|E042|E043|E044|E045	tshol schoal cfhy shfydaiin cphy shey tchody	Blütenkraut → Zieleingabe → Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss	Blütenkraut → Zieleingabe → Auswringen → Standzeit → Nachseihen → Klarauszug → Rücknahmeschluss	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	EXACT
H3-S002	H3	Halte einen weiteren Zutatteil für den folgenden Gang bereit.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Zutatfolgeteil]	E046	shoyty	Zutatfolgeteil	Zutatfolgeteil	S1_BEZUG_FOLGE	EXACT
H3-S003	H3	Nimm die Fortsetzung des vorigen Gangs, halte den aktuellen Posten gebunden und miss sein Sollmaß.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Vorfortsetzung] · BEZUG[Diesposten] · SCHLUSS[Bindeposten] · BEZUG[Diesposten] · MASS[Sollmaß]	E047|E048|E049|E050|E051	dchol chy kchy dy daiin	Vorfortsetzung → Diesposten → Bindeposten → Diesposten → Sollmaß	Vorfortsetzung → Diesposten → Bindeposten → Diesposten → Sollmaß	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS → S1_BEZUG_FOLGE → S2_MATERIAL_MASS	EXACT
H3-S004	H3	Wechsle zum Folgeposten, setze die Fortsetzung ein und halte diesen Posten bereit.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Folgeposten] · ZIEL[Fortsetzungseinsatz] · SCHLUSS[Bereit] · BEZUG[Diesposten]	E052|E053|E054|E055	qotchy okchol cthy dy	Folgeposten → Fortsetzungseinsatz → Bereit → Diesposten	Folgeposten → Fortsetzungseinsatz → Bereit → Diesposten	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S6_BEREIT_ABSCHLUSS → S1_BEZUG_FOLGE	EXACT
H4-S001	H4	Stelle das Sollmaß ein, prüfe es und teile den Posten in eine erste und eine zweite Portion. Nimm beide aus diesem Arbeitsschritt und schließe ihn.	NEEDS_EVENT_ALIGNMENT_LEDGER	MASS[Sollstellung] · MASS[Sollmaß] · MASS[Postenportion] · MASS[Postenzweitportion] · TRANSFER[Rücknahmeschluss]	E056|E057|E058|E059|E060	qokaiin chaiin ykain ykan ody	Sollstellung → Sollmaß → Postenportion → Postenzweitportion → Rücknahmeschluss	Sollstellung → Sollmaß → Postenportion → Postenzweitportion → Rücknahmeschluss	S2_MATERIAL_MASS → S2_MATERIAL_MASS → S2_MATERIAL_MASS → S2_MATERIAL_MASS → S3_PROZESS_TRANSFER	EXACT
H4-S002	H4	Überführe die abgemessene Menge und verwahre sie.	NEEDS_EVENT_ALIGNMENT_LEDGER	MASS[Sollmaß] · TRANSFER[Umsetzen] · SCHLUSS[Verwahren]	E061|E062|E063	daiin chedy talam	Sollmaß → Umsetzen → Verwahren	Sollmaß → Umsetzen → Verwahren	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S6_BEREIT_ABSCHLUSS	EXACT
H4-S003	H4	Nimm das Sollmaß des Postens aus dem gewonnenen Auszug, halte es länger warm und schließe den fortgesetzten Schritt.	NEEDS_EVENT_ALIGNMENT_LEDGER	MASS[Postensollmaß] · TRANSFER[Auszugnahme] · ZUSTAND[Langwärme] · BEZUG[Fortschluss]	E064|E065|E066|E067	ykaiin cheoar cheeky oldy	Postensollmaß → Auszugnahme → Langwärme → Fortschluss	Postensollmaß → Auszugnahme → Langwärme → Fortschluss	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND → S1_BEZUG_FOLGE	EXACT
H4-S004	H4	Setze das Sollmaß an der bezeichneten Stelle ein. Führe die Zubereitung dort weiter, halte den Ansatz als aktuellen Posten und verwende eine Ansatzportion.	NEEDS_EVENT_ALIGNMENT_LEDGER	MASS[Sollmaß] · ZIEL[Zieleinsatz] · BEZUG[Fortsetzungszubereitung] · BEZUG[Ansatz] · BEZUG[Diesposten] · MASS[Ansatzportion]	E068|E069|E070|E071|E072|E073	aiin okal oltchy or y orain	Sollmaß → Zieleinsatz → Fortsetzungszubereitung → Ansatz → Diesposten → Ansatzportion	Sollmaß → Zieleinsatz → Fortsetzungszubereitung → Ansatz → Diesposten → Ansatzportion	S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS	EXACT
H5-S001	H5	Richte einen Zutatenansatz her. Setze eine weitere Zutat an die bezeichnete Stelle, miss sie und führe sie gebunden weiter. Eröffne danach den Folgeansatz, setze ihn ein und bringe ihn an die Stelle.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Zutatenansatz] · BEZUG[Zutat] · ZIEL[Zutatstelle] · MASS[Sollmaß] · BEZUG[Zutat] · BEZUG[Bindefortsetzung] · BEZUG[Folgeansatz] · ZIEL[Einsetzen] · ZIEL[Stelle]	E074|E075|E076|E077|E078|E079|E080|E081|E082	chochor cho chodaly daiin sho kchol otchor choky dal	Zutatenansatz → Zutat → Zutatstelle → Sollmaß → Zutat → Bindefortsetzung → Folgeansatz → Einsetzen → Stelle	Zutatenansatz → Zutat → Zutatstelle → Sollmaß → Zutat → Bindefortsetzung → Folgeansatz → Einsetzen → Stelle	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S5_ZIEL_ANWENDUNG	EXACT
H5-S002	H5	Nimm die Fortsetzung des vorigen Postens, setze die Zutat ein, trage sie auf und schließe den Schritt.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Vorfortsetzung] · BEZUG[Zutatposten] · ZIEL[Einsetzen] · SCHLUSS[Auftragsschluss]	E083|E084|E085|E086	schol choy choky cheeckhody	Vorfortsetzung → Zutatposten → Einsetzen → Auftragsschluss	Vorfortsetzung → Zutatposten → Einsetzen → Auftragsschluss	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S6_BEREIT_ABSCHLUSS	EXACT
H5-S003	H5	Nimm einen Teil der abgebildeten Pflanze und die Zutat, binde den Posten kurz und setze ihn erneut ein.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Pflanzenteil] · BEZUG[Zutat] · SCHLUSS[Kurzbindeposten] · ZIEL[Wiedereinsatz]	E087|E088|E089|E090	sh cho kchey qokokchy	Pflanzenteil → Zutat → Kurzbindeposten → Wiedereinsatz	Pflanzenteil → Zutat → Kurzbindeposten → Wiedereinsatz	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S6_BEREIT_ABSCHLUSS → S5_ZIEL_ANWENDUNG	EXACT
H5-S004	H5	Setze den Posten ein, gib Auszug hinzu und binde beides an der Zielstelle.	NEEDS_EVENT_ALIGNMENT_LEDGER	ZIEL[Einsetzen] · MASS[Auszugzugabe] · ZIEL[Zielbindung]	E091|E092|E093	okchy chokcheo kchal	Einsetzen → Auszugzugabe → Zielbindung	Einsetzen → Auszugzugabe → Zielbindung	S5_ZIEL_ANWENDUNG → S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG	EXACT
H5-S005	H5	Gib die Zutat hinzu, setze sie ein, binde die Zutat aus der bezeichneten Quelle und gebrauche den Posten.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Zutat] · ZIEL[Einsetzen] · BEZUG[Quellenzutatbindung] · ZIEL[Gebrauchen]	E094|E095|E096|E097	sho chokchy kchoar sotodan	Zutat → Einsetzen → Quellenzutatbindung → Gebrauchen	Zutat → Einsetzen → Quellenzutatbindung → Gebrauchen	S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE → S5_ZIEL_ANWENDUNG	EXACT
H5-S006	H5	Nimm den Folgeposten, führe ihn kurz gebunden weiter und prüfe das Sollmaß.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Folgeposten] · BEZUG[Kurzbindefortsetzung] · MASS[Sollmaß]	E098|E099|E100	otchey keol daiin	Folgeposten → Kurzbindefortsetzung → Sollmaß	Folgeposten → Kurzbindefortsetzung → Sollmaß	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS	EXACT
B1-S001	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.	NEEDS_EVENT_ALIGNMENT_LEDGER	ZUSTAND[Kurzkontakt]	E101	qokedy	Kurzkontakt	Kurzkontakt	S4_DAUER_ZUSTAND	EXACT
B1-S002	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Stelle das Sollmaß ein; dann führe durch den Beckenlauf; dann setze an der Zielstelle ein; dann nimm aus der bezeichneten Quelle; dann führe den laufenden Gang fort; dann nimm eine Portion; dann nimm einen weiteren Anteil; dann binde die bezeichnete Stelle; dann führe den laufenden Gang fort; dann schließe am nächsten Abschnitt an; dann gib den Zusatz zu; dann führe denselben Ansatz weiter; dann führe den laufenden Gang fort; dann führe ihn kurz durch die Zielpassage; dann arbeite nach dem vorgeschriebenen Maß; dann setze ihn lange am Ziel ein; dann arbeite nach dem vorgeschriebenen Maß; dann leite den Posten hindurch; dann führe den Posten über.	NEEDS_EVENT_ALIGNMENT_LEDGER	MASS[Sollstellung] · TRANSFER[Beckenlauf] · ZIEL[Zieleinsatz] · BEZUG[Quelle] · BEZUG[Fortsetzung] · MASS[Portion] · MASS[Folgeportion] · ZIEL[Stelle] · BEZUG[Fortsetzung] · BEZUG[Anschluss] · MASS[Zusatz] · BEZUG[Fortsetzungsansatz] · BEZUG[Fortsetzung] · TRANSFER[Zielkurzpassage] · MASS[Sollmaß] · ZUSTAND[Ziellanghalt] · MASS[Sollmaß] · TRANSFER[durchleiten] · TRANSFER[überführen]	E102|E103|E104|E105|E106|E107|E108|E109|E110|E111|E112|E113|E114|E115|E116|E117|E118|E119|E120	okaiin kair okal sar ol kain olkain al ol rol dl olor ol sheckhal daiin qokeedal daiin chckhy schedy	Sollstellung → Beckenlauf → Zieleinsatz → Quelle → Fortsetzung → Portion → Folgeportion → Stelle → Fortsetzung → Anschluss → Zusatz → Fortsetzungsansatz → Fortsetzung → Zielkurzpassage → Sollmaß → Ziellanghalt → Sollmaß → durchleiten → überführen	Sollstellung → Beckenlauf → Zieleinsatz → Quelle → Fortsetzung → Portion → Folgeportion → Stelle → Fortsetzung → Anschluss → Zusatz → Fortsetzungsansatz → Fortsetzung → Zielkurzpassage → Sollmaß → Ziellanghalt → Sollmaß → durchleiten → überführen	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S2_MATERIAL_MASS → S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER → S2_MATERIAL_MASS → S4_DAUER_ZUSTAND → S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S3_PROZESS_TRANSFER	EXACT
B1-S003	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe den laufenden Gang fort; dann setze um und schließe den Schritt.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Fortsetzung] · TRANSFER[Umsetzschluss]	E121|E122	qol sshkchdy	Fortsetzung → Umsetzschluss	Fortsetzung → Umsetzschluss	S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	EXACT
B1-S004	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze den laufenden Posten um; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.	NEEDS_EVENT_ALIGNMENT_LEDGER	TRANSFER[Umsetzen] · BEZUG[Fortsetzung] · TRANSFER[Kurzabsetzung]	E123|E124|E125	chedy ol shedy	Umsetzen → Fortsetzung → Kurzabsetzung	Umsetzen → Fortsetzung → Kurzabsetzung	S3_PROZESS_TRANSFER → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	EXACT
B1-S005	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe ihn weiter.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[weiterführen]	E126	qolchedy	weiterführen	weiterführen	S1_BEZUG_FOLGE	EXACT
B1-S006	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Gib einen Anteil zu; dann leite den Posten hindurch; dann gib den Zusatz zu; dann halte die Zielmarke ein.	NEEDS_EVENT_ALIGNMENT_LEDGER	MASS[Zugabe] · TRANSFER[durchleiten] · MASS[Zusatz] · ZIEL[Zielmarke]	E127|E128|E129|E130	qokain shckhy dl ral	Zugabe → durchleiten → Zusatz → Zielmarke	Zugabe → durchleiten → Zusatz → Zielmarke	S2_MATERIAL_MASS → S3_PROZESS_TRANSFER → S2_MATERIAL_MASS → S5_ZIEL_ANWENDUNG	EXACT
B1-S007	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Setze einen neuen Posten ein.	NEEDS_EVENT_ALIGNMENT_LEDGER	ZIEL[Neueinsatz]	E131	qokchdy	Neueinsatz	Neueinsatz	S5_ZIEL_ANWENDUNG	EXACT
B1-S008	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Halte diesen Posten aktiv; dann führe den laufenden Gang fort; dann wärme ihn kurz; dann führe den laufenden Gang fort; dann lass ihn kurz absetzen.	NEEDS_EVENT_ALIGNMENT_LEDGER	BEZUG[Diesposten] · BEZUG[Fortsetzung] · ZUSTAND[Kurzwärme] · BEZUG[Fortsetzung] · TRANSFER[Kurzabsetzung]	E132|E133|E134|E135|E136	chey ol cheky ol shedy	Diesposten → Fortsetzung → Kurzwärme → Fortsetzung → Kurzabsetzung	Diesposten → Fortsetzung → Kurzwärme → Fortsetzung → Kurzabsetzung	S1_BEZUG_FOLGE → S1_BEZUG_FOLGE → S4_DAUER_ZUSTAND → S1_BEZUG_FOLGE → S3_PROZESS_TRANSFER	EXACT
B1-S009	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.	NEEDS_EVENT_ALIGNMENT_LEDGER	ZUSTAND[Kurzkontakt]	E137	qokedy	Kurzkontakt	Kurzkontakt	S4_DAUER_ZUSTAND	EXACT
B1-S010	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Lass ihn kurz einwirken.	NEEDS_EVENT_ALIGNMENT_LEDGER	ZUSTAND[Kurzkontakt]	E138	qokedy	Kurzkontakt	Kurzkontakt	S4_DAUER_ZUSTAND	EXACT
B1-S011	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Leite den Posten hindurch; dann setze den Posten ein.	NEEDS_EVENT_ALIGNMENT_LEDGER	TRANSFER[durchleiten] · ZIEL[Einsetzen]	E139|E140	chckhy qoky	durchleiten → Einsetzen	durchleiten → Einsetzen	S3_PROZESS_TRANSFER → S5_ZIEL_ANWENDUNG	EXACT
B1-S012	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe einen Waschgang aus; dann lass ihn kurz einwirken; dann führe einen Waschgang aus.	NEEDS_EVENT_ALIGNMENT_LEDGER	TRANSFER[Waschgang] · ZUSTAND[Kurzkontakt] · TRANSFER[Waschgang]	E141|E142|E143	lsho qokey lshedy	Waschgang → Kurzkontakt → Waschgang	Waschgang → Kurzkontakt → Waschgang	S3_PROZESS_TRANSFER → S4_DAUER_ZUSTAND → S3_PROZESS_TRANSFER	EXACT
B1-S013	B1	Bei GEMEINSAMES_BEHANDLUNGSBECKEN: Führe einen Waschgang aus.	NEEDS_EVENT_ALIGNMENT_LEDGER	TRANSFER[Waschgang]	E144	lshedy	Waschgang	Waschgang	S3_PROZESS_TRANSFER	EXACT
