surface	working_meaning_de	composition	strongest_rival_de	family
aeky	Rohstoff bis zur Mittelstufe erhitzen und abschließen	LEARNED_AEKY_WHOLE	Rohstoff auf mittlerer Heizstufe	RAW_HEAT_CLOSE
teolshy	Drogenstoff bis zur Mittelstufe kühlen, anfeuchten und abschließen	LEARNED_TEOLSHY_WHOLE	kalt-feuchter Drogenstoff auf Mittelstufe	MATERIAL_COOL_MOIST_CLOSE
cheoraiin	drei Portionen bis zur Mittelstufe getrockneter Droge	LEARNED_CHEORAIIN_WHOLE	dritte Fraktion getrockneter Droge	DRY_PORTION_III
okairy	zweite Drogenfraktion im Ansatz erhitzen und abschließen	LEARNED_OKAIRY_WHOLE	heiße Drogenfraktion II im Ansatz	HEAT_FRACTION_II_CLOSE
ycheedy	trockne hiervon vollständig und schließe ab	LEARNED_YCHEEDY_WHOLE	vollständig getrockneter Posten	REFERENCE_DRY_CLOSE
cheary	erste Trockenfraktion abschließen	LEARNED_CHEARY_WHOLE	erste bis zur Mittelstufe getrocknete Fraktion	DRY_FRACTION_I_CLOSE
shedain	zwei Dosen bis zur Mittelstufe eingeweichten Ansatzes	LEARNED_SHEDAIN_WHOLE	zwei Maße eingeweichter Droge	MOIST_DOSE_II
chcthor	eine Portion getrocknete Krautdroge	LEARNED_CHCTHOR_WHOLE	getrockneter Krautdrogenteil	DRY_HERB_PORTION
lkeeol	vollständig erhitzter Holzdrogenstoff	LEARNED_LKEEOL_WHOLE	Holzdrogenstoff bis zur Mittelstufe erhitzt	WOOD_HEAT_END
polchdy	Pulverdrogenstoff trocknen und fertigstellen	LEARNED_POLCHDY_WHOLE	fertiges Trockenpulver	POWDER_DRY_FINISH
pchodain	zwei Dosen Trockenpulveransatz	LEARNED_PCHODAIN_WHOLE	zwei Maße Trockenpulver	POWDER_DRY_DOSE_II
ykeedan	erhitze hiervon zwei Maße vollständig	LEARNED_YKEEDAN_WHOLE	eine vollständig erhitzte Dosis	REFERENCE_HEAT_MEASURE
loar	erste Holzdrogenfraktion im Ansatz	LEARNED_LOAR_WHOLE	erste Holzfraktion	WOOD_FRACTION_I
oteeey	Ansatz auf Kühlendstufe abschließen	LEARNED_OTEEEY_WHOLE	vollständig gekühlter Ansatz	COOL_END_CLOSE
olchedaiin	drei Dosen Drogenstoff bis zur Mittelstufe trocknen	LEARNED_OLCHEDAIIN_WHOLE	drei Teile mitteltrockener Drogenstoff	MATERIAL_DRY_DOSE_III
oeeody	Ansatz vollständig bereiten und abschließen	LEARNED_OEEODY_WHOLE	vollständig bereiteter Ansatz	PREP_FINAL_CLOSE
chold	Trockendrogenstoff abschließen	LEARNED_CHOLD_WHOLE	fertiger Trockenansatz	DRY_MATERIAL_CLOSE
soshy	Saatgutzubereitung leicht anfeuchten	LEARNED_SOSHY_WHOLE	leicht angefeuchtetes Saatgut	SEED_MOIST
koshet	heißen Ansatz einweichen und abkühlen	LEARNED_KOSHET_WHOLE	heiß-feuchter Ansatz, anschließend kalt	HOT_SOAK_COOL
dairin	abgemessene zweite Drogenfraktion, Form I	LEARNED_DAIRIN_WHOLE	zweite Drogenfraktion, Dosis I	MEASURED_FRACTION_II_FORM_I
sholo	Drogenstoff leicht anfeuchten und ansetzen	LEARNED_SHOLO_WHOLE	angefeuchteter Drogenstoff im Ansatz	MOIST_MATERIAL_PREP
keaiin	drei Teile bis zur Mittelstufe erhitzter Droge	LEARNED_KEAIIN_WHOLE	heißer Drogenstoff, Menge III	HOT_QUANTITY_III
dolcheey	abgemessenen Drogenstoff vollständig trocknen	LEARNED_DOLCHEEY_WHOLE	vollständig getrocknete Drogenmenge	MEASURE_DRY_MATERIAL
okeor	eine Portion Ansatz bis zur Mittelstufe erhitzt	LEARNED_OKEOR_WHOLE	eine Portion leicht erhitzten Ansatzes	PREP_HEAT_PORTION
chod	Trocknung abschließen	LEARNED_CHOD_WHOLE	getrockneter Ansatz, abgeschlossen	DRY_CLOSE
doty	abgemessenen Ansatz abkühlen und abschließen	LEARNED_DOTY_WHOLE	abgemessener kalter Ansatz	MEASURE_COOL_CLOSE
opchol	Trockenpulveransatz	LEARNED_OPCHOL_WHOLE	getrockneter Drogenstoff im Ansatz	DRY_POWDER_PREP
otchyd	kalten Ansatz trocknen und abschließen	LEARNED_OTCHYD_WHOLE	kalt getrockneter Ansatz	COLD_DRY_CLOSE
oeeeos	vollständig bereitete Ansatzcharge	LEARNED_OEEEOS_WHOLE	Ansatzposten auf Endstufe	PREP_FINAL_CHARGE
okoeor	eine Portion Ansatz erneut bis zur Mittelstufe erhitzen	LEARNED_OKOEOR_WHOLE	erneut erhitzte Ansatzportion	REHEAT_PORTION
qotcho	kühle und trockne den Ansatz	LEARNED_QOTCHO_WHOLE	kalten Trockenansatz nehmen	COOL_DRY_COMMAND
eaiin	drei Teile auf Mittelstufe	LEARNED_EAIIN_WHOLE	dritte Mittelstufe	MIDDLE_QUANTITY_III
dorchory	eine Portion Pflanzendroge abmessen und abschließen	LEARNED_DORCHORY_WHOLE	fertig abgemessener Pflanzenteil	MEASURE_PLANT_PORTION
otcheor	eine Portion kalt getrockneter Droge	LEARNED_OTCHEOR_WHOLE	kalte getrocknete Drogenportion	COLD_DRY_PORTION
cths	Krautdrogenposten	LEARNED_CTHS_WHOLE	Krautdroge, fertige Art	HERB_SPECIES
