surface	working_meaning_de	composition	strongest_rival_de	family
aeky	einen Teil bis zur Mittelstufe erhitzen und abschließen	A_PART_OR_LINK+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	leicht erwärmter Anteil der Mittelstufe	HEAT
teolshy	Drogenstoff im Ansatz abkühlen und leicht einweichen	T_COLD+E_MIDDLE+OL_MATERIAL+SH_MOIST+Y_START_OR_CLOSE	leicht eingeweichter kalter Drogenstoff	COLD_SOAK
cheoraiin	drei Portionen bis zur Mittelstufe getrockneter Droge	CH_DRY+E_MIDDLE+OR_PORTION+AIIN_III	drei Teile trockene Drogenportion	MEASURE
okairy	zweite Fraktion des heißen Ansatzes abschließen	O_PREP+K_HOT+AIR_FRACTION_II+Y_START_OR_CLOSE	leicht erhitzte zweite Fraktion	FRACTION
ycheedy	trockne hiervon vollständig und stelle fertig	Y_REFERENCE+CH_DRY+EE_END+DY_FINISHED	vollständig getrocknete Fertigdroge	DRY
cheary	erste Trockenfraktion bis zur Mittelstufe führen und abschließen	CH_DRY+E_MIDDLE+AR_FRACTION_I+Y_START_OR_CLOSE	leicht getrocknete erste Fraktion	FRACTION
shedain	zwei Dosen bis zur Mittelstufe eingeweichter Droge	SH_MOIST+E_MIDDLE+D_MEASURE+AIN_II	Feuchtdroge auf Dosisstufe II	MEASURE
chcthor	getrocknete Krautdrogenportion	CH_DRY+CTH_HERB+OR_PORTION	Krautportion trocknen	HERB
lkeeol	Holzdrogenstoff vollständig erhitzen	L_WOOD+K_HOT+EE_END+OL_MATERIAL	vollständig erhitzter Holzauszug	WOOD
polchdy	Pulverstoff trocknen und fertigstellen	P_POWDER+OL_MATERIAL+CH_DRY+DY_FINISHED	fertiger getrockneter Pulverauszug	POWDER
pchodain	zwei Dosen Trockenpulveransatz	P_POWDER+CH_DRY+O_PREP+D_MEASURE+AIN_II	Pulveransatz trocknen und zwei Dosen abmessen	POWDER
ykeedan	erhitze hiervon vollständig und miss eine Dosis ab	Y_REFERENCE+K_HOT+EE_END+D_MEASURE+AN_I	eine Dosis vollständig erhitzter Droge	MEASURE
loar	erste Fraktion Holzdrogenansatz	L_WOOD+O_PREP+AR_FRACTION_I	Holzfraktion I	WOOD
oteeey	Ansatz bis zur letzten Stufe abkühlen und schließen	O_PREP+T_COLD+EEE_LONG_OR_FINAL+Y_START_OR_CLOSE	vollständig gekühlter Ansatz	COLD
olchedaiin	drei Dosen bis zur Mittelstufe getrockneten Drogenstoffs	OL_MATERIAL+CH_DRY+E_MIDDLE+D_MEASURE+AIIN_III	drei Teile getrockneter Drogenstoff	MEASURE
oeeody	Ansatz vollständig bereiten und fertigstellen	O_PREP+EE_END+O_PREP+DY_FINISHED	fertiger erneut angesetzter Endstufenansatz	PREPARATION
chold	getrockneten Drogenstoff abschließen	CH_DRY+OL_MATERIAL+D_TERM_CLOSE	getrockneten Drogenstoff abziehen	DRY
soshy	Saatgutzubereitung leicht einweichen	SO_SEED_PREP+SH_MOIST+Y_START_OR_CLOSE	leicht angefeuchtetes Saatgut	SEED
koshet	Ansatz erhitzen, bis zur Mittelstufe einweichen und abkühlen	K_HOT+O_PREP+SH_MOIST+E_MIDDLE+T_COLD	feuchtwarme Zubereitung bis zur Mittelstufe kühlen	HEAT_SOAK
dairin	zweite Fraktion in Zubereitungsform II abmessen	D_MEASURE+AIR_FRACTION_II+IN_FORM_II	zweite Dosis, Form II	FRACTION
