surface	working_meaning_de	composition	strongest_rival_de	family
aeky	einen Teil bis zur Mittelstufe erhitzen und abschließen	A_PART_OR_LINK+E_MIDDLE+K_HOT+Y_START_OR_CLOSE	leicht erhitzter gleicher Anteil	MEASURE
teolshy	Drogenstoff bis zur Mittelstufe abkühlen, einweichen und abschließen	T_COLD+E_MIDDLE+OL_MATERIAL+SH_MOIST+Y_START_OR_CLOSE	leicht angefeuchteter kalter Drogenstoff	ACTION
cheoraiin	drei Portionen bis zur Mittelstufe getrockneter Droge	CH_DRY+E_MIDDLE+OR_PORTION+AIIN_III	Trockenportion der dritten Stufe	MEASURE
okairy	zweite Fraktion des erhitzten Ansatzes abschließen	O_PREP+K_HOT+AIR_FRACTION_II+Y_START_OR_CLOSE	leicht erhitzte Ansatzfraktion II	FRACTION
ycheedy	trockne hiervon vollständig und stelle es fertig	Y_REFERENCE+CH_DRY+EE_END+DY_FINISHED	vollständig getrocknete Droge dieser Zubereitung	ACTION
cheary	erste Fraktion bis zur Mittelstufe trocknen und abschließen	CH_DRY+E_MIDDLE+AR_FRACTION_I+Y_START_OR_CLOSE	mäßig getrocknete Fraktion I	FRACTION
shedain	zwei Dosen bis zur Mittelstufe eingeweichter Droge	SH_MOIST+E_MIDDLE+D_MEASURE+AIN_II	eingeweichte Droge auf Dosisstufe II	MEASURE
chcthor	eine Portion getrocknete Krautdroge	CH_DRY+CTH_HERB+OR_PORTION	eine Portion Krautdroge trocknen	HERB
lkeeol	Holzdrogenstoff vollständig erhitzen	L_WOOD+K_HOT+EE_END+OL_MATERIAL	vollständig erhitzter Holzdrogenauszug	WOOD
polchdy	Pulverstoff trocknen und fertigstellen	P_POWDER+OL_MATERIAL+CH_DRY+DY_FINISHED	fertig getrocknetes Pulverpräparat	POWDER
pchodain	zwei Dosen getrockneten Pulveransatzes abmessen	P_POWDER+CH_DRY+O_PREP+D_MEASURE+AIN_II	Pulveransatz auf Trockenstufe II	MEASURE
ykeedan	erhitze hiervon vollständig und miss eine Dosis I ab	Y_REFERENCE+K_HOT+EE_END+D_MEASURE+AN_I	vollständig erhitzte Dosis I dieser Droge	MEASURE
