rank	locus	zl3b_line	manual_workshop_translation_de	notes
1	f18r.4	chor cthor okeor ykchol okain	Pflanzenteil; Portion Blatt-/Krautdroge; eine Portion Ansatz bis zur Mittelstufe erhitzt. Erhitze und trockne hiervon den Drogenstoff; danach heiße Drogenfraktion I im Ansatz.	okeor bleibt nominal; nur ykchol trägt den Befehl.
2	f52v.4	tchor ctheor ctheol cheeor cheol chckheey sody	Kalt-trockene Drogenportion; Portion Krautdroge; Krautdrogenstoff der Mittelstufe; eine Portion vollständig getrockneter Droge; trockener Drogenstoff; Arzneikompositum trocken auf Endstufe; fertig bereitete Saatgutzubereitung.	Reine Zutaten- und Zustandsfolge; kein Verb ergänzt.
3	f108v.32	dain shedain qokedar olkeedy qokeedy shedy chedar chedy oteedy qokam	Zwei Maße; zwei Dosen bis zur Mittelstufe eingeweichten Ansatzes. Erhitze bis zur Mittelstufe und miss die erste Fraktion ab; Holzdrogenansatz vollständig erhitzt und abgeschlossen; Heizendstufe; Einweichmittelstufe abgeschlossen; abgemessene Trockenfraktion I auf Mittelstufe; Trockenmittelstufe abgeschlossen; Ansatz auf Kühlendstufe abgeschlossen. Nimm ein Maß und erhitze es.	Beide dain-Mengen bleiben getrennt sichtbar; keine zusätzliche Flüssigkeit.
4	f93v.10	ychol chs ckhy s cheeol	Trockne hiervon den Drogenstoff. Trockengut in Grundform; Arzneikompositum am Gradanfang; Saatgutposten; vollständig getrockneter Drogenstoff.	cheeol nominal, der einzige explizite Trocknungsbefehl ist ychol.
5	f76r.6	solchedy qokeedy qopchedy qokeeo rol shedy qokedy sheey okees al al chedain dar	Saatgutposten: Rohdroge I bis zur Mittelstufe trocknen und fertigstellen. Heizendstufe. Nimm das bis zur Mittelstufe getrocknete und fertiggestellte Pulverpräparat; heißer Ansatz auf Bindungsstufe II; Wurzelstoff; Einweichmittelstufe abgeschlossen; Heizmittelstufe abgeschlossen; vollständig eingeweicht; Charge vollständig erhitzten Ansatzes; zweimal Rohstoff I; zwei Dosen bis zur Mittelstufe getrockneter Droge; abgemessene Fraktion I.	okees bleibt Chargenbezeichnung, nicht zusätzlicher Heizbefehl.
6	f76r.40	qolchey shckhy qokey lchy opchey dain shdy qokedar olchdy sor oty dy lchedy	Gib die bis zur Mittelstufe getrocknete Droge hinzu. Arzneikompositum feucht am Gradanfang; Heizmittelstufe; Drogenholz in trockener Grundform; Trockenpulveransatz Form I; zwei Maße; leicht angefeuchtet und abgeschlossen. Erhitze bis zur Mittelstufe und miss die erste Fraktion ab; trockne den Drogenstoff und stelle ihn fertig; Samenportion; kalter Ansatz am Gradanfang; Posten abgeschlossen; getrocknetes Drogenholz.	Die zwei Befehlsgruppen stammen allein aus qolchey und qokedar/olchdy.
7	f29v.7	qotcho kchor daiin ykaiin dy shdy chocthy sheky	Kühle und trockne den Ansatz. Heiß-trockene Drogenportion; drei Maße. Erhitze hiervon auf Stufe III; Posten abgeschlossen; leicht angefeuchtet und abgeschlossen; trockene Krautzubereitung. Weiche bis zur Mittelstufe ein, erhitze und schließe ab.	qotcho trägt beide Anfangsoperationen; kein ungeschriebenes Nehmen.
8	f43v.3	tody teedy qot chocthy chky oky chdy okedy ykaiin chey ody dary	Ansatz abkühlen und abschließen. Kühlendstufe; kühle das Folgende ab: trockene Krautzubereitung. Erhitze getrocknete Droge leicht; leicht erhitzter Ansatz; Trocknung abgeschlossen; Ansatz auf mittlerer Heizstufe abgeschlossen. Erhitze hiervon auf Stufe III; Trockenmittelstufe; fertiggestellter Ansatz; abgemessene Fraktion I, abgeschlossen.	Alle sichtbaren Operationen erhalten; tody ist kein bloßes Produktetikett.
9	f18v.7	ychol dor chod qokol daiin qokol dar dy	Trockne hiervon den Drogenstoff; miss eine Portion Droge ab; schließe die Trocknung ab. Erhitze den Drogenstoff; drei Maße; erhitze die abgemessene Fraktion I und schließe den Posten ab.	chod als Abschluss der unmittelbar vorausgehenden Trocknung.
10	f50v.8	ykar okair otor qokedy ykchol kar chckhy olkaiin okain qod	Nimm hiervon die erste erhitzte Drogenfraktion. Heiße zweite Drogenfraktion im Ansatz; kalte Drogenportion im Ansatz; bis zur mittleren Heizstufe gebracht. Erhitze und trockne hiervon den Drogenstoff; heiße Drogenfraktion I; trockenes Arzneikompositum am Gradanfang; Holzdrogenansatz auf Heizstufe III; heiße Drogenfraktion I im Ansatz. Nimm den fertigen Ansatz.	qod ist der abschließende ausdrückliche Nehmbefehl.
