copy_id	unit_id	page	scribe_profile	group_count	source_surface_sequence	rendered_surface_sequence	atom_sequence	fixed_generated_prose_de	surface_changes	profile_matches	semantic_readback_changed	status
H1-S001::S1_BARE_MASTER	H1-S001	f10r	S1_BARE_MASTER	10	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor char chty os kair otytchol oky daiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	Bildbesitzer: diese Bildpflanze. Kartenfolge: Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der im Artikel gemeinte untere Pflanzenteil; das für den Gang vorgesehene Wasser; das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz; das sichtbare oder gelernte Arbeitsgefäß; der abgeteilte Teil; das örtliche Sollmaß.	1	10	NO	SAFE_ALLOGRAPHIC_RENDERING
H1-S001::S2_Q_CELL_SCRIBE	H1-S001	f10r	S2_Q_CELL_SCRIBE	10	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor sar chety os chair otytchol qokchy aiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	Bildbesitzer: diese Bildpflanze. Kartenfolge: Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der im Artikel gemeinte untere Pflanzenteil; das für den Gang vorgesehene Wasser; das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz; das sichtbare oder gelernte Arbeitsgefäß; der abgeteilte Teil; das örtliche Sollmaß.	4	1	NO	SAFE_ALLOGRAPHIC_RENDERING
H1-S001::S3_S_LINE_SCRIBE	H1-S001	f10r	S3_S_LINE_SCRIBE	10	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor sar chty os schedair otytchol qokchy saiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	Bildbesitzer: diese Bildpflanze. Kartenfolge: Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der im Artikel gemeinte untere Pflanzenteil; das für den Gang vorgesehene Wasser; das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz; das sichtbare oder gelernte Arbeitsgefäß; der abgeteilte Teil; das örtliche Sollmaß.	4	3	NO	SAFE_ALLOGRAPHIC_RENDERING
H1-S001::S4_MIXED_COMPACT	H1-S001	f10r	S4_MIXED_COMPACT	10	dchey cthoor char chty os chair otytchol oky daiin etyd	dchey cthoor dar chety os kair otytchol okchy aiin etyd	DCHE+Y | CTH+OR | AR | PARTITION+TY | OS | AIR | OT+TY+OL | OK+Y | AIIN | E+TY	Bildbesitzer: diese Bildpflanze. Kartenfolge: Wurzel als aktueller Posten; Ansatz bereit; aus dem Ansatz; Teil abtrennen; Mischgefäß; Wasserzulauf; naechsten Teilposten weiterfuehren; aktuellen Posten ansetzen; Sollmaß; kleiner Restteil. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der im Artikel gemeinte untere Pflanzenteil; das für den Gang vorgesehene Wasser; das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz; das sichtbare oder gelernte Arbeitsgefäß; der abgeteilte Teil; das örtliche Sollmaß.	5	6	NO	SAFE_ALLOGRAPHIC_RENDERING
H1-S002::S1_BARE_MASTER	H1-S002	f10r	S1_BARE_MASTER	4	qokchy qotchol chol cthy	choky otol chol cthy	OK+Y | OT+OL | OL | CTH+Y	Bildbesitzer: diese Bildpflanze. Kartenfolge: Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit. Der Pflanzenartikel setzt dabei voraus: das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz.	2	4	NO	SAFE_ALLOGRAPHIC_RENDERING
H1-S002::S2_Q_CELL_SCRIBE	H1-S002	f10r	S2_Q_CELL_SCRIBE	4	qokchy qotchol chol cthy	qoky qotchol qol checthy	OK+Y | OT+OL | OL | CTH+Y	Bildbesitzer: diese Bildpflanze. Kartenfolge: Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit. Der Pflanzenartikel setzt dabei voraus: das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz.	3	3	NO	SAFE_ALLOGRAPHIC_RENDERING
H1-S002::S3_S_LINE_SCRIBE	H1-S002	f10r	S3_S_LINE_SCRIBE	4	qokchy qotchol chol cthy	okchy otol sol shcthy	OK+Y | OT+OL | OL | CTH+Y	Bildbesitzer: diese Bildpflanze. Kartenfolge: Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit. Der Pflanzenartikel setzt dabei voraus: das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz.	4	2	NO	SAFE_ALLOGRAPHIC_RENDERING
H1-S002::S4_MIXED_COMPACT	H1-S002	f10r	S4_MIXED_COMPACT	4	qokchy qotchol chol cthy	oky otol ol shcthy	OK+Y | OT+OL | OL | CTH+Y	Bildbesitzer: diese Bildpflanze. Kartenfolge: Posten zur Weiterbearbeitung ansetzen; danach weiterfuehren; fortsetzen; bereit. Der Pflanzenartikel setzt dabei voraus: das Ergebnis des gerade geführten Auszugsgangs; der laufende Arbeitsansatz.	4	3	NO	SAFE_ALLOGRAPHIC_RENDERING
H2-S001::S1_BARE_MASTER	H2-S001	f10r	S1_BARE_MASTER	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor cthy chor cthaiin qoctholy chy chey aiin dy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Bildbesitzer: diese Bildpflanze. Kartenfolge: Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der bild- oder exemplarbestimmte Blütenteil; der aktuell verarbeitete Pflanzenposten; das im Rezept vorgesehene Öl; der aus der Pflanze gewonnene Saft; der laufende Arbeitsansatz; das für den Durchgang vorgesehene Tuch; das örtliche Sollmaß.	4	8	NO	SAFE_ALLOGRAPHIC_RENDERING
H2-S001::S2_Q_CELL_SCRIBE	H2-S001	f10r	S2_Q_CELL_SCRIBE	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor cthy or cthaiin qoctholy dy sy chaiin shy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Bildbesitzer: diese Bildpflanze. Kartenfolge: Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der bild- oder exemplarbestimmte Blütenteil; der aktuell verarbeitete Pflanzenposten; das im Rezept vorgesehene Öl; der aus der Pflanze gewonnene Saft; der laufende Arbeitsansatz; das für den Durchgang vorgesehene Tuch; das örtliche Sollmaß.	3	1	NO	SAFE_ALLOGRAPHIC_RENDERING
H2-S001::S3_S_LINE_SCRIBE	H2-S001	f10r	S3_S_LINE_SCRIBE	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor shcthy shor cthaiin qoctholy sy shy saiin shy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Bildbesitzer: diese Bildpflanze. Kartenfolge: Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der bild- oder exemplarbestimmte Blütenteil; der aktuell verarbeitete Pflanzenposten; das im Rezept vorgesehene Öl; der aus der Pflanze gewonnene Saft; der laufende Arbeitsansatz; das für den Durchgang vorgesehene Tuch; das örtliche Sollmaß.	5	6	NO	SAFE_ALLOGRAPHIC_RENDERING
H2-S001::S4_MIXED_COMPACT	H2-S001	f10r	S4_MIXED_COMPACT	9	ycheor cthy chor cthaiin qoctholy dy chy taiin shy	ycheor checthy or cthaiin qoctholy dy dy daiin dy	Y+CHEO+OR | CTH+Y | OR | CTH+AIIN | CTH+OL+Y | Y | Y | AIIN | Y	Bildbesitzer: diese Bildpflanze. Kartenfolge: Auszugsansatz; bereit; Ansatz; Fertigmaß; bereiten Posten weiterfuehren; dieser Posten; dieser Posten; Sollmaß; dieser Posten. Der Pflanzenartikel setzt dabei voraus: die abgebildete Pflanze; der bild- oder exemplarbestimmte Blütenteil; der aktuell verarbeitete Pflanzenposten; das im Rezept vorgesehene Öl; der aus der Pflanze gewonnene Saft; der laufende Arbeitsansatz; das für den Durchgang vorgesehene Tuch; das örtliche Sollmaß.	5	5	NO	SAFE_ALLOGRAPHIC_RENDERING
H2-S002::S1_BARE_MASTER	H2-S002	f10r	S1_BARE_MASTER	8	qotchor chor otol chol cholor chol daiin dar	otchor or otol cheol cholor rol chaiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Bildbesitzer: diese Bildpflanze. Kartenfolge: Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz. Der Pflanzenartikel setzt dabei voraus: der bild- oder exemplarbestimmte Blütenteil; der laufende Arbeitsansatz; eine abgeteilte Portion; das örtliche Sollmaß.	5	8	NO	SAFE_ALLOGRAPHIC_RENDERING
H2-S002::S2_Q_CELL_SCRIBE	H2-S002	f10r	S2_Q_CELL_SCRIBE	8	qotchor chor otol chol cholor chol daiin dar	qotchor shor qotchol qolky olor qolky taiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Bildbesitzer: diese Bildpflanze. Kartenfolge: Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz. Der Pflanzenartikel setzt dabei voraus: der bild- oder exemplarbestimmte Blütenteil; der laufende Arbeitsansatz; eine abgeteilte Portion; das örtliche Sollmaß.	6	4	NO	SAFE_ALLOGRAPHIC_RENDERING
H2-S002::S3_S_LINE_SCRIBE	H2-S002	f10r	S3_S_LINE_SCRIBE	8	qotchor chor otol chol cholor chol daiin dar	qotchor sor qotchol sol cholor sol saiin sar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Bildbesitzer: diese Bildpflanze. Kartenfolge: Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz. Der Pflanzenartikel setzt dabei voraus: der bild- oder exemplarbestimmte Blütenteil; der laufende Arbeitsansatz; eine abgeteilte Portion; das örtliche Sollmaß.	6	5	NO	SAFE_ALLOGRAPHIC_RENDERING
H2-S002::S4_MIXED_COMPACT	H2-S002	f10r	S4_MIXED_COMPACT	8	qotchor chor otol chol cholor chol daiin dar	otchor or otol ol olor ol aiin dar	OT+OR | OR | OT+OL | OL | OL+OR | OL | AIIN | AR	Bildbesitzer: diese Bildpflanze. Kartenfolge: Folgeansatz; Ansatz; danach fortsetzen; fortsetzen; Fortsetzungsansatz; fortsetzen; Sollmaß; aus dem Ansatz. Der Pflanzenartikel setzt dabei voraus: der bild- oder exemplarbestimmte Blütenteil; der laufende Arbeitsansatz; eine abgeteilte Portion; das örtliche Sollmaß.	6	8	NO	SAFE_ALLOGRAPHIC_RENDERING
H2-S003::S1_BARE_MASTER	H2-S003	f10r	S1_BARE_MASTER	7	oykchor shor chor chy kaiiin dy chodaiin	oykchor or chor y kaiiin chy chodaiin	Y+KCH+OR | OR | OR | Y | IIN | Y | HO+AIIN	Bildbesitzer: diese Bildpflanze. Kartenfolge: aktuellen Ansatz bearbeiten; Ansatz; Ansatz; dieser Posten; Weichstufe; dieser Posten; Zutatenmaß. Der Pflanzenartikel setzt dabei voraus: der laufende Arbeitsansatz; das sichtbare oder gelernte Arbeitsgefäß.	3	7	NO	SAFE_ALLOGRAPHIC_RENDERING
