copy_id	unit_id	page	scribe_profile	group_position	source_group_id	atom_sequence	source_surface	selected_surface	selection_mode	surface_changed	atom_identity_preserved
H1-S001::S1_BARE_MASTER	H1-S001	f10r	S1_BARE_MASTER	1	E001	DCHE+Y	dchey	dchey	PROFILE_MATCH	NO	YES
H1-S001::S1_BARE_MASTER	H1-S001	f10r	S1_BARE_MASTER	2	E002	CTH+OR	cthoor	cthoor	PROFILE_MATCH	NO	YES
H1-S001::S1_BARE_MASTER	H1-S001	f10r	S1_BARE_MASTER	3	E003	AR	char	char	PROFILE_MATCH	NO	YES
H1-S001::S1_BARE_MASTER	H1-S001	f10r	S1_BARE_MASTER	4	E004	PARTITION+TY	chty	chty	PROFILE_MATCH	NO	YES
H1-S001::S1_BARE_MASTER	H1-S001	f10r	S1_BARE_MASTER	5	E005	OS	os	os	PROFILE_MATCH	NO	YES
H1-S001::S1_BARE_MASTER	H1-S001	f10r	S1_BARE_MASTER	6	E006	AIR	chair	kair	PROFILE_MATCH	YES	YES
H1-S001::S1_BARE_MASTER	H1-S001	f10r	S1_BARE_MASTER	7	E007	OT+TY+OL	otytchol	otytchol	PROFILE_MATCH	NO	YES
H1-S001::S1_BARE_MASTER	H1-S001	f10r	S1_BARE_MASTER	8	E008	OK+Y	oky	oky	PROFILE_MATCH	NO	YES
H1-S001::S1_BARE_MASTER	H1-S001	f10r	S1_BARE_MASTER	9	E009	AIIN	daiin	daiin	PROFILE_MATCH	NO	YES
H1-S001::S1_BARE_MASTER	H1-S001	f10r	S1_BARE_MASTER	10	E010	E+TY	etyd	etyd	PROFILE_MATCH	NO	YES
H1-S001::S2_Q_CELL_SCRIBE	H1-S001	f10r	S2_Q_CELL_SCRIBE	1	E001	DCHE+Y	dchey	dchey	REGISTERED_FALLBACK	NO	YES
H1-S001::S2_Q_CELL_SCRIBE	H1-S001	f10r	S2_Q_CELL_SCRIBE	2	E002	CTH+OR	cthoor	cthoor	REGISTERED_FALLBACK	NO	YES
H1-S001::S2_Q_CELL_SCRIBE	H1-S001	f10r	S2_Q_CELL_SCRIBE	3	E003	AR	char	sar	REGISTERED_FALLBACK	YES	YES
H1-S001::S2_Q_CELL_SCRIBE	H1-S001	f10r	S2_Q_CELL_SCRIBE	4	E004	PARTITION+TY	chty	chety	REGISTERED_FALLBACK	YES	YES
H1-S001::S2_Q_CELL_SCRIBE	H1-S001	f10r	S2_Q_CELL_SCRIBE	5	E005	OS	os	os	REGISTERED_FALLBACK	NO	YES
H1-S001::S2_Q_CELL_SCRIBE	H1-S001	f10r	S2_Q_CELL_SCRIBE	6	E006	AIR	chair	chair	REGISTERED_FALLBACK	NO	YES
H1-S001::S2_Q_CELL_SCRIBE	H1-S001	f10r	S2_Q_CELL_SCRIBE	7	E007	OT+TY+OL	otytchol	otytchol	REGISTERED_FALLBACK	NO	YES
H1-S001::S2_Q_CELL_SCRIBE	H1-S001	f10r	S2_Q_CELL_SCRIBE	8	E008	OK+Y	oky	qokchy	PROFILE_MATCH	YES	YES
H1-S001::S2_Q_CELL_SCRIBE	H1-S001	f10r	S2_Q_CELL_SCRIBE	9	E009	AIIN	daiin	aiin	REGISTERED_FALLBACK	YES	YES
