exact_card_id	component_recipe	surfaces	events	long_events	short_events	complex_events	lesson	working_reading_de
PROC042	CHD+Y	chdy,chedy	11	10	1	0	WRAPPER_SELECTS_CH_OR_CHE	UMSETZEN · DIES
PROC076	CHD+DY	dchedy,schedy,tchedy	4	4	0	0	LONG_DEFAULT	UMSETZEN · SCHLUSS
PROC077	SH+K+CHD+DY	sshkchdy	1	0	1	0	SHORT_STRIP	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS
PROC079	OL+CHD+DY	olchedy,qolchedy	3	3	0	0	LONG_DEFAULT	WEITER · UMSETZEN · SCHLUSS
PROC082	OK+CHD+DY	qokchdy	3	0	3	0	SHORT_STRIP	ANSETZEN · UMSETZEN · SCHLUSS
PROC088	L+CHD+AL	lchedal	1	1	0	0	LONG_DEFAULT	LEITEN · UMSETZEN · ZIELSTELLE
PROC091	OK+CHD+DY	okchedy,qokchedy	2	2	0	0	LONG_DEFAULT	ANSETZEN · UMSETZEN · SCHLUSS
PROC094	CHD+DY	dchdy	1	0	1	0	SHORT_STRIP	UMSETZEN · SCHLUSS
PROC102	L+CHD	lched	1	1	0	0	LONG_DEFAULT	LEITEN · UMSETZEN
PROC120	L+CHD+DY	lchedy	8	8	0	0	LONG_DEFAULT	LEITEN · UMSETZEN · SCHLUSS
PROC123	L+CHD+AR	lchedar	1	1	0	0	LONG_DEFAULT	LEITEN · UMSETZEN · QUELLE
PROC125	P+CHD+DY	pchedy	1	1	0	0	LONG_DEFAULT	FUELLEN · UMSETZEN · SCHLUSS
PROC130	L+O+CHD+DY	lochedy	1	1	0	0	LONG_DEFAULT	LEITEN · ARBEITSGANG · UMSETZEN · SCHLUSS
PROC133	CHD+Y	chedchy	1	1	0	0	LONG_DEFAULT	UMSETZEN · DIES
PROC134	P+CHD+AL	pchedal	1	1	0	0	LONG_DEFAULT	FUELLEN · UMSETZEN · ZIELSTELLE
PROC136	SH+E+CTH+CHD+Y	shecthedchy	1	0	0	1	COPY_COMPLEX_MODEL	HALTEN · KURZ · BEREITEN · UMSETZEN · DIES
PROC144	AL+CHD+DY	dalchdy	1	0	1	0	SHORT_STRIP	ZIELSTELLE · UMSETZEN · SCHLUSS
PROC145	OT+CHD+DY	otchedy,qotchedy	2	2	0	0	LONG_DEFAULT	DANACH · UMSETZEN · SCHLUSS
PROC150	CHD+AIR	schedair	1	1	0	0	LONG_DEFAULT	UMSETZEN · WASSER
PROC151	CHD+AIN	chedain	1	1	0	0	LONG_DEFAULT	UMSETZEN · PORTION
PROC166	OT+CHD+DY	otchdy	1	0	1	0	SHORT_STRIP	DANACH · UMSETZEN · SCHLUSS
PROC168	CHD+AL	chdal	1	0	1	0	SHORT_STRIP	UMSETZEN · ZIELSTELLE
