event_id	page	hand	record	statement_id	locus	group_index	field_ordinal	within_field_position	line_first	prev_dy	dy_closure	observed_wrapper	exact_card_id	surface	component_recipe	working_reading_de	observed_length_class	selection_rule	predicted_length_class	selection_correct
E062	f55v	HAND_2	H4	H4-S002	f55v.5	7	2	MIDDLE	0	0	0	che	PROC042	chedy	CHD+Y	UMSETZEN · DIES	LONG_CHED	PROC042_WRAPPER_CH_SHORT_CHE_LONG	LONG_CHED	YES
E120	f81v	HAND_2	B1	B1-S002	f81v.7	8	1	LAST	0	0	1	s	PROC076	schedy	CHD+DY	UMSETZEN · SCHLUSS	LONG_CHED	DEFAULT_LONG_CHED	LONG_CHED	YES
E122	f81v	HAND_2	B1	B1-S003	f81v.17	1	1	ONLY	1	0	1	s	PROC077	sshkchdy	SH+K+CHD+DY	HALTEN · ZUGEBEN · UMSETZEN · SCHLUSS	SHORT_CHD	SIX_CARD_SHORT_STRIP	SHORT_CHD	YES
E123	f81v	HAND_2	B1	B1-S004	f81v.17	2	2	FIRST	0	1	0	che	PROC042	chedy	CHD+Y	UMSETZEN · DIES	LONG_CHED	PROC042_WRAPPER_CH_SHORT_CHE_LONG	LONG_CHED	YES
E126	f81v	HAND_2	B1	B1-S005	f81v.17	5	3	ONLY	0	1	1	q	PROC079	qolchedy	OL+CHD+DY	WEITER · UMSETZEN · SCHLUSS	LONG_CHED	DEFAULT_LONG_CHED	LONG_CHED	YES
E131	f81v	HAND_2	B1	B1-S007	f81v.18	1	1	ONLY	1	0	1	q	PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	SHORT_CHD	SIX_CARD_SHORT_STRIP	SHORT_CHD	YES
E145	f81v	HAND_2	B1	B1-S014	f81v.21	5	3	FIRST	0	1	0	che	PROC042	chedy	CHD+Y	UMSETZEN · DIES	LONG_CHED	PROC042_WRAPPER_CH_SHORT_CHE_LONG	LONG_CHED	YES
E147	f81v	HAND_2	B1	B1-S014	f81v.21	7	3	MIDDLE	0	0	0	NONE	PROC088	lchedal	L+CHD+AL	LEITEN · UMSETZEN · ZIELSTELLE	LONG_CHED	DEFAULT_LONG_CHED	LONG_CHED	YES
E151	f81v	HAND_2	B1	B1-S015	f81v.24	2	1	LAST	0	0	1	NONE	PROC091	okchedy	OK+CHD+DY	ANSETZEN · UMSETZEN · SCHLUSS	LONG_CHED	DEFAULT_LONG_CHED	LONG_CHED	YES
E158	f81v	HAND_2	B1	B1-S017	f81v.24	9	3	LAST	0	0	1	d	PROC094	dchdy	CHD+DY	UMSETZEN · SCHLUSS	SHORT_CHD	SIX_CARD_SHORT_STRIP	SHORT_CHD	YES
