round	surface	tier	dictionary_entries	dictionary_sha256	physical_lines	known_token_positions	unknown_token_positions	complete_multi_token_lines	strict_complete_lines	one_unknown_lines	strict_one_unknown_lines	exact_glossary_surfaces
0	BASE_V25	BASE	417	efb5ef743d5c67a4eb3bfee614726ca666c31185b40f70686a48ce7ea555c2b4	4128	13995	18344	87	49	151	44	354
1	shoiin	STRONG_FAMILY_DEFAULT	418	580077bff7acd685c3df80b7e805702db12a3e4ce4be6ff8f27c1f4bd48dee8f	4128	14001	18338	88	50	151	44	355
2	toiin	PROVISIONAL_LOW_N_FAMILY_DEFAULT	419	3eed5c2468c5977f608943a382db6a38cad37f57f3dd7d7af8551530d62a65f7	4128	14003	18336	88	50	152	44	356
3	dar	STRONG_FAMILY_DEFAULT	420	6844304c79fbc6b6797e199aad3e6cc9bd07a834271b6a5b9768b95a5a3670b1	4128	14248	18091	90	51	157	44	357
4	dair	STRONG_FAMILY_DEFAULT	421	597985b0e6b2c6dc2784e8991292a6e30a608d905cad7fcf3f9d805f3ec624ad	4128	14325	18014	91	51	157	45	358
5	daiir	STRONG_FAMILY_DEFAULT	422	6aa7f1005265356168741005a8859975f0c5a09a50cf06157916dcf094ee3098	4128	14338	18001	91	51	157	45	359
6	dairodg	EXPLORATORY_LEARNED_WHOLE	423	886dda0225f676320da395bd51f216c1940cd7adc13e943ce3e029ef55392e64	4128	14339	18000	92	52	156	44	360
7	chckhy	EXPLORATORY_LEARNED_HEAD_FAMILY	424	68a5cdd7234797296830fa3f46e43ce2db5f5574aefbe6286fb073cb2d1309f0	4128	14465	17874	94	52	160	47	361
8	chckhey	EXPLORATORY_LEARNED_HEAD_FAMILY	425	e893cf30cd2aeda0c8e8c6a74382fe99750c3027c5a2c966bc6adb0d80c737d7	4128	14494	17845	95	52	159	47	362
9	chckheey	EXPLORATORY_LEARNED_HEAD_FAMILY	426	e4e5ccdafc26fe3c24f4808e18d3529a1ef8658dc56014829f9757d7ff298fe9	4128	14495	17844	95	52	159	47	363
10	chckhdy	EXPLORATORY_LEARNED_HEAD_FAMILY	427	171beb2b8c839285e98258c9c470ec32dec1c17e247945b644c607d6d8d33564	4128	14507	17832	95	52	159	47	364
11	chckhedy	EXPLORATORY_LEARNED_HEAD_FAMILY	428	206e90c0a5d6ec18e528c5c7960d3ec9b27d01f21ae3d2755372ae92620c5fc0	4128	14516	17823	96	53	158	46	365
