candidate_id	candidate_order	surface	source_locus	strict_source	family	acceptance_tier	working_meaning_de	composition	rival_de	occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	decision	decision_basis	strongest_counterargument
G649-C01	1	shoiin	f28v.5	1	DIRECT_OIIN_QUALITY_ARM	STRONG_FAMILY_DEFAULT	Feuchtansatz, Form III	sh+(oiin)	feuchtes Zubereitungsgut, Klasse III	6	5	6	6	ACCEPT_V26_EXACT_WHOLE	choiin is already dry preparation form III; shoiin supplies the all-reader-exact moist counterpart in all six occurrences	the contexts establish a quality contrast, not water, maceration, juice or another particular moistening process
G649-C02	2	toiin	NONE	0	DIRECT_OIIN_QUALITY_ARM	PROVISIONAL_LOW_N_FAMILY_DEFAULT	kalte Zubereitung, Form III	t+(oiin)	kaltes Zubereitungsgut, Klasse III	2	2	2	2	ACCEPT_V26_EXACT_WHOLE	the two observed tokens are all-reader exact and fill the cold member beside dry choiin and moist shoiin	only two occurrences and no strict carrier line
G649-C03	3	dar	f78r.43	0	D_PLUS_AR_FRACTION_LADDER	STRONG_FAMILY_DEFAULT	abgemessene Fraktion I	d+(ar)	abgemessene Portion I	245	110	195	195	ACCEPT_V26_EXACT_WHOLE	d measure head plus the attested ar/air/aiir three-step fraction ladder; six lines contain dar and dair together	the measure head and fraction body were previously calibrated in narrower scopes
G649-C04	4	dair	f32r.7	0	D_PLUS_AR_FRACTION_LADDER	STRONG_FAMILY_DEFAULT	abgemessene Fraktion II	d+(air)	abgemessene Portion II	77	59	63	64	ACCEPT_V26_EXACT_WHOLE	d measure head plus stage-II air; seven identical local frames exchange dar and dair	the measure head and fraction body were previously calibrated in narrower scopes
G649-C05	5	daiir	NONE	0	D_PLUS_AR_FRACTION_LADDER	STRONG_FAMILY_DEFAULT	abgemessene Fraktion III	d+(aiir)	abgemessene Portion III	14	14	8	8	ACCEPT_V26_EXACT_WHOLE	d measure head plus stage-III aiir; one identical frame exchanges dair and daiir	only eight of fourteen tokens are all-reader exact
G649-C06	6	dairodg	f5v.6	1	DAIROD_CLOSURE_MINI_LADDER	EXPLORATORY_LEARNED_WHOLE	abgemessene Fraktion II, als Zubereitung abgeschlossen	d+air+o+d+g	abgemessene Fraktion II, fertig aufbereitet; Eintrag abgeschlossen	1	1	1	1	ACCEPT_V26_EXACT_WHOLE	dair supplies measured fraction II and the observed dairo/dairod/dairody/dairodg mini-family licenses a learned complete-surface result reading	singleton; no split bridge; terminal g is strongly final-biased but not an identified global closure suffix
G649-C07	7	chckhy	f103r.17	0	CH_CKH_SUBDEGREE_FAMILY	EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung am Gradanfang	ch+CKH_LEARNED+y	trockenes CKH-Drogengut am Gradanfang	126	69	115	115	ACCEPT_V26_EXACT_WHOLE	five observed cells preserve literal CH+CKH and the established y/ey/eey by optional d subdegree axis	Arzneimischung is a learned whole-family noun; CKH has no independently identified object value
G649-C08	8	chckhey	f85r2.9	0	CH_CKH_SUBDEGREE_FAMILY	EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung in der Gradmitte	ch+CKH_LEARNED+e+y	trockenes CKH-Drogengut in der Gradmitte	29	26	25	25	ACCEPT_V26_EXACT_WHOLE	five observed cells preserve literal CH+CKH and the established y/ey/eey by optional d subdegree axis	Arzneimischung is a learned whole-family noun; CKH has no independently identified object value
G649-C09	9	chckheey	NONE	0	CH_CKH_SUBDEGREE_FAMILY	EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung am Gradende	ch+CKH_LEARNED+ee+y	trockenes CKH-Drogengut am Gradende	1	1	1	1	ACCEPT_V26_EXACT_WHOLE	the single exact token occupies the end cell predicted by four larger sister cells	singleton and the CKH object value is learned rather than independently decoded
G649-C10	10	chckhdy	NONE	0	CH_CKH_SUBDEGREE_FAMILY	EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung am Gradanfang, abgeschlossen	ch+CKH_LEARNED+d+y	trockenes CKH-Drogengut am Gradanfang, abgeschlossen	12	10	7	7	ACCEPT_V26_EXACT_WHOLE	the observed d/no-d pair uses the already established exact-whole result contrast at the beginning cell	the CKH object value is learned rather than independently decoded
G649-C11	11	chckhedy	f76v.32	1	CH_CKH_SUBDEGREE_FAMILY	EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung in der Gradmitte, abgeschlossen	ch+CKH_LEARNED+e+d+y	trockenes CKH-Drogengut in der Gradmitte, abgeschlossen	9	9	6	6	ACCEPT_V26_EXACT_WHOLE	nine observed tokens fill the middle completed cell beside chckhdy and the three no-d cells without reordering CKH into K+CH	the CKH object value is learned rather than independently decoded; CTH or leaf material is not licensed
