round	surface	tier	decision	decision_reason	pre_dictionary_entries	post_dictionary_entries	occurrences	all_reader_exact	split_normalized	reader_variant	hard_collisions	complete_before	complete_after	strict_complete_after	one_unknown_before	one_unknown_after	new_complete_loci
1	shoiin	STRONG_FAMILY_DEFAULT	ACCEPT_V26_EXACT_WHOLE	choiin is already dry preparation form III; shoiin supplies the all-reader-exact moist counterpart in all six occurrences	417	418	6	6	6	0	0	87	88	50	151	151	f28v.5
2	toiin	PROVISIONAL_LOW_N_FAMILY_DEFAULT	ACCEPT_V26_EXACT_WHOLE	the two observed tokens are all-reader exact and fill the cold member beside dry choiin and moist shoiin	418	419	2	2	2	0	0	88	88	50	151	152	NONE
3	dar	STRONG_FAMILY_DEFAULT	ACCEPT_V26_EXACT_WHOLE	d measure head plus the attested ar/air/aiir three-step fraction ladder; six lines contain dar and dair together	419	420	245	195	195	50	0	88	90	51	152	157	f20r.12|f78r.43
4	dair	STRONG_FAMILY_DEFAULT	ACCEPT_V26_EXACT_WHOLE	d measure head plus stage-II air; seven identical local frames exchange dar and dair	420	421	77	63	64	13	0	90	91	51	157	157	f32r.7
5	daiir	STRONG_FAMILY_DEFAULT	ACCEPT_V26_EXACT_WHOLE	d measure head plus stage-III aiir; one identical frame exchanges dair and daiir	421	422	14	8	8	6	0	91	91	51	157	157	NONE
6	dairodg	EXPLORATORY_LEARNED_WHOLE	ACCEPT_V26_EXACT_WHOLE	dair supplies measured fraction II and the observed dairo/dairod/dairody/dairodg mini-family licenses a learned complete-surface result reading	422	423	1	1	1	0	0	91	92	52	157	156	f5v.6
7	chckhy	EXPLORATORY_LEARNED_HEAD_FAMILY	ACCEPT_V26_EXACT_WHOLE	five observed cells preserve literal CH+CKH and the established y/ey/eey by optional d subdegree axis	423	424	126	115	115	11	0	92	94	52	156	160	f103r.17|f94v.12
8	chckhey	EXPLORATORY_LEARNED_HEAD_FAMILY	ACCEPT_V26_EXACT_WHOLE	five observed cells preserve literal CH+CKH and the established y/ey/eey by optional d subdegree axis	424	425	29	25	25	4	0	94	95	52	160	159	f85r2.9
9	chckheey	EXPLORATORY_LEARNED_HEAD_FAMILY	ACCEPT_V26_EXACT_WHOLE	the single exact token occupies the end cell predicted by four larger sister cells	425	426	1	1	1	0	0	95	95	52	159	159	NONE
10	chckhdy	EXPLORATORY_LEARNED_HEAD_FAMILY	ACCEPT_V26_EXACT_WHOLE	the observed d/no-d pair uses the already established exact-whole result contrast at the beginning cell	426	427	12	7	7	5	0	95	95	52	159	159	NONE
11	chckhedy	EXPLORATORY_LEARNED_HEAD_FAMILY	ACCEPT_V26_EXACT_WHOLE	nine observed tokens fill the middle completed cell beside chckhdy and the three no-d cells without reordering CKH into K+CH	427	428	9	6	6	3	0	95	96	53	159	158	f76v.32
