family	surface	composition	predicted_reading_de	zl3b_occurrences	pages	reader_exact_occurrences	split_normalized_occurrences	planned_status	final_status
DIRECT_OIIN_QUALITY_ARM	oiin	oiin	Zubereitungsform III	26	20	15	15	BASE_ANCHOR	BASE_ANCHOR
DIRECT_OIIN_QUALITY_ARM	koiin	k+(oiin)	heiße Zubereitung, Form III	4	4	0	0	HELD_READER_UNSTABLE	HELD_READER_UNSTABLE
DIRECT_OIIN_QUALITY_ARM	toiin	t+(oiin)	kalte Zubereitung, Form III	2	2	2	2	TARGET	ACCEPTED_V26
DIRECT_OIIN_QUALITY_ARM	choiin	ch+(oiin)	trockene Zubereitung, Form III	13	12	10	10	BASE_ANCHOR	BASE_ANCHOR
DIRECT_OIIN_QUALITY_ARM	shoiin	sh+(oiin)	Feuchtansatz, Form III	6	5	6	6	TARGET	ACCEPTED_V26
D_PLUS_AR_FRACTION_LADDER	ar	ar	Fraktion I	321	90	242	242	BASE_BODY	BASE_BODY
D_PLUS_AR_FRACTION_LADDER	air	air	Fraktion II	56	35	44	44	BASE_BODY	BASE_BODY
D_PLUS_AR_FRACTION_LADDER	aiir	aiir	Fraktion III	20	14	14	14	BASE_BODY	BASE_BODY
D_PLUS_AR_FRACTION_LADDER	dar	d+(ar)	abgemessene Fraktion I	245	110	195	195	TARGET	ACCEPTED_V26
D_PLUS_AR_FRACTION_LADDER	dair	d+(air)	abgemessene Fraktion II	77	59	63	64	TARGET	ACCEPTED_V26
D_PLUS_AR_FRACTION_LADDER	daiir	d+(aiir)	abgemessene Fraktion III	14	14	8	8	TARGET	ACCEPTED_V26
DAIROD_CLOSURE_MINI_LADDER	dairo	d+air+o	abgemessene Fraktion II im Zubereitungsfeld	1	1	1	1	OBSERVED_RIVAL	OBSERVED_RIVAL
DAIROD_CLOSURE_MINI_LADDER	dairod	d+air+o+d	abgemessene Fraktion II als Zubereitung	1	1	0	1	OBSERVED_RIVAL	OBSERVED_RIVAL
DAIROD_CLOSURE_MINI_LADDER	dairody	d+air+o+d+y	abgemessene Fraktion II als fertige Zubereitung	3	3	3	3	OBSERVED_RIVAL	OBSERVED_RIVAL
DAIROD_CLOSURE_MINI_LADDER	dairodg	d+air+o+d+g	abgemessene Fraktion II, als Zubereitung abgeschlossen	1	1	1	1	TARGET	ACCEPTED_V26
CH_CKH_SUBDEGREE_FAMILY	chckhy	ch+CKH_LEARNED+y	trockene Arzneimischung am Gradanfang	126	69	115	115	TARGET	ACCEPTED_V26
CH_CKH_SUBDEGREE_FAMILY	chckhey	ch+CKH_LEARNED+e+y	trockene Arzneimischung in der Gradmitte	29	26	25	25	TARGET	ACCEPTED_V26
CH_CKH_SUBDEGREE_FAMILY	chckheey	ch+CKH_LEARNED+ee+y	trockene Arzneimischung am Gradende	1	1	1	1	TARGET	ACCEPTED_V26
CH_CKH_SUBDEGREE_FAMILY	chckhdy	ch+CKH_LEARNED+d+y	trockene Arzneimischung am Gradanfang, abgeschlossen	12	10	7	7	TARGET	ACCEPTED_V26
CH_CKH_SUBDEGREE_FAMILY	chckhedy	ch+CKH_LEARNED+e+d+y	trockene Arzneimischung in der Gradmitte, abgeschlossen	9	9	6	6	TARGET	ACCEPTED_V26
CH_CKH_SUBDEGREE_FAMILY	chckheedy	ch+CKH_LEARNED+ee+d+y	trockene Arzneimischung am Gradende, abgeschlossen	0	0	0	0	ABSENT_PREDICTION	ABSENT_HOLD
