surface	acceptance_tier	working_meaning_de	rival_de	strongest_support	strongest_counterargument	replacement_trigger
shoiin	STRONG_FAMILY_DEFAULT	Feuchtansatz, Form III	feuchtes Zubereitungsgut, Klasse III	choiin is already dry preparation form III; shoiin supplies the all-reader-exact moist counterpart in all six occurrences	the contexts establish a quality contrast, not water, maceration, juice or another particular moistening process	replace if a same-frame family contrast contradicts the assigned quality or ladder stage
toiin	PROVISIONAL_LOW_N_FAMILY_DEFAULT	kalte Zubereitung, Form III	kaltes Zubereitungsgut, Klasse III	the two observed tokens are all-reader exact and fill the cold member beside dry choiin and moist shoiin	only two occurrences and no strict carrier line	replace if a same-frame family contrast contradicts the assigned quality or ladder stage
dar	STRONG_FAMILY_DEFAULT	abgemessene Fraktion I	abgemessene Portion I	d measure head plus the attested ar/air/aiir three-step fraction ladder; six lines contain dar and dair together	the measure head and fraction body were previously calibrated in narrower scopes	replace if a same-frame family contrast contradicts the assigned quality or ladder stage
dair	STRONG_FAMILY_DEFAULT	abgemessene Fraktion II	abgemessene Portion II	d measure head plus stage-II air; seven identical local frames exchange dar and dair	the measure head and fraction body were previously calibrated in narrower scopes	replace if a same-frame family contrast contradicts the assigned quality or ladder stage
daiir	STRONG_FAMILY_DEFAULT	abgemessene Fraktion III	abgemessene Portion III	d measure head plus stage-III aiir; one identical frame exchanges dair and daiir	only eight of fourteen tokens are all-reader exact	replace if a same-frame family contrast contradicts the assigned quality or ladder stage
dairodg	EXPLORATORY_LEARNED_WHOLE	abgemessene Fraktion II, als Zubereitung abgeschlossen	abgemessene Fraktion II, fertig aufbereitet; Eintrag abgeschlossen	dair supplies measured fraction II and the observed dairo/dairod/dairody/dairodg mini-family licenses a learned complete-surface result reading	singleton; no split bridge; terminal g is strongly final-biased but not an identified global closure suffix	replace if a split bridge or a larger DAIROD ladder assigns O/D/G differently
chckhy	EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung am Gradanfang	trockenes CKH-Drogengut am Gradanfang	five observed cells preserve literal CH+CKH and the established y/ey/eey by optional d subdegree axis	Arzneimischung is a learned whole-family noun; CKH has no independently identified object value	replace if a better object identity explains all five CHCKH cells without reordering CKH
chckhey	EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung in der Gradmitte	trockenes CKH-Drogengut in der Gradmitte	five observed cells preserve literal CH+CKH and the established y/ey/eey by optional d subdegree axis	Arzneimischung is a learned whole-family noun; CKH has no independently identified object value	replace if a better object identity explains all five CHCKH cells without reordering CKH
chckheey	EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung am Gradende	trockenes CKH-Drogengut am Gradende	the single exact token occupies the end cell predicted by four larger sister cells	singleton and the CKH object value is learned rather than independently decoded	replace if a better object identity explains all five CHCKH cells without reordering CKH
chckhdy	EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung am Gradanfang, abgeschlossen	trockenes CKH-Drogengut am Gradanfang, abgeschlossen	the observed d/no-d pair uses the already established exact-whole result contrast at the beginning cell	the CKH object value is learned rather than independently decoded	replace if a better object identity explains all five CHCKH cells without reordering CKH
chckhedy	EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung in der Gradmitte, abgeschlossen	trockenes CKH-Drogengut in der Gradmitte, abgeschlossen	nine observed tokens fill the middle completed cell beside chckhdy and the three no-d cells without reordering CKH into K+CH	the CKH object value is learned rather than independently decoded; CTH or leaf material is not licensed	replace if a better object identity explains all five CHCKH cells without reordering CKH
