surface	entry	kind	working_meaning_de	composition	context_rule	status	source_locus	occurrences	acceptance_tier
shoiin	shoiin@GDT649_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_FAMILY_DEFAULT	Feuchtansatz, Form III	sh+(oiin)	exact complete surface only; tier=STRONG_FAMILY_DEFAULT; 6 audited occurrences; 6 all-reader exact; learned components remain family-bound	NEW_V26_ACCEPTED_ROUND_01	f28v.5	6	STRONG_FAMILY_DEFAULT
toiin	toiin@GDT649_EXACT_WHOLE	EXACT_ZL3B_WHOLE_PROVISIONAL_LOW_N_FAMILY_DEFAULT	kalte Zubereitung, Form III	t+(oiin)	exact complete surface only; tier=PROVISIONAL_LOW_N_FAMILY_DEFAULT; 2 audited occurrences; 2 all-reader exact; learned components remain family-bound	NEW_V26_ACCEPTED_ROUND_02	NONE	2	PROVISIONAL_LOW_N_FAMILY_DEFAULT
dar	dar@GDT649_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_FAMILY_DEFAULT	abgemessene Fraktion I	d+(ar)	exact complete surface only; tier=STRONG_FAMILY_DEFAULT; 245 audited occurrences; 195 all-reader exact; learned components remain family-bound	NEW_V26_ACCEPTED_ROUND_03	f78r.43	245	STRONG_FAMILY_DEFAULT
dair	dair@GDT649_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_FAMILY_DEFAULT	abgemessene Fraktion II	d+(air)	exact complete surface only; tier=STRONG_FAMILY_DEFAULT; 77 audited occurrences; 63 all-reader exact; learned components remain family-bound	NEW_V26_ACCEPTED_ROUND_04	f32r.7	77	STRONG_FAMILY_DEFAULT
daiir	daiir@GDT649_EXACT_WHOLE	EXACT_ZL3B_WHOLE_STRONG_FAMILY_DEFAULT	abgemessene Fraktion III	d+(aiir)	exact complete surface only; tier=STRONG_FAMILY_DEFAULT; 14 audited occurrences; 8 all-reader exact; learned components remain family-bound	NEW_V26_ACCEPTED_ROUND_05	NONE	14	STRONG_FAMILY_DEFAULT
dairodg	dairodg@GDT649_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXPLORATORY_LEARNED_WHOLE	abgemessene Fraktion II, als Zubereitung abgeschlossen	d+air+o+d+g	exact complete surface only; tier=EXPLORATORY_LEARNED_WHOLE; 1 audited occurrences; 1 all-reader exact; learned components remain family-bound	NEW_V26_ACCEPTED_ROUND_06	f5v.6	1	EXPLORATORY_LEARNED_WHOLE
chckhy	chckhy@GDT649_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung am Gradanfang	ch+CKH_LEARNED+y	exact complete surface only; tier=EXPLORATORY_LEARNED_HEAD_FAMILY; 126 audited occurrences; 115 all-reader exact; learned components remain family-bound	NEW_V26_ACCEPTED_ROUND_07	f103r.17	126	EXPLORATORY_LEARNED_HEAD_FAMILY
chckhey	chckhey@GDT649_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung in der Gradmitte	ch+CKH_LEARNED+e+y	exact complete surface only; tier=EXPLORATORY_LEARNED_HEAD_FAMILY; 29 audited occurrences; 25 all-reader exact; learned components remain family-bound	NEW_V26_ACCEPTED_ROUND_08	f85r2.9	29	EXPLORATORY_LEARNED_HEAD_FAMILY
chckheey	chckheey@GDT649_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung am Gradende	ch+CKH_LEARNED+ee+y	exact complete surface only; tier=EXPLORATORY_LEARNED_HEAD_FAMILY; 1 audited occurrences; 1 all-reader exact; learned components remain family-bound	NEW_V26_ACCEPTED_ROUND_09	NONE	1	EXPLORATORY_LEARNED_HEAD_FAMILY
chckhdy	chckhdy@GDT649_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung am Gradanfang, abgeschlossen	ch+CKH_LEARNED+d+y	exact complete surface only; tier=EXPLORATORY_LEARNED_HEAD_FAMILY; 12 audited occurrences; 7 all-reader exact; learned components remain family-bound	NEW_V26_ACCEPTED_ROUND_10	NONE	12	EXPLORATORY_LEARNED_HEAD_FAMILY
chckhedy	chckhedy@GDT649_EXACT_WHOLE	EXACT_ZL3B_WHOLE_EXPLORATORY_LEARNED_HEAD_FAMILY	trockene Arzneimischung in der Gradmitte, abgeschlossen	ch+CKH_LEARNED+e+d+y	exact complete surface only; tier=EXPLORATORY_LEARNED_HEAD_FAMILY; 9 audited occurrences; 6 all-reader exact; learned components remain family-bound	NEW_V26_ACCEPTED_ROUND_11	f76v.32	9	EXPLORATORY_LEARNED_HEAD_FAMILY
