statement_id	record_unit_id	page	boundary_from_previous	owner_trace	terminal_status	shared_event_count	local_event_count	atomic_card_chain_de	continuous_atomic_clause_de
H1-S001	H1	f10r	RECORD_START	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	4	6	Grundteil | Vorbereitung | davon | Anteil | Aufnahmegefäß | Zuguss | Folgeteil | einsetzen | Sollmaß | Kurzteil	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Grundteil — Vorbereitung — davon — Anteil — Aufnahmegefäß — Zuguss — Folgeteil — einsetzen — Sollmaß — Kurzteil.
H1-S002	H1	f10r	CONTINUE_SAME_OWNER_OPEN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	3	1	weiterbearbeiten | Weitergang | weiter | bereit	mit der aktiven Bereitung weiter: weiterbearbeiten — Weitergang — weiter — bereit.
H2-S001	H2	f10r	RECORD_START	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	6	3	Auszugsansatz | bereit | Ansatz | Sollvorbereitung | Folgeposten | dies | dies | Sollmaß | dies	Besitzer »WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB«: Auszugsansatz — bereit — Ansatz — Sollvorbereitung — Folgeposten — dies — dies — Sollmaß — dies.
H2-S002	H2	f10r	CONTINUE_SAME_OWNER_OPEN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	7	1	Folgeansatz | Ansatz | Fortgang | weiter | derselbe Ansatz | weiter | Sollmaß | davon	mit demselben Ansatz und Sollmaß weiter: Folgeansatz — Ansatz — Fortgang — weiter — derselbe Ansatz — weiter — Sollmaß — davon.
H2-S003	H2	f10r	CONTINUE_SAME_OWNER_OPEN	WHOLE_BROAD_TOOTHED_RADIAL_FLOWERED_HERB	NONCLOSE	4	3	Arbeitsansatz | Ansatz | Ansatz | dies | Arbeitsstufe | dies | Zugabemaß	aus demselben Ansatz weiter: Arbeitsansatz — Ansatz — Ansatz — dies — Arbeitsstufe — dies — Zugabemaß.
H3-S001	H3	f11r	RECORD_START	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	TERMINAL	1	6	Kochgut | Sudansatz | Auswringen | Stehzeit | Nachseihen | Klarauszug | Endzugabe; Schluss	Besitzer »WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT«: Kochgut — Sudansatz — Auswringen — Stehzeit — Nachseihen — Klarauszug — Endzugabe; Schluss.
H3-S002	H3	f11r	FRESH_AFTER_CLOSE	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE	0	1	Zugabeteil	Neuer Schritt: Zugabeteil.
H3-S003	H3	f11r	CONTINUE_SAME_OWNER_OPEN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE	4	1	vom vorigen | dies | Bearbeiten | dies | Sollmaß	mit diesem Materialanteil weiter: vom vorigen — dies — Bearbeiten — dies — Sollmaß.
H3-S004	H3	f11r	CONTINUE_SAME_OWNER_OPEN	WHOLE_DENSE_BLUE_FLOWERED_CROWN_PLANT	NONCLOSE	2	2	Folgeposten | Weiterverarbeitung | bereit | dies	mit diesem Posten auf Sollmaß weiter: Folgeposten — Weiterverarbeitung — bereit — dies.
H4-S001	H4	f55v	RECORD_START	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	TERMINAL	2	3	bemessen | Sollmaß | erste Portion | zweite Portion | Abkühlen	Besitzer »WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT«: bemessen — Sollmaß — erste Portion — zweite Portion — Abkühlen; Schluss.
H4-S002	H4	f55v	FRESH_AFTER_CLOSE	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	TERMINAL	2	1	Sollmaß | überführen | Verwahrort	Neuer Schritt: Sollmaß — überführen — Verwahrort; Schluss.
H4-S003	H4	f55v	FRESH_AFTER_CLOSE	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	TERMINAL	2	2	Sollportion | Quellauszug | länger bearbeiten | fertig	Neuer Schritt: Sollportion — Quellauszug — länger bearbeiten — fertig; Schluss.
H4-S004	H4	f55v	FRESH_AFTER_CLOSE	WHOLE_BROAD_LEAF_PANICLED_PLANT_WITH_MNEMONIC_ROOT	NONCLOSE	4	2	Sollmaß | dorthin einsetzen | Folgebereitung | Ansatz | dies | Bereitungsanteil	Neuer Schritt: Sollmaß — dorthin einsetzen — Folgebereitung — Ansatz — dies — Bereitungsanteil.
H5-S001	H5	f56r	RECORD_START	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE	6	3	Zugabeansatz | weitere Zutat | Zielzugabe | Sollmaß | weitere Zutat | Weiterverarbeitung | Folgeansatz | einsetzen | dorthin	Besitzer »WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB«: Zugabeansatz — weitere Zutat — Zielzugabe — Sollmaß — weitere Zutat — Weiterverarbeitung — Folgeansatz — einsetzen — dorthin.
H5-S002	H5	f56r	CONTINUE_SAME_OWNER_OPEN	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	TERMINAL	2	2	vom vorigen | Zugabeposten | einsetzen | Langpassage; Schluss	vom zielgesetzten Ansatz weiter: vom vorigen — Zugabeposten — einsetzen — Langpassage; Schluss.
H5-S003	H5	f56r	FRESH_AFTER_CLOSE	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE	1	3	Halten | weitere Zutat | Kurzbearbeitung | erneut einsetzen	Neuer Schritt: Halten — weitere Zutat — Kurzbearbeitung — erneut einsetzen.
H5-S004	H5	f56r	CONTINUE_SAME_OWNER_OPEN	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE	1	2	weiterbearbeiten | Auszug einsetzen | Zielbearbeitung	mit dem eingesetzten Posten weiter: weiterbearbeiten — Auszug einsetzen — Zielbearbeitung.
H5-S005	H5	f56r	CONTINUE_SAME_OWNER_OPEN	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE	2	2	weitere Zutat | weiterbearbeiten | Quellauszug | Folgeanwendung	mit dem Auszug am Ziel weiter: weitere Zutat — weiterbearbeiten — Quellauszug — Folgeanwendung.
H5-S006	H5	f56r	CONTINUE_SAME_OWNER_OPEN	WHOLE_MULTIHEAD_SPINY_OR_EMBLEMATIC_HERB	NONCLOSE	2	1	das nächste | Kurzfortsetzung | Sollmaß	zum nächsten Posten weiter: das nächste — Kurzfortsetzung — Sollmaß.
