control_class	span_id	page	locus	head_ordinal	head_surface	value_ordinal	value_surface	value_label	written_span_eva	reader_exact	preparation_ordinal	preparation_surface	semantic_identity_credit	component_export_credit	x_ordinal	x_surface	selected_local_dispatch	anchor_occurrence_id	anchor_class	surface	physical_folio	line_number	ordinal	token_index	line_token_count	written_line_eva
EXACT_AMOUNT_SPAN	G759-S0027	f103r	f103r.14	8	s	9	aiin	III	s aiin	1																
EXACT_AMOUNT_SPAN	G759-S0028	f103v	f103v.23	5	or	6	aiiin	IV	or aiiin	1																
EXACT_AMOUNT_SPAN	G759-S0029	f104r	f104r.20	9	ar	10	ain	II	ar ain	1																
EXACT_AMOUNT_SPAN	G759-S0030	f104r	f104r.39	2	ar	3	aiin	III	ar aiin	1																
EXACT_AMOUNT_SPAN	G759-S0031	f104r	f104r.45	4	s	5	aiin	III	s aiin	1																
EXACT_AMOUNT_SPAN	G759-S0032	f104v	f104v.14	4	s	5	aiin	III	s aiin	1																
EXACT_AMOUNT_SPAN	G759-S0033	f104v	f104v.38	7	or	8	aiin	III	or aiin	1																
EXACT_AMOUNT_SPAN	G759-S0034	f105r	f105r.24	6	ar	7	aiiin	IV	ar aiiin	1																
EXACT_AMOUNT_SPAN	G759-S0035	f105r	f105r.7	3	or	4	aiiin	IV	or aiiin	1																
EXACT_AMOUNT_SPAN	G759-S0036	f105v	f105v.26	6	or	7	aiin	III	or aiin	1																
EXACT_AMOUNT_SPAN	G759-S0037	f105v	f105v.30	10	s	11	aiin	III	s aiin	1																
EXACT_AMOUNT_SPAN	G759-S0038	f106r	f106r.40	2	ar	3	aiin	III	ar aiin	1																
EXACT_AMOUNT_SPAN	G759-S0039	f108r	f108r.11	2	ar	3	aiin	III	ar aiin	1																
EXACT_AMOUNT_SPAN	G759-S0040	f108v	f108v.12	9	ar	10	aiin	III	ar aiin	1																
EXACT_AMOUNT_SPAN	G759-S0041	f108v	f108v.27	5	ar	6	ain	II	ar ain	1																
EXACT_AMOUNT_SPAN	G759-S0042	f10r	f10r.4	6	or	7	aiin	III	or aiin	1																
EXACT_AMOUNT_SPAN	G759-S0043	f111r	f111r.35	3	ar	4	aiin	III	ar aiin	1																
EXACT_AMOUNT_SPAN	G759-S0044	f111r	f111r.46	11	or	12	aiin	III	or aiin	1																
EXACT_AMOUNT_SPAN	G759-S0045	f111v	f111v.36	6	ar	7	ain	II	ar ain	1																
EXACT_AMOUNT_SPAN	G759-S0046	f112r	f112r.1	6	or	7	aiin	III	or aiin	1																
EXACT_AMOUNT_SPAN	G759-S0047	f112r	f112r.20	2	or	3	aiin	III	or aiin	1																
EXACT_AMOUNT_SPAN	G759-S0048	f112v	f112v.18	2	or	3	aiin	III	or aiin	1																
EXACT_AMOUNT_SPAN	G759-S0049	f112v	f112v.3	5	ar	6	aiiin	IV	ar aiiin	1																
EXACT_AMOUNT_SPAN	G759-S0050	f113r	f113r.15	3	s	4	aiin	III	s aiin	1																
EXACT_AMOUNT_SPAN	G759-S0051	f113r	f113r.43	6	s	7	aiin	III	s aiin	1																
EXACT_AMOUNT_SPAN	G759-S0052	f113v	f113v.30	3	or	4	aiiin	IV	or aiiin	1																
EXACT_AMOUNT_SPAN	G759-S0053	f113v	f113v.40	5	ar	6	aiin	III	ar aiin	1																
EXACT_AMOUNT_SPAN	G759-S0054	f113v	f113v.43	5	or	6	aiin	III	or aiin	1																
EXACT_AMOUNT_SPAN	G759-S0055	f114r	f114r.23	8	s	9	ain	II	s ain	1																
EXACT_AMOUNT_SPAN	G759-S0056	f114r	f114r.37	2	or	3	aiin	III	or aiin	1																
EXACT_AMOUNT_SPAN	G759-S0057	f114v	f114v.28	5	ar	6	aiin	III	ar aiin	1																
EXACT_AMOUNT_SPAN	G759-S0058	f114v	f114v.7	5	s	6	aiin	III	s aiin	1																
EXACT_AMOUNT_SPAN	G759-S0059	f115r	f115r.24	4	ar	5	aiin	III	ar aiin	1																
EXACT_AMOUNT_SPAN	G759-S0060	f115r	f115r.26	5	ar	6	aiiin	IV	ar aiiin	1																
EXACT_AMOUNT_SPAN	G759-S0061	f116r	f116r.2	8	ar	9	aiiin	IV	ar aiiin	1																
EXACT_AMOUNT_SPAN	G759-S0062	f17v	f17v.7	6	s	7	aiin	III	s aiin	1																
EXACT_AMOUNT_SPAN	G759-S0063	f26r	f26r.7	6	s	7	aiin	III	s aiin	1																
EXACT_AMOUNT_SPAN	G759-S0064	f31r	f31r.2	5	s	6	aiin	III	s aiin	1																
