target_surface	role_model_id	role_name_de	positive_signature_expression	contradictory_signature_expression	positive_signature_pass	contradictory_signature_triggered	support_pages	support_loci	strongest_support_locus	loo_remaining_pages	loo_positive_signature_pass	passes_total_page_gate	passes_strongest_locus_loo	role_score	dispatch_priority	role_gate_pass	role_selected	role_disposition	failure_reasons	portable_output_de	failure_output_de	special_gate_detail	same_context_conjunction_detail	f12_parallel_value_reinforcement	default_is_translation	eva_latin_credit	substring_export_credit	confirmed_lexeme	confirmed_plaintext	component_export_credit	role_rank
ckhy	R05_SEQUENCE_FIELD_LINKER	Folgen- oder Feldverbinder	F14_MEDIAL_TWO_SIDED_LINKER AND (F15_STATE_TRANSITION_BRIDGE OR F16_RELATIONAL_AMOUNT_ORDER)	F02_VALUE_DIRECT OR F11_H1_BOUNDED_VALUE	1	0	2	2	f32r.2	1	1	0	0	0.550000	0	0	0	RIVAL_ONLY	"[""TOTAL_PAGE_GATE_FAILED"",""STRONGEST_LOCUS_LOO_FAILED"",""RIVAL_ONLY_F14_NONDISCRIMINATIVE""]"	interner Folgen- oder Feldverbinder; genaue Lesung offen	Kein Verbinderdefault; nominale, Vorgangs- und Recordrollen weiterprüfen	"{""amount_orientation_counts"":{""consistent"":false,""direction_counts"":{},""majority_count"":0,""majority_direction"":""NONE"",""majority_pages"":0,""majority_share"":0.0},""f14_normalised_rate"":0.52,""f14_support_occurrences"":13,""f15_branch_pass"":1,""f15_normalised_rate"":0.08,""f15_support_occurrences"":2,""f16_amount_adjacency_is_not_own_binding"":1,""f16_branch_pass"":0,""f16_normalised_rate"":0.0,""f16_support_occurrences"":0,""local_f14_and_f15_occurrences"":2,""local_f14_and_f16_occurrences"":0,""loo_f15_branch_pass"":1,""loo_f16_branch_pass"":0,""loo_transition_consistency"":{""consistent"":false,""direction_counts"":{""MOIST_TO_COLD"":1,""MOIST_TO_DRY"":1},""majority_count"":1,""majority_direction"":""MOIST_TO_COLD"",""majority_pages"":1,""majority_share"":0.5},""own_value_or_bounded_pages"":[],""r05_requires_f14_and_f15_or_f16"":1,""r05_rough_f14_alone_has_zero_selection_credit"":1,""transition_consistency"":{""consistent"":false,""direction_counts"":{""DRY_TO_COLD"":1,""DRY_TO_DRY"":1,""HOT_TO_COLD"":1,""HOT_TO_DRY"":1,""MOIST_TO_COLD"":2,""MOIST_TO_DRY"":2},""majority_count"":2,""majority_direction"":""MOIST_TO_COLD"",""majority_pages"":2,""majority_share"":0.25}}"	"{""f14_contributes_support_pages"":0,""local_discriminating_occurrence_ids"":[""G769-T0178"",""G769-T0199""],""loo_supporting_pages"":[""f3v""],""same_occurrence_conjunction_required"":1,""supporting_pages"":[""f32r"",""f3v""]}"	0	0	0	0	0	0	0	1
ckhy	R04_BOUND_RECORD_FIELD	gebundenes Record-, Form- oder Maßfeld	F11_H1_BOUNDED_VALUE OR F02_VALUE_DIRECT	F05_PROCESS_SLOT_FINAL	0	0	1	1	f17v.5	0	0	0	0	0.200000	1	0	0	NOT_SELECTED	"[""POSITIVE_SIGNATURE_FAILED"",""TOTAL_PAGE_GATE_FAILED"",""STRONGEST_LOCUS_LOO_FAILED""]"	gebundenes Record-, Form- oder Maßfeld; Stoffidentität offen	Recordfunktion offen; keine Stoff- oder Prozessidentität aus dem Wertfeld ableiten	{}	{}	0	0	0	0	0	0	0	2
ckhy	R02_PROCESS_OPERATION	Vorgang	F05_PROCESS_SLOT_FINAL AND F07_LINE_FINAL_OR_CLOSE	(F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT OR F11_H1_BOUNDED_VALUE) ON_TWO_PAGES_WITHOUT_DIRECTION	0	0	6	6	f17v.5	5	0	1	0	0.400000	2	0	0	NOT_SELECTED	"[""POSITIVE_SIGNATURE_FAILED"",""STRONGEST_LOCUS_LOO_FAILED""]"	Vorgang an einer Zubereitung; genaue Operation offen	Kein Vorgangsdefault; als nominales Feld oder Produkt weiterprüfen	{}	{}	0	0	0	0	0	0	0	3
ckhy	R03_PRODUCT_RESULT	Produkt oder Resultat	(F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT) AND (F06_TARGET_BEFORE_PROCESS OR F07_LINE_FINAL_OR_CLOSE) ON_SAME_TARGET_OCCURRENCE	F05_PROCESS_SLOT_FINAL AND NOT(F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT)	0	0	0	0	NONE	0	0	0	0	0.200000	3	0	0	NOT_SELECTED	"[""POSITIVE_SIGNATURE_FAILED"",""TOTAL_PAGE_GATE_FAILED"",""STRONGEST_LOCUS_LOO_FAILED""]"	messbare Ergebnis- oder Produktzubereitung; genaue Herstellungsart offen	Produktrolle offen; nominale Zubereitung bleibt Rivale	{}	"{""loo_supporting_occurrence_count"":0,""loo_supporting_occurrence_ids"":[],""loo_supporting_pages"":[],""same_occurrence_conjunction_required"":1,""supporting_occurrence_count"":0,""supporting_occurrence_ids"":[],""supporting_pages"":[]}"	0	0	0	0	0	0	0	4
ckhy	R01_NOMINAL_SUBSTANCE_PREPARATION	Stoff- oder Zubereitungsnomen	F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT OR F06_TARGET_BEFORE_PROCESS	F05_PROCESS_SLOT_FINAL AND NOT(F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT)	0	0	2	2	f17v.5	1	1	1	1	0.650000	4	0	0	NOT_SELECTED	"[""POSITIVE_SIGNATURE_FAILED""]"	messbarer Stoff- oder Zubereitungskopf; Identität offen	Rolle offen; portabler Nullwert des Targets bleibt bestehen	{}	{}	0	0	0	0	0	0	0	5
ol	R05_SEQUENCE_FIELD_LINKER	Folgen- oder Feldverbinder	F14_MEDIAL_TWO_SIDED_LINKER AND (F15_STATE_TRANSITION_BRIDGE OR F16_RELATIONAL_AMOUNT_ORDER)	F02_VALUE_DIRECT OR F11_H1_BOUNDED_VALUE	1	0	29	37	f85r1.13	29	1	1	1	1.000000	0	1	1	SELECTED_BY_DISPATCH_PRIORITY	[]	interner Folgen- oder Feldverbinder; genaue Lesung offen	Kein Verbinderdefault; nominale, Vorgangs- und Recordrollen weiterprüfen	"{""amount_orientation_counts"":{""consistent"":false,""direction_counts"":{""AMOUNT_BEFORE_TARGET"":3,""TARGET_BEFORE_AMOUNT"":4},""majority_count"":4,""majority_direction"":""TARGET_BEFORE_AMOUNT"",""majority_pages"":4,""majority_share"":0.571429},""f14_normalised_rate"":0.56383,""f14_support_occurrences"":212,""f15_branch_pass"":1,""f15_normalised_rate"":0.082447,""f15_support_occurrences"":31,""f16_amount_adjacency_is_not_own_binding"":1,""f16_branch_pass"":1,""f16_normalised_rate"":0.023936,""f16_support_occurrences"":9,""local_f14_and_f15_occurrences"":31,""local_f14_and_f16_occurrences"":7,""loo_f15_branch_pass"":1,""loo_f16_branch_pass"":1,""loo_transition_consistency"":{""consistent"":false,""direction_counts"":{""COLD_TO_COLD"":2,""COLD_TO_DRY"":3,""COLD_TO_HOT"":4,""COLD_TO_MOIST"":2,""DRY_TO_COLD"":1,""DRY_TO_DRY"":3,""DRY_TO_HOT"":3,""DRY_TO_MOIST"":1,""HOT_TO_COLD"":1,""HOT_TO_DRY"":3,""HOT_TO_HOT"":8,""HOT_TO_MOIST"":4,""MOIST_TO_COLD"":1,""MOIST_TO_DRY"":2,""MOIST_TO_HOT"":7,""MOIST_TO_MOIST"":6},""majority_count"":8,""majority_direction"":""HOT_TO_HOT"",""majority_pages"":6,""majority_share"":0.156863},""own_value_or_bounded_pages"":[],""r05_requires_f14_and_f15_or_f16"":1,""r05_rough_f14_alone_has_zero_selection_credit"":1,""transition_consistency"":{""consistent"":false,""direction_counts"":{""COLD_TO_COLD"":2,""COLD_TO_DRY"":3,""COLD_TO_HOT"":4,""COLD_TO_MOIST"":2,""DRY_TO_COLD"":1,""DRY_TO_DRY"":3,""DRY_TO_HOT"":3,""DRY_TO_MOIST"":1,""HOT_TO_COLD"":1,""HOT_TO_DRY"":3,""HOT_TO_HOT"":8,""HOT_TO_MOIST"":4,""MOIST_TO_COLD"":1,""MOIST_TO_DRY"":2,""MOIST_TO_HOT"":7,""MOIST_TO_MOIST"":6},""majority_count"":8,""majority_direction"":""HOT_TO_HOT"",""majority_pages"":6,""majority_share"":0.156863}}"	"{""f14_contributes_support_pages"":0,""local_discriminating_occurrence_ids"":[""G769-T0005"",""G769-T0007"",""G769-T0013"",""G769-T0015"",""G769-T0040"",""G769-T0048"",""G769-T0084"",""G769-T0150"",""G769-T0198"",""G769-T0209"",""G769-T0220"",""G769-T0232"",""G769-T0253"",""G769-T0284"",""G769-T0291"",""G769-T0305"",""G769-T0327"",""G769-T0328"",""G769-T0336"",""G769-T0341"",""G769-T0360"",""G769-T0384"",""G769-T0395"",""G769-T0397"",""G769-T0399"",""G769-T0411"",""G769-T0414"",""G769-T0419"",""G769-T0421"",""G769-T0449"",""G769-T0451"",""G769-T0452"",""G769-T0470"",""G769-T0473"",""G769-T0477"",""G769-T0486"",""G769-T0489"",""G769-T0506""],""loo_supporting_pages"":[""f102v1"",""f102v2"",""f103r"",""f103v"",""f104v"",""f105v"",""f108v"",""f116r"",""f3r"",""f44r"",""f48v"",""f55v"",""f75r"",""f76r"",""f76v"",""f78r"",""f78v"",""f79r"",""f79v"",""f80r"",""f80v"",""f81r"",""f81v"",""f85r1"",""f86v5"",""f86v6"",""f87v"",""f88v"",""f94v""],""same_occurrence_conjunction_required"":1,""supporting_pages"":[""f102v1"",""f102v2"",""f103r"",""f103v"",""f104v"",""f105v"",""f108v"",""f116r"",""f3r"",""f44r"",""f48v"",""f55v"",""f75r"",""f76r"",""f76v"",""f78r"",""f78v"",""f79r"",""f79v"",""f80r"",""f80v"",""f81r"",""f81v"",""f85r1"",""f86v5"",""f86v6"",""f87v"",""f88v"",""f94v""]}"	0	0	0	0	0	0	0	1
ol	R03_PRODUCT_RESULT	Produkt oder Resultat	(F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT) AND (F06_TARGET_BEFORE_PROCESS OR F07_LINE_FINAL_OR_CLOSE) ON_SAME_TARGET_OCCURRENCE	F05_PROCESS_SLOT_FINAL AND NOT(F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT)	1	0	2	2	f78v.29	1	1	1	1	1.000000	3	1	0	SUPPORTED_RIVAL_LOWER_PRIORITY	[]	messbare Ergebnis- oder Produktzubereitung; genaue Herstellungsart offen	Produktrolle offen; nominale Zubereitung bleibt Rivale	{}	"{""loo_supporting_occurrence_count"":1,""loo_supporting_occurrence_ids"":[""G769-T0340""],""loo_supporting_pages"":[""f79r""],""same_occurrence_conjunction_required"":1,""supporting_occurrence_count"":2,""supporting_occurrence_ids"":[""G769-T0336"",""G769-T0340""],""supporting_pages"":[""f78v"",""f79r""]}"	0	0	0	0	0	0	0	2
ol	R01_NOMINAL_SUBSTANCE_PREPARATION	Stoff- oder Zubereitungsnomen	F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT OR F06_TARGET_BEFORE_PROCESS	F05_PROCESS_SLOT_FINAL AND NOT(F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT)	1	0	26	34	f114r.14	25	1	1	1	1.000000	4	1	0	SUPPORTED_RIVAL_LOWER_PRIORITY	[]	messbarer Stoff- oder Zubereitungskopf; Identität offen	Rolle offen; portabler Nullwert des Targets bleibt bestehen	{}	{}	0	0	0	0	0	0	0	3
ol	R04_BOUND_RECORD_FIELD	gebundenes Record-, Form- oder Maßfeld	F11_H1_BOUNDED_VALUE OR F02_VALUE_DIRECT	F05_PROCESS_SLOT_FINAL	0	1	4	4	f103r.25	3	0	1	0	0.200000	1	0	0	NOT_SELECTED	"[""POSITIVE_SIGNATURE_FAILED"",""CONTRADICTORY_SIGNATURE_TRIGGERED"",""STRONGEST_LOCUS_LOO_FAILED""]"	gebundenes Record-, Form- oder Maßfeld; Stoffidentität offen	Recordfunktion offen; keine Stoff- oder Prozessidentität aus dem Wertfeld ableiten	{}	{}	0	0	0	0	0	0	0	4
ol	R02_PROCESS_OPERATION	Vorgang	F05_PROCESS_SLOT_FINAL AND F07_LINE_FINAL_OR_CLOSE	(F01_AMOUNT_DIRECT OR F02_VALUE_DIRECT OR F11_H1_BOUNDED_VALUE) ON_TWO_PAGES_WITHOUT_DIRECTION	1	1	30	47	f79r.13	30	1	1	1	0.800000	2	0	0	NOT_SELECTED	"[""CONTRADICTORY_SIGNATURE_TRIGGERED""]"	Vorgang an einer Zubereitung; genaue Operation offen	Kein Vorgangsdefault; als nominales Feld oder Produkt weiterprüfen	{}	{}	0	0	0	0	0	0	0	5
