target_surface	frame_id	frame_name_de	radius	direction_rule	count_unit	support_occurrences	target_reader_exact_occurrences	normalised_support_rate	support_loci	support_pages	support_page_list	observed_axis_families	strongest_support_locus	strongest_support_page	strongest_locus_support_occurrences	loo_remaining_occurrences	loo_remaining_loci	loo_remaining_pages	loo_remaining_page_list	loo_remaining_axis_families	minimum_distinct_pages_total	minimum_remaining_support_pages	passes_total_page_gate	passes_strongest_locus_loo	frame_selected	failure_reasons	state_transition_direction_counts	state_transition_direction_page_counts	majority_transition_direction	majority_transition_share	description_de	anchor_source	union_ed2_donor_gate_required	default_is_translation	eva_latin_credit	substring_export_credit	confirmed_lexeme	confirmed_plaintext	component_export_credit
ckhy	F01_AMOUNT_DIRECT	unmittelbare Mengenformel	1	BOTH	DISTINCT_TARGET_OCCURRENCE_AND_PAGE	0	25	0.000000	0	0	[]	[]	NONE	NONE	0	0	0	0	[]	[]	2	1	0	0	0	"[""NO_OBSERVED_FRAME""]"	{}	{}	NONE	0.000000	Target besetzt unmittelbar die Inhaltsseite einer bereits beobachteten Ganzwort-Mengenformel; Drachme bleibt gegen gleiche Teile und Unze offen	GDT759_GDT760_GDT764_EXACT_AMOUNT_CONSTRUCTIONS	1	0	0	0	0	0	0
ckhy	F02_VALUE_DIRECT	unmittelbares Wertfeld	1	BOTH	DISTINCT_TARGET_OCCURRENCE_AND_PAGE	0	25	0.000000	0	0	[]	[]	NONE	NONE	0	0	0	0	[]	[]	2	1	0	0	0	"[""NO_OBSERVED_FRAME""]"	{}	{}	NONE	0.000000	Wertnähe zählt nur in einem begrenzten Feld und nicht als freie Zahlenbedeutung	GDT759_GDT763_GDT764_VALUE_FIELDS	1	0	0	0	0	0	0
ckhy	F03_DRY_R2	unabhängiger Trockenrahmen	2	BOTH	DISTINCT_TARGET_OCCURRENCE_AND_PAGE	7	25	0.280000	7	7	"[""f10v"",""f17v"",""f32r"",""f37r"",""f3v"",""f93v"",""f9v""]"	"[""DRY_STATE""]"	f10v.2	f10v	1	6	6	6	"[""f17v"",""f32r"",""f37r"",""f3v"",""f93v"",""f9v""]"	"[""DRY_STATE""]"	2	1	1	1	1	[]	{}	{}	NONE	0.000000	Mindestens ein unabhängiges vollständiges Trockenwort liegt innerhalb Radius zwei	GDT759_GDT761_GDT762_CLEAN_DRY_WHOLES	1	0	0	0	0	0	0
ckhy	F04_MOIST_R2	unabhängiger Feucht- oder Einweichrahmen	2	BOTH	DISTINCT_TARGET_OCCURRENCE_AND_PAGE	4	25	0.160000	4	4	"[""f105v"",""f32r"",""f3v"",""f90r1""]"	"[""MOIST_STATE""]"	f105v.37	f105v	1	3	3	3	"[""f32r"",""f3v"",""f90r1""]"	"[""MOIST_STATE""]"	2	1	1	1	1	[]	{}	{}	NONE	0.000000	Mindestens ein unabhängiges vollständiges Feucht- oder Einweichfeld liegt innerhalb Radius zwei; bloße SH-Formnähe zählt nicht	GDT761_GDT762_CLEAN_MOIST_WHOLES	1	0	0	0	0	0	0
ckhy	F05_PROCESS_SLOT_FINAL	gerichteter Vorgangsslot	2	LEFT_PATIENT_TO_TARGET	DISTINCT_DIRECTIONAL_FRAME_AND_PAGE	1	25	0.040000	1	1	"[""f17v""]"	"[""LEFT_PATIENT_PROCESS_DIRECTION"",""TERMINAL_GEOMETRY""]"	f17v.5	f17v	1	0	0	0	[]	[]	2	1	0	0	0	"[""TOTAL_PAGE_GATE_FAILED"",""STRONGEST_LOCUS_LOO_FAILED""]"	{}	{}	NONE	0.000000	Target folgt gerichtet auf einen Stoff-, Zubereitungs- oder Dosisrahmen und trägt Prozess- oder Endgeometrie; dies erfasst auch rezeptfinales Mischen nach einer Mengenliste	CURRENT_CLEAN_COMPLETE_WHOLE_ROLE_DECK_PLUS_EXACT_VALUE_FIELDS	1	0	0	0	0	0	0
ckhy	F06_TARGET_BEFORE_PROCESS	Target als Patient vor Vorgang	3	TARGET_TO_RIGHT_PROCESS	DISTINCT_DIRECTIONAL_FRAME_AND_PAGE	1	25	0.040000	1	1	"[""f105v""]"	"[""RIGHT_PROCESS_DIRECTION""]"	f105v.37	f105v	1	0	0	0	[]	[]	2	1	0	0	0	"[""TOTAL_PAGE_GATE_FAILED"",""STRONGEST_LOCUS_LOO_FAILED""]"	{}	{}	NONE	0.000000	Target ist nominaler Patient oder Ausgangsstoff vor einem unabhängig lizenzierten Vorgang	GDT763_GDT764_CLEAN_PROCESS_WHOLES	1	0	0	0	0	0	0
ckhy	F07_LINE_FINAL_OR_CLOSE	End- oder Abschlussgeometrie	1	RIGHT	DISTINCT_TARGET_OCCURRENCE_AND_PAGE	6	25	0.240000	6	6	"[""f17v"",""f24r"",""f48r"",""f52v"",""f8r"",""f99r""]"	"[""TERMINAL_GEOMETRY""]"	f17v.5	f17v	1	5	5	5	"[""f24r"",""f48r"",""f52v"",""f8r"",""f99r""]"	"[""TERMINAL_GEOMETRY""]"	2	1	1	1	1	[]	{}	{}	NONE	0.000000	Reine Positionsevidenz; kann Vorgang oder Produkt stützen, aber niemals allein eine konkrete Operation benennen	GDT733_GDT734_STRUCTURAL_LINE_GEOMETRY	1	0	0	0	0	0	0
ckhy	F08_HOT_R2	unabhängiger Hitzrahmen	2	BOTH	DISTINCT_TARGET_OCCURRENCE_AND_PAGE	3	25	0.120000	3	3	"[""f32r"",""f37r"",""f9v""]"	"[""HOT_STATE""]"	f32r.2	f32r	1	2	2	2	"[""f37r"",""f9v""]"	"[""HOT_STATE""]"	2	1	1	1	1	[]	{}	{}	NONE	0.000000	Vollständige Zielwort-freie Hitzebindung innerhalb Radius zwei	CURRENT_CLEAN_COMPLETE_WHOLE_QUALITY_DECK	1	0	0	0	0	0	0
ckhy	F09_COLD_R2	unabhängiger Kälterahmen	2	BOTH	DISTINCT_TARGET_OCCURRENCE_AND_PAGE	2	25	0.080000	2	2	"[""f17v"",""f3v""]"	"[""COLD_STATE""]"	f17v.5	f17v	1	1	1	1	"[""f3v""]"	"[""COLD_STATE""]"	2	1	1	1	1	[]	{}	{}	NONE	0.000000	Vollständige Zielwort-freie Kältebindung innerhalb Radius zwei	CURRENT_CLEAN_COMPLETE_WHOLE_QUALITY_DECK	1	0	0	0	0	0	0
ckhy	F10_PART_OR_CONTENT_R2	Pflanzenteil- oder Inhaltskontakt	2	BOTH	DISTINCT_TARGET_OCCURRENCE_AND_PAGE	2	25	0.080000	2	2	"[""f2r"",""f9v""]"	"[""CONTENT_CONTACT""]"	f2r.7	f2r	1	1	1	1	"[""f9v""]"	"[""CONTENT_CONTACT""]"	2	1	1	1	1	[]	{}	{}	NONE	0.000000	Target steht bei einem unabhängigen Pflanzenteil- oder Inhaltskopf; konkrete Blüte-, Frucht- oder Blattidentität wird nicht importiert	GDT759_GDT768_COMPLETE_WHOLE_CONTENT_CONTROLS	1	0	0	0	0	0	0
