target_surface	page	locus	target_occurrence_ids	target_occurrences_at_locus	signature_channels	distinct_signature_channel_count	signature_evidence_count	channel_occurrence_counts	channel_evidence_counts	semantic_donor_eligible_neighbor_evidence_counts	written_line_eva	semantic_identity_credit	component_export_credit
ol	f100v	f100v.20	"[""G769-T0001""]"	1	"[""STATE_DRY""]"	1	1	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":1,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":1,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":1,""STATE_MOIST"":0,""VALUE"":0}"	ycheoky shokeesy qokeey chokeol saraloaly cheor ol chockhar	0	0
ol	f104r	f104r.5	"[""G769-T0028"",""G769-T0029""]"	2	"[""PROCESS""]"	1	2	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":2,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":2,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	kchdal qotaiin qoshedy ol chl ol cheday al lod pchdair opchdy qod	0	0
ol	f107r	f107r.46	"[""G769-T0067""]"	1	"[""STATE_DRY""]"	1	1	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":1,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":1,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":1,""STATE_MOIST"":0,""VALUE"":0}"	sar cheey qodaiin qokaiin ol cheor aiin otal taiin qokaiin otal alkal	0	0
ol	f114r	f114r.14	"[""G769-T0125""]"	1	"[""CLOSE""]"	1	1	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":1,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":1,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":1,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	solpchd oiin chcthdy qodair ol daldy qopdain opdaiin opdairody opdaildo ary	0	0
ol	f116r	f116r.20	"[""G769-T0146""]"	1	"[""CLOSE""]"	1	1	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":1,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":1,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":1,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	chol keedy ol cheey raiin y chedy otar o kal okain olar otedy qoty sfm	0	0
ol	f3r	f3r.19	"[""G769-T0198""]"	1	"[""STATE_DRY""]"	1	1	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":1,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":1,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":1,""STATE_MOIST"":0,""VALUE"":0}"	otchor ol cheor qoeor dair qoteol qosaiin chor cthy	0	0
ol	f48v	f48v.6	"[""G769-T0220""]"	1	"[""AMOUNT""]"	1	1	"{""AMOUNT"":1,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":1,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	shdy qokain okar otar or otees ol or ain otal ok y tar chedy am	0	0
ol	f55v	f55v.10	"[""G769-T0232""]"	1	"[""AMOUNT""]"	1	1	"{""AMOUNT"":1,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":1,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	oaiin ol s aiin okaiin oky ytaiin otar y kal ykar ol	0	0
ol	f58r	f58r.13	"[""G769-T0239""]"	1	"[""PROCESS"",""OLY""]"	2	2	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":1,""PROCESS"":1,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":1,""PROCESS"":1,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":0,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	ytar sheear cheoldy ykeol cheal cheody chal chaiin ol oly	0	0
ol	f75v	f75v.41	"[""G769-T0274""]"	1	"[""PROCESS""]"	1	1	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":1,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":1,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	"{""AMOUNT"":0,""BOUNDED_VALUE"":0,""CLOSE"":0,""OLY"":0,""PROCESS"":1,""STATE_DRY"":0,""STATE_MOIST"":0,""VALUE"":0}"	sal shedy qokain shey qoin ol shey ol shey qoky qol cheey chl or sheolo	0	0
