joint_ordinal	event_id	statement_id	physical_page	register	surface	recipe	y_atom_position	dy_atom_position	written_order	intervening_atoms	dy_recipe_terminal	statement_final	literal_working_reading_de	distinction
1	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	dydyd	Y+DY+D_LABEL	1	2	Y_BEFORE_DY	NONE	NO	NO	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
2	G407-E0447	G407-S018	f17r	HERBAL	opydy	O+P+Y+DY	3	4	Y_BEFORE_DY	NONE	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
3	G407-E0941	G407-S044	f67r2	CELESTIAL	ytody	Y+T+O+DY	1	4	Y_BEFORE_DY	T+O	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
4	G407-E0975	G407-S048	f67r2	CELESTIAL	ofydy	O+LOCAL_CHAR_F+Y+DY	3	4	Y_BEFORE_DY	NONE	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
5	G407-E1042	G407-S053	f68r1	CELESTIAL	yteody	Y+T+E+O+DY	1	5	Y_BEFORE_DY	T+E+O	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
6	G407-E1769	G407-S160	f75r	BIOLOGICAL	yshedy	Y+SH+E+DY	1	4	Y_BEFORE_DY	SH+E	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
7	G407-E1795	G407-S177	f75r	BIOLOGICAL	yshedy	Y+SH+E+DY	1	4	Y_BEFORE_DY	SH+E	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
8	G407-E3036	G407-S460	f81v	BIOLOGICAL	ytedy	Y+T+E+DY	1	4	Y_BEFORE_DY	T+E	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
9	G407-E3039	G407-S461	f81v	BIOLOGICAL	ytedy	Y+T+E+DY	1	4	Y_BEFORE_DY	T+E	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
10	G407-E3042	G407-S462	f81v	BIOLOGICAL	ytedy	Y+T+E+DY	1	4	Y_BEFORE_DY	T+E	YES	YES	POSTEN → SCHRITT ABSCHLIESSEN	Y_ARGUMENT_POSTEN__THEN_DY_CLOSE_CONTROL
