family_ordinal	family_id	normalized_recipe	normalized_state_projection	carrier_envelope	argument_variant_count	argument_variants	family_status	event_count	y_event_count	aiin_event_count	ain_event_count	or_event_count	physical_page_count	register_count	statement_final_event_count	statement_final_percent	surfaces_by_argument	event_ids	family_reading_de	scope_result
1	G559-F01	OT+ARG	OT+ARG	OT>A<END	4	Y|AIIN|AIN|OR	COMPLETE_FOUR_ARGUMENT_FRAME	88	40	22	17	9	19	4	2	2.272727	Y:otchey|oty|qotchy|qoty || AIIN:chotaiin|otaiin|qotaiin || AIN:otain|otarain|qotain || OR:otor|qotor	G407-E0233|G407-E0238|G407-E0293|G407-E0299|G407-E0300|G407-E0305|G407-E0306|G407-E0324|G407-E0362|G407-E0382|G407-E0801|G407-E0878|G407-E0883|G407-E0899|G407-E0913|G407-E1034|G407-E1104|G407-E1113|G407-E1128|G407-E1185|G407-E1187|G407-E1216|G407-E1240|G407-E1241|G407-E1246|G407-E1272|G407-E1297|G407-E1362|G407-E1586|G407-E1656|G407-E1735|G407-E1819|G407-E1866|G407-E1935|G407-E1985|G407-E2016|G407-E2207|G407-E2221|G407-E2261|G407-E2267|G407-E2293|G407-E2354|G407-E2405|G407-E2458|G407-E2484|G407-E2494|G407-E2614|G407-E2648|G407-E2650|G407-E2673|G407-E2767|G407-E2779|G407-E2871|G407-E2968|G407-E3018|G407-E3046|G407-E3112|G407-E3222|G407-E3313|G407-E3406|G407-E3420|G407-E3421|G407-E3435|G407-E3493|G407-E3495|G407-E3613|G407-E3656|G407-E3666|G407-E3671|G407-E3680|G407-E4416|G407-E4426|G407-E4458|G407-E4473|G407-E4492|G407-E4550|G407-E4559|G407-E4567|G515-E0023|G515-E0033|G515-E0039|G515-E0059|G515-E0084|G515-E0090|G515-E0093|G515-E0101|G515-E0138|G515-E0391	danach ARG als nächsten Träger eröffnen	ARGUMENT_VALUE_SUBSTITUTES_INSIDE_FIXED_CONTROL_FRAME
2	G559-F02	OL+ARG	OL+ARG	OL>A<END	4	Y|AIIN|AIN|OR	COMPLETE_FOUR_ARGUMENT_FRAME	59	33	13	7	6	19	5	3	5.084746	Y:choldy|choly|kolches|olchey|oly|qolchey|qoly || AIIN:doldaiin|olaiin|qolaiin || AIN:olain|oldain|qolain || OR:alolor|cholor|olor	G407-E0095|G407-E0281|G407-E0473|G407-E0570|G407-E0809|G407-E0814|G407-E1002|G407-E1228|G407-E1299|G407-E1333|G407-E1402|G407-E1418|G407-E1515|G407-E1525|G407-E1589|G407-E1651|G407-E1684|G407-E1810|G407-E1832|G407-E2000|G407-E2015|G407-E2026|G407-E2044|G407-E2053|G407-E2054|G407-E2077|G407-E2085|G407-E2167|G407-E2194|G407-E2211|G407-E2243|G407-E2255|G407-E2303|G407-E2316|G407-E2369|G407-E2374|G407-E2555|G407-E2619|G407-E2636|G407-E2653|G407-E2720|G407-E2749|G407-E2770|G407-E2854|G407-E2867|G407-E2986|G407-E3005|G407-E3009|G407-E3337|G407-E3411|G407-E3675|G407-E4005|G407-E4070|G407-E4214|G407-E4293|G407-E4413|G407-E4450|G515-E0072|G515-E0480	weiter mit ARG als aktuellem Träger	ARGUMENT_VALUE_SUBSTITUTES_INSIDE_FIXED_CONTROL_FRAME
3	G559-F03	OT+E+ARG	OT+ARG	OT>A<END	3	Y|AIIN|OR	OBSERVED_THREE_ARGUMENT_FRAME	24	19	2	0	3	13	5	0	0.000000	Y:otey|qotey || AIIN:qotedaiin || OR:oteor|qoteor	G407-E1181|G407-E1271|G407-E1349|G407-E1510|G407-E1773|G407-E1876|G407-E1957|G407-E1984|G407-E2556|G407-E2702|G407-E2729|G407-E2763|G407-E2768|G407-E2844|G407-E2894|G407-E3242|G407-E3655|G407-E3865|G407-E4130|G407-E4405|G515-E0006|G515-E0252|G515-E0336|G515-E0538	danach ARG als nächsten Träger eröffnen	ARGUMENT_VALUE_SUBSTITUTES_INSIDE_FIXED_CONTROL_FRAME
4	G559-F04	OL+K+ARG	OL+ARG	OL>A<END	3	Y|AIIN|AIN	OBSERVED_THREE_ARGUMENT_FRAME	11	3	3	5	0	8	2	0	0.000000	Y:olky|qolky || AIIN:olkaiin|solkaiin || AIN:olkain|qolkain	G407-E1470|G407-E2123|G407-E2570|G407-E2903|G407-E2942|G407-E3118|G407-E3133|G407-E3196|G407-E3754|G407-E4429|G407-E4442	weiter mit ARG als aktuellem Träger	ARGUMENT_VALUE_SUBSTITUTES_INSIDE_FIXED_CONTROL_FRAME
5	G559-F05	OT+AL+ARG	OT+ARG	OT>A<END	3	Y|AIN|OR	OBSERVED_THREE_ARGUMENT_FRAME	5	3	0	1	1	5	4	0	0.000000	Y:otaly|qotaly || AIN:otalain || OR:otalor	G407-E1123|G407-E1273|G407-E2029|G407-E4443|G515-E0417	danach ARG als nächsten Träger eröffnen	ARGUMENT_VALUE_SUBSTITUTES_INSIDE_FIXED_CONTROL_FRAME
6	G559-F06	OT+EE+ARG	OT+ARG	OT>A<END	2	Y|OR	OBSERVED_TWO_ARGUMENT_FRAME	24	23	0	0	1	9	3	0	0.000000	Y:oteey|otoees|qoteey || OR:oteeor	G407-E0032|G407-E1068|G407-E1088|G407-E1090|G407-E1135|G407-E1143|G407-E1177|G407-E1260|G407-E1284|G407-E1313|G407-E1389|G407-E1395|G407-E1792|G407-E2195|G407-E2497|G407-E2756|G407-E2769|G407-E2842|G407-E3203|G407-E3305|G407-E3392|G407-E3422|G407-E3425|G515-E0572	danach ARG als nächsten Träger eröffnen	ARGUMENT_VALUE_SUBSTITUTES_INSIDE_FIXED_CONTROL_FRAME
7	G559-F07	OT+CH+ARG	OT+ARG	OT>A<END	2	Y|OR	OBSERVED_TWO_ARGUMENT_FRAME	8	5	0	0	3	7	3	0	0.000000	Y:otchy || OR:otchor|qotchor	G407-E0277|G407-E0399|G407-E0450|G407-E0841|G407-E0855|G407-E1071|G407-E1919|G515-E0105	danach ARG als nächsten Träger eröffnen	ARGUMENT_VALUE_SUBSTITUTES_INSIDE_FIXED_CONTROL_FRAME
8	G559-F08	OL+SH+E+ARG	OL+ARG	OL>A<END	2	Y|OR	OBSERVED_TWO_ARGUMENT_FRAME	3	2	0	0	1	3	2	1	33.333333	Y:olshey|solshey || OR:olsheor	G407-E2382|G407-E2843|G515-E0238	weiter mit ARG als aktuellem Träger	ARGUMENT_VALUE_SUBSTITUTES_INSIDE_FIXED_CONTROL_FRAME
9	G559-F09	S+OT+ARG	OT+ARG	OT>A<END	2	Y|AIIN	OBSERVED_TWO_ARGUMENT_FRAME	3	1	2	0	0	3	2	0	0.000000	Y:sotchy || AIIN:sotaiin|sotchaiin	G407-E0440|G407-E0586|G407-E3225	danach ARG als nächsten Träger eröffnen	ARGUMENT_VALUE_SUBSTITUTES_INSIDE_FIXED_CONTROL_FRAME
10	G559-F10	D_ADDR+OL+K+ARG	OL+ARG	OL>A<END	2	Y|AIN	OBSERVED_TWO_ARGUMENT_FRAME	2	1	0	1	0	1	1	0	0.000000	Y:dolkchy || AIN:dolkain	G407-E4523|G407-E4569	weiter mit ARG als aktuellem Träger	ARGUMENT_VALUE_SUBSTITUTES_INSIDE_FIXED_CONTROL_FRAME
