transition_ordinal	event_id	statement_id	physical_page	register	surface	recipe	left_control	right_control	last_argument	last_argument_value_de	argument_sequence	current_carrier_reading_de	next_event_id	next_recipe	next_explicit_arguments	next_inherited_argument	successor_outcome	transition_reading_de	statement_final	guard
1	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	sholdy	SH+OL+D_ADDR+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E0011	S+OR+Y	OR|Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
2	G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	oteey	OT+EE+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0033	OT+E+O+S_ADDR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
3	G407-E0034	G407-S001	f1r	SOURCE_SECTION_T	roloty	R+OL+OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0035	CH+T+LOCAL_CHAR_I+AR	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
4	G407-E0095	G407-S005	f1r	SOURCE_SECTION_T	oldain	OL+AIN	OL	END	AIN	ANTEIL	AIN	weiter mit dem Anteil als aktuellem Träger	G407-E0096	D_ADDR	NONE	AIN	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Anteil.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
5	G407-E0212	G407-S007	f1r	SOURCE_SECTION_T	choty	CH+OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0213	CH+OT+E+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
6	G407-E0213	G407-S007	f1r	SOURCE_SECTION_T	chotey	CH+OT+E+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0214	D_ADDR+CH+AIIN	AIIN	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
7	G407-E0229	G407-S008	f10r	HERBAL	otytchol	OT+Y+T+CH+OL	OT	OL	Y	POSTEN	Y	danach den Posten eröffnen und weiterführen	G407-E0230	OK+Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
8	G407-E0233	G407-S008	f10r	HERBAL	qotor	OT+OR	OT	END	OR	EINHEIT	OR	danach die Einheit als nächsten Träger eröffnen	G407-E0234	O	NONE	OR	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter die Einheit.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
9	G407-E0238	G407-S008	f10r	HERBAL	qotchy	OT+Y	OT	END	Y	POSTEN	Y	danach den Posten als nächsten Träger eröffnen	G407-E0239	OL	NONE	Y	NEXT_INHERITS_CURRENT_ARGUMENT	Die nächste Karte verwendet weiter den Posten.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
10	G407-E0262	G407-S009	f10r	HERBAL	qoctholy	CARRIER_Q+O+CH+T+OL+Y	OL	END	Y	POSTEN	Y	weiter mit dem Posten als aktuellem Träger	G407-E0263	Y	Y	NONE	NEXT_EXPLICIT_ARGUMENT_RESETS_CARRIER	Die nächste Karte setzt ein neues sichtbares Argument.	NO	EXPLICIT_NEXT_ARGUMENT_RESETS__OTHERWISE_INHERIT_CURRENT_CARRIER
