assignment_ordinal	cohort	event_id	statement_id	physical_page	register	surface	recipe	argument_state_projection	argument_occurrence_in_recipe	argument_multiplicity_in_recipe	argument_sequence	argument	argument_value_de	argument_atom_position	recipe_atom_count	left_control	right_control	carrier_envelope	carrier_role	content_block	argument_position_in_block	left_content_before_argument	right_content_after_argument	is_last_argument_in_recipe	compact_carrier_reading_de	envelope_template_de	complete_carrier_reading_de	literal_projection_reading_de	statement_position	statement_final	current_reading_de	y_dy_atom_distinction	guard	substitution_family_id
1	OLD26_GDT407	G407-E0010	G407-S001	f1r	SOURCE_SECTION_T	sholdy	SH+OL+D_ADDR+Y	OL+Y	1	1	Y	Y	POSTEN	4	4	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	D_ADDR+Y	2	D_ADDR	NONE	YES	FORTSETZEN · POSTEN	weiter mit ARG als aktuellem Träger	weiter mit dem Posten als aktuellem Träger	TRÄGER FORTSETZEN → POSTEN	STATEMENT_INTERNAL	NO	HALTEN · FORTSETZEN · HIER · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
2	OLD26_GDT407	G407-E0032	G407-S001	f1r	SOURCE_SECTION_T	oteey	OT+EE+Y	OT+Y	1	1	Y	Y	POSTEN	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	EE+Y	2	EE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · GRAD II · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F06
3	OLD26_GDT407	G407-E0034	G407-S001	f1r	SOURCE_SECTION_T	roloty	R+OL+OT+Y	OL+OT+Y	1	1	Y	Y	POSTEN	4	4	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	TRÄGER FORTSETZEN → NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	MARKIEREN · FORTSETZEN · DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
4	OLD26_GDT407	G407-E0095	G407-S005	f1r	SOURCE_SECTION_T	oldain	OL+AIN	OL+AIN	1	1	AIN	AIN	ANTEIL	2	2	OL	END	OL>A<END	CONTINUED_CARRIER_ARGUMENT	AIN	1	NONE	NONE	YES	FORTSETZEN · ANTEIL	weiter mit ARG als aktuellem Träger	weiter mit dem Anteil als aktuellem Träger	TRÄGER FORTSETZEN → ANTEIL	STATEMENT_INTERNAL	NO	FORTSETZEN · ANTEIL	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F02
5	OLD26_GDT407	G407-E0133	G407-S005	f1r	SOURCE_SECTION_T	dydyd	Y+DY+D_LABEL	Y+DY	1	1	Y	Y	POSTEN	1	3	START	DY	START>A<DY	CLOSING_ARGUMENT	Y	1	NONE	NONE	YES	POSTEN · ABSCHLIESSEN	ARG führen und den Schritt abschließen	den Posten führen und den Schritt abschließen	POSTEN → SCHRITT ABSCHLIESSEN	STATEMENT_INTERNAL	NO	AKTIVER POSTEN · SCHLUSS · HIER	Y_IS_ARGUMENT_ATOM__DY_IS_SEPARATE_CLOSE_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
6	OLD26_GDT407	G407-E0212	G407-S007	f1r	SOURCE_SECTION_T	choty	CH+OT+Y	OT+Y	1	1	Y	Y	POSTEN	3	3	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	NEHMEN · DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
7	OLD26_GDT407	G407-E0213	G407-S007	f1r	SOURCE_SECTION_T	chotey	CH+OT+E+Y	OT+Y	1	1	Y	Y	POSTEN	4	4	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	E+Y	2	E	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	NEHMEN · DANACH · GRAD I · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
8	OLD26_GDT407	G407-E0229	G407-S008	f10r	HERBAL	otytchol	OT+Y+T+CH+OL	OT+Y+OL	1	1	Y	Y	POSTEN	2	5	OT	OL	OT>A<OL	OPENED_THEN_RETAINED_ARGUMENT	Y+T+CH	1	NONE	T+CH	YES	DANACH · POSTEN · FORTSETZEN	danach ARG eröffnen und weiterführen	danach den Posten eröffnen und weiterführen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN → TRÄGER FORTSETZEN	STATEMENT_INTERNAL	NO	DANACH · AKTIVER POSTEN · EINSTELLEN · NEHMEN · FORTSETZEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	NONE
9	OLD26_GDT407	G407-E0233	G407-S008	f10r	HERBAL	qotor	OT+OR	OT+OR	1	1	OR	OR	EINHEIT	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	OR	1	NONE	NONE	YES	DANACH · EINHEIT	danach ARG als nächsten Träger eröffnen	danach die Einheit als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → EINHEIT	STATEMENT_INTERNAL	NO	DANACH · EINHEIT	NOT_APPLICABLE	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
10	OLD26_GDT407	G407-E0238	G407-S008	f10r	HERBAL	qotchy	OT+Y	OT+Y	1	1	Y	Y	POSTEN	2	2	OT	END	OT>A<END	NEXT_CARRIER_ARGUMENT	Y	1	NONE	NONE	YES	DANACH · POSTEN	danach ARG als nächsten Träger eröffnen	danach den Posten als nächsten Träger eröffnen	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	STATEMENT_INTERNAL	NO	DANACH · AKTIVER POSTEN	Y_IS_ARGUMENT_ATOM__NOT_THE_DY_CONTROL	ARGUMENT_VALUE_INSIDE_WRITTEN_CONTROL_ENVELOPE__NO_ROOT_OR_RECIPE_CHANGE	G559-F01
