projection_ordinal	argument_state_projection	event_count	argument_occurrence_count	statement_count	physical_page_count	register_count	exact_recipe_count	surface_count	statement_final_event_count	statement_final_percent	literal_working_reading_de	example_events	example_surfaces
1	OT+Y	117	117	89	24	5	22	30	0	0.000000	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	G407-E0032|G407-E0212|G407-E0213|G407-E0238|G407-E0299	oteey|choty|chotey|qotchy|qoty
2	OL+Y	96	96	82	20	5	39	52	6	6.250000	TRÄGER FORTSETZEN → POSTEN	G407-E0010|G407-E0262|G407-E0452|G407-E0494|G407-E0568	sholdy|qoctholy|oldckhy|choldshy|sholdy
3	OT+AIIN	28	28	25	9	4	5	8	0	0.000000	NÄCHSTEN TRÄGER ERÖFFNEN → WERT	G407-E0586|G407-E1061|G407-E1128|G407-E1185|G407-E1187	sotchaiin|oteeodaiin|otaiin|otaiin|otaiin
4	Y+DY	28	28	28	14	5	21	21	27	96.428571	POSTEN → SCHRITT ABSCHLIESSEN	G407-E0133|G407-E0447|G407-E0941|G407-E0975|G407-E1042	dydyd|opydy|ytody|ofydy|yteody
5	OL+AIIN	22	22	19	11	4	6	9	0	0.000000	TRÄGER FORTSETZEN → WERT	G407-E0473|G407-E0570|G407-E1186|G407-E1299|G407-E1312	olaiin|doldaiin|sheolaiin|olaiin|okeolaiin
6	OT+OR	21	21	16	13	5	9	12	1	4.761905	NÄCHSTEN TRÄGER ERÖFFNEN → EINHEIT	G407-E0233|G407-E0277|G407-E0292|G407-E0293|G407-E0298	qotor|qotchor|oqotor|otor|otchoshor
7	OT+AIN	18	18	18	7	2	2	4	1	5.555556	NÄCHSTEN TRÄGER ERÖFFNEN → ANTEIL	G407-E1586|G407-E1985|G407-E2016|G407-E2267|G407-E2293	otain|qotain|qotain|otain|otarain
8	OL+AIN	15	15	15	7	4	5	8	0	0.000000	TRÄGER FORTSETZEN → ANTEIL	G407-E0095|G407-E2026|G407-E2054|G407-E2077|G407-E2243	oldain|olain|olain|qolain|qolain
9	OL+OR	9	9	9	8	4	4	6	1	11.111111	TRÄGER FORTSETZEN → EINHEIT	G407-E0281|G407-E1189|G407-E1832|G407-E2053|G407-E2986	cholor|cheolor|olor|alolor|olor
10	Y+OL	8	8	7	6	4	5	6	0	0.000000	POSTEN → TRÄGER FORTSETZEN	G407-E0524|G407-E0549|G407-E0560|G407-E0653|G407-E2995	ykchol|ykchol|ytol|ychol|ykol
11	Y+OL+Y	5	10	4	4	2	3	4	2	40.000000	POSTEN → TRÄGER FORTSETZEN → POSTEN	G407-E0437|G407-E1000|G407-E1058|G407-E1361|G407-E1388	ykoly|ydoly|chkchykoly|ykeeoly|ykoly
12	OR+DY	2	2	2	2	2	2	2	2	100.000000	EINHEIT → SCHRITT ABSCHLIESSEN	G407-E0497|G407-E1963	opchordy|chorshedy
13	OT+OL+Y	2	2	2	2	2	2	2	0	0.000000	NÄCHSTEN TRÄGER ERÖFFNEN → TRÄGER FORTSETZEN → POSTEN	G407-E4241|G515-E0581	otolpchy|qoteoly
14	AIN+DY	1	1	1	1	1	1	1	1	100.000000	ANTEIL → SCHRITT ABSCHLIESSEN	G407-E4140	dainaldy
15	OL+AIIN+Y	1	2	1	1	1	1	1	0	0.000000	TRÄGER FORTSETZEN → WERT → POSTEN	G407-E2509	olaiiny
16	OL+OL+Y	1	1	1	1	1	1	1	0	0.000000	TRÄGER FORTSETZEN → TRÄGER FORTSETZEN → POSTEN	G407-E1555	qolkeeoly
17	OL+OR+AIIN	1	2	1	1	1	1	1	0	0.000000	TRÄGER FORTSETZEN → EINHEIT → WERT	G515-E0415	sholfordaiin
18	OL+OT+Y	1	1	1	1	1	1	1	0	0.000000	TRÄGER FORTSETZEN → NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN	G407-E0034	roloty
19	OL+Y+OL	1	1	1	1	1	1	1	0	0.000000	TRÄGER FORTSETZEN → POSTEN → TRÄGER FORTSETZEN	G407-E4208	dolchsyckheol
20	OR+OL	1	1	1	1	1	1	1	1	100.000000	EINHEIT → TRÄGER FORTSETZEN	G407-E3881	chorcholsal
21	OT+OL+AIIN	1	1	1	1	1	1	1	0	0.000000	NÄCHSTEN TRÄGER ERÖFFNEN → TRÄGER FORTSETZEN → WERT	G407-E0694	otoldaiin
22	OT+Y+OL	1	1	1	1	1	1	1	0	0.000000	NÄCHSTEN TRÄGER ERÖFFNEN → POSTEN → TRÄGER FORTSETZEN	G407-E0229	otytchol
23	Y+OL+AIIN	1	2	1	1	1	1	1	0	0.000000	POSTEN → TRÄGER FORTSETZEN → WERT	G407-E3974	yfolaiin
24	Y+OL+OL	1	1	1	1	1	1	1	0	0.000000	POSTEN → TRÄGER FORTSETZEN → TRÄGER FORTSETZEN	G407-E1354	ykeolol
