root	grade	endpoint	component_recipe	paradigm_support_cells	status	observed_surfaces	candidate_bare_surface	candidate_q_entry_surface	surface_collision_recipes	abstract_prediction_de	workshop_prediction_de	owner_address_prediction_de
P	NONE	Y	P+Y	1	OBSERVED	pchey	py	qpy	NONE	EINSETZUNG → REFERENT	Material einsetzen; dieser Arbeitsgegenstand	Platz besetzen; dieser Bildplatz
P	NONE	DY	P+DY	1	CREATIVE_PREDICTION	NONE	pdy	qpdy	NONE	EINSETZUNG → ABSCHLUSS	Material einsetzen; Arbeitsschritt schließen	Platz besetzen; Bildeintrag schließen
P	E	Y	P+E+Y	1	CREATIVE_PREDICTION	NONE	pey	qpey	NONE	EINSETZUNG → GRAD_1 → REFERENT	Material einsetzen; kurz oder direkt; dieser Arbeitsgegenstand	Platz besetzen; erster Grad; dieser Bildplatz
P	E	DY	P+E+DY	1	CREATIVE_PREDICTION	NONE	pedy	qpedy	NONE	EINSETZUNG → GRAD_1 → ABSCHLUSS	Material einsetzen; kurz oder direkt; Arbeitsschritt schließen	Platz besetzen; erster Grad; Bildeintrag schließen
P	EE	Y	P+EE+Y	1	CREATIVE_PREDICTION	NONE	peey	qpeey	NONE	EINSETZUNG → GRAD_2 → REFERENT	Material einsetzen; länger oder gehalten; dieser Arbeitsgegenstand	Platz besetzen; zweiter Grad; dieser Bildplatz
P	EE	DY	P+EE+DY	1	CREATIVE_PREDICTION	NONE	peedy	qpeedy	NONE	EINSETZUNG → GRAD_2 → ABSCHLUSS	Material einsetzen; länger oder gehalten; Arbeitsschritt schließen	Platz besetzen; zweiter Grad; Bildeintrag schließen
P	EEE	Y	P+EEE+Y	1	CREATIVE_PREDICTION	NONE	peeey	qpeeey	NONE	EINSETZUNG → GRAD_3 → REFERENT	Material einsetzen; vollständig; dieser Arbeitsgegenstand	Platz besetzen; dritter oder voller Grad; dieser Bildplatz
P	EEE	DY	P+EEE+DY	1	CREATIVE_PREDICTION	NONE	peeedy	qpeeedy	NONE	EINSETZUNG → GRAD_3 → ABSCHLUSS	Material einsetzen; vollständig; Arbeitsschritt schließen	Platz besetzen; dritter oder voller Grad; Bildeintrag schließen
OK	NONE	Y	OK+Y	7	OBSERVED	oky|qokchy|okchy|qoky|okchey|choky|qoky|oky|qokchy|okchy|oky|choky|oky|oky	oky	qoky	NONE	AKTIVIEREN → REFERENT	Arbeitsgang ansetzen; dieser Arbeitsgegenstand	Bildplatz aktivieren; dieser Bildplatz
OK	NONE	DY	OK+DY	7	STRONG_PREDICTION	NONE	okdy	qokdy	NONE	AKTIVIEREN → ABSCHLUSS	Arbeitsgang ansetzen; Arbeitsschritt schließen	Bildplatz aktivieren; Bildeintrag schließen
