identity	surface	component_recipe	semantic_root_reading_de	renderer_skeleton	renderer_rules	attested_surface_family	allograph_choices	renderability	exact_surface_rule
A1:G001	ykshy	Y+K+Y	POSTEN · ZUGEBEN · POSTEN	y/chy/chey/dy/shy/sy-k-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT | REPEATED_ROOT_COPY	ykshy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A1:G002	s	S_LABEL	PHASENZEICHEN	s	ROOT_ORDER_COPY | LOCAL_SIGN_COPY	s	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A1:G003	aram	AR+AM_ADDR	QUELLE · GEGENFELD	ar-am	ROOT_ORDER_COPY | LOCAL_SIGN_COPY	aram	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A1:G036	dolchsody	D_ADDR+OL+CH+S_ADDR+O+DY	TEILSTELLE · FORTSETZEN · ENTNEHMEN · STERNBEZUG · ARBEITSGANG · SCHLIESSEN	d-ol/chol/qol/ls/sol-ch-s-o-dy	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH | CH_BODY_ALLOGRAPH | DY_CLOSED_ENDPOINT | LOCAL_SIGN_COPY	dolchsody	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A2:G033	odchecthy	O+D_ADDR+CH+E+CTH+Y	ARBEITSGANG · TEILSTELLE · ENTNEHMEN · KURZ · BEREIT · POSTEN	o-d-ch-e-cth-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT | LOCAL_SIGN_COPY	odchecthy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G041	yka	Y+K+A_ADDR	POSTEN · ZUGEBEN · STELLE	y/chy/chey/dy/shy/sy-k-a	ROOT_ORDER_COPY | LOCAL_SIGN_COPY	yka	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G042	chol	OL	FORTSETZEN	ol/chol/qol/ls/sol	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH	chol | ol | ls	3	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G043	ykar	Y+K+AR	POSTEN · ZUGEBEN · QUELLE	y/chy/chey/dy/shy/sy-k-ar	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	ykar	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G044	dal	AL	ZIELSTELLE	al	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	dal | cheal	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G045	ykady	Y+K+A_ADDR+Y	POSTEN · ZUGEBEN · STELLE · POSTEN	y/chy/chey/dy/shy/sy-k-a-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT | LOCAL_SIGN_COPY | REPEATED_ROOT_COPY	ykady	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G046	iokeeor	NONE	LOKALES GANZWORT	memorize	MEMORIZED_WHOLE_FORM	iokeeor | daiial	2	MEMORIZED_EXACT_FORM	Choose the learned local/hand allograph from this attested family.
A3:G047	cheey	WHOLE[cheey|shey]	LANG HALTEN	cheey/shey	MEMORIZED_WHOLE_FORM	cheey	1	MEMORIZED_EXACT_FORM	Choose the learned local/hand allograph from this attested family.
A3:G048	choly	OL+Y	FORTSETZEN · POSTEN	ol/chol/qol/ls/sol-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | OL_FRAME_ALLOGRAPH | Y_OPEN_ENDPOINT	choly | qolchey	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G049	ykeeal	Y+K+EE+AL	POSTEN · ZUGEBEN · LANG · ZIELSTELLE	y/chy/chey/dy/shy/sy-k-ee-al	ROOT_ORDER_COPY | E_GRADE_LENGTH | ARGUMENT_OR_ADDRESS_TAIL	ykeeal	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G050	cheo	CHEO	AUSZUG	cheo	ROOT_ORDER_COPY | LOCAL_SIGN_COPY	cheo	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G051	oaram	O+AR+AM_ADDR	ARBEITSGANG · QUELLE · GEGENFELD	o-ar-am	ROOT_ORDER_COPY | LOCAL_SIGN_COPY	oaram	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G052	ockhy	O+CKH+Y	ARBEITSGANG · DURCHLASS · POSTEN	o-ckh-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | Y_OPEN_ENDPOINT	ockhy	1	COMPOSITIONAL_SINGLE_ATTESTED_RENDERING	Choose the learned local/hand allograph from this attested family.
A3:G053	sheey	SH+EE+Y	HALTEN · LANG · POSTEN	sh-ee-y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	sheey | cheey	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G054	aiin	AIIN	MASS	aiin	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	aiin | daiin	2	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
A3:G055	y	Y	POSTEN	y/chy/chey/dy/shy/sy	ROOT_ORDER_COPY | Y_OPEN_ENDPOINT	y | dy | chey | chy	4	COMPOSITIONAL_FAMILY__ALLOGRAPH_CHOICE	Choose the learned local/hand allograph from this attested family.
