example	intended_instruction_de	root_recipe	slot_signature	attested_surface	backward_root_reading_de	local_fluent_reading_de	roundtrip_rule	renderer_skeleton	predicted_surface_family	family_size	renderer_rules	forward_result
1	Den Posten nach Maß zugeben	Y+K+AIIN	REFERENT>OPERATION>ARGUMENT	ykaiin	POSTEN · ZUGEBEN · MASS	SOLLMASS ZUGEBEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING	y/chy/chey/dy/shy/sy-k-aiin	ykaiin	1	ROOT_ORDER_COPY | ARGUMENT_OR_ADDRESS_TAIL	EXACT
2	Lange an der Zielstelle ansetzen	OK+EE+AL	OPERATION>GRADE>ADDRESS	qokeedal	ANSETZEN · LANG · ZIELSTELLE	LAENGER AN DER ZIELSTELLE ANSETZEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING	qok/ok/chok-ee-al	qokeedal	1	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OK_FRAME_ALLOGRAPH | E_GRADE_LENGTH | ARGUMENT_OR_ADDRESS_TAIL	EXACT
3	Danach umsetzen und schließen	OT+CHD+DY	ORDER>OPERATION>ENDPOINT	qotchedy	DANACH · UMSETZEN · SCHLIESSEN	DANACH UMSETZEN UND SCHLIESSEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING	qot/ot-chd/ched-dy	otchdy | qotchedy	2	ROOT_ORDER_COPY | OPTIONAL_Q_CARRIER | OT_FRAME_ALLOGRAPH | CH_BODY_ALLOGRAPH | DY_CLOSED_ENDPOINT	FAMILY_PREDICTED__ALLOGRAPH_CHOICE_LEARNED
4	Kühl ruhen lassen und schließen	R+SHED+DY	STATE>STATE>ENDPOINT	rshedy	KUEHL · RUHEN · SCHLIESSEN	KUEHL RUHEN LASSEN UND SCHLIESSEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING	r-shed-dy	rshedy	1	ROOT_ORDER_COPY | R_STATE_ONSET | DY_CLOSED_ENDPOINT	EXACT
5	Einen Teil für den Ansatz entnehmen	HO+CH+OR	MATERIAL>OPERATION>MATERIAL	chochor	TEIL · ENTNEHMEN · ANSATZ	PFLANZENZUTAT FUER DEN ANSATZ ENTNEHMEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING	cho/sho-ch-or	chochor	1	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH	EXACT
6	Kurz durch den Durchlass leiten und schließen	L+CKH+E+DY	PATH>PATH>GRADE>ENDPOINT	lcheckhedy	LEITEN · DURCHLASS · KURZ · SCHLIESSEN	KURZ DURCHLEITEN UND SCHLIESSEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING	l-ckh-e-dy	lcheckhedy	1	ROOT_ORDER_COPY | CH_BODY_ALLOGRAPH | E_GRADE_LENGTH | L_PATH_ONSET | DY_CLOSED_ENDPOINT	EXACT
7	Den Posten lange sammeln	SOLK+EE+Y	OPERATION>GRADE>REFERENT	solkeey	SAMMELN · LANG · POSTEN	LANG SAMMELN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING	solk/qolk-ee-y/chy/chey/dy/shy/sy	solkeey	1	ROOT_ORDER_COPY | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	EXACT
8	Den Laufposten schließen	AIR+Y+DY	PATH>REFERENT>ENDPOINT	dairydy	LAUF · POSTEN · SCHLIESSEN	WASSERPOSTEN SCHLIESSEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING	air-y/chy/chey/dy/shy/sy-dy	dairydy	1	ROOT_ORDER_COPY | DY_CLOSED_ENDPOINT	EXACT
9	Danach den Posten lange halten	OT+EE+Y	ORDER>GRADE>REFERENT	oteey	DANACH · LANG · POSTEN	DANACH LANG HALTEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING	qot/ot-ee-y/chy/chey/dy/shy/sy	oteey	1	ROOT_ORDER_COPY | OT_FRAME_ALLOGRAPH | E_GRADE_LENGTH | Y_OPEN_ENDPOINT	EXACT
10	Beiseitestellen	TALAM	WHOLE_ROOT	talam	BEISEITESTELLEN	BEISEITESTELLEN	INTENTION -> ROOT SLOTS -> LEARNED SURFACE; SURFACE -> ROOT SLOTS -> WORKSHOP READING	talam	talam	1	MEMORIZED_WHOLE_FORM	EXACT
