symbol	atomic_value_de	slot_role	canonical_surface_cue	cue_class	initial_identity_uses	medial_identity_uses	final_identity_uses	weighted_mark_uses	whole_surface_examples	renderer_instruction
AIIN	MASS	ARGUMENT	aiin	ARGUMENT_TAIL	2	0	9	37	aiin | daiin | shfydaiin | qokaiin | ykaiin | solkaiin | otaiin | chldaiin | qotedaiin	Use aiin as the learned visible cue for AIIN=MASS in ARGUMENT_TAIL position.
AIN	PORTION	ARGUMENT	ain	ARGUMENT_TAIL	1	0	7	17	ykain | orain | kain | olkain | qokain | chedain | dain	Use ain as the learned visible cue for AIN=PORTION in ARGUMENT_TAIL position.
AIR	LAUF	PATH	air	PATH_TAIL	3	0	9	12	airchy | doair | dair | qotair | air | chair | kair | okair | schedair | dairydy	Use air as the learned visible cue for AIR=LAUF in PATH_TAIL position.
AL	ZIELSTELLE	ADDRESS	al	ADDRESS_TAIL	8	6	21	48	dal | ykeeal | cheal | otaldal | oteeal | okeodal | schoal | qokal | chodaly | sheckhal	Use al as the learned visible cue for AL=ZIELSTELLE in ADDRESS_TAIL position.
AN	NACHGABE	ARGUMENT	an	ARGUMENT_TAIL	0	0	1	1	ykan	Use an as the learned visible cue for AN=NACHGABE in ARGUMENT_TAIL position.
AR	QUELLE	ADDRESS	ar	ADDRESS_TAIL	5	2	15	23	aram | ykar | oaram | chear | otoar | ar | oteoarar | char | cheoar | otar	Use ar as the learned visible cue for AR=QUELLE in ADDRESS_TAIL position.
CH	ENTNEHMEN	OPERATION	ch	OPERATION_BODY	9	8	1	22	dolchsody | odchecthy | chear | ch | cheteeser | dchey | chair | otytchol | qotchol | otchor	Use ch as the learned visible cue for CH=ENTNEHMEN in OPERATION_BODY position.
CHD	UMSETZEN	OPERATION	chd/ched	OPERATION_BODY	9	14	1	50	chdy | chda | chedy | schedy | sshkchdy | qolchedy | qokchdy | lchedal | okchedy | dchdy	Use chd/ched as the learned visible cue for CHD=UMSETZEN in OPERATION_BODY position.
CHK	WAERMEN	OPERATION	chk/chek	OPERATION_BODY	4	0	0	7	cheeky | cheky | chkeey | chkeedy	Use chk/chek as the learned visible cue for CHK=WAERMEN in OPERATION_BODY position.
CKH	DURCHLASS	PATH	ckh	PATH_BODY	1	9	0	15	ockhy | cheeckhody | sheckhal | chckhy | shckhedy | lcheckhy | lcheckhedy | sheckhy | qockhey | chckhal	Use ckh as the learned visible cue for CKH=DURCHLASS in PATH_BODY position.
CTH	BEREIT	STATE	cth	STATE_BODY	3	4	0	15	odchecthy | cthoor | checthy | octheol | qcthey | shecthedchy | shecthy	Use cth as the learned visible cue for CTH=BEREIT in STATE_BODY position.
DA	ZWEITE	GRADE	da	GRADE_BODY	1	0	0	1	daiiin	Use da as the learned visible cue for DA=ZWEITE in GRADE_BODY position.
DY	SCHLIESSEN	ENDPOINT	dy	CLOSED_ENDPOINT	0	0	40	93	dolchsody | ody | otody | tchody | oldy | cheeckhody | qokedy | schedy | sshkchdy | shedy	Use dy as the learned visible cue for DY=SCHLIESSEN in CLOSED_ENDPOINT position.
E	KURZ	GRADE	e	GRADE_LENGTH	3	39	0	59	odchecthy | yetey | chear | ykey | qoteor | oteody | okeodal | oteoarar | cheteeser | dchey	Use e as the learned visible cue for E=KURZ in GRADE_LENGTH position.
EE	LANG	GRADE	ee	GRADE_LENGTH	1	23	0	48	ykeeal | sheey | ykeeody | oteeal | cheteeser | oteey | cheey | cheeky | cheeckhody | qokeedal	Use ee as the learned visible cue for EE=LANG in GRADE_LENGTH position.
EEE	VOLLSTAENDIG	GRADE	eee	GRADE_LENGTH	1	1	0	2	qokeeedy | cheeety	Use eee as the learned visible cue for EEE=VOLLSTAENDIG in GRADE_LENGTH position.
HO	TEIL	MATERIAL	cho/sho	MATERIAL_BODY	5	0	2	6	cho | chochor | chodaly | choy	Use cho/sho as the learned visible cue for HO=TEIL in MATERIAL_BODY position.
IIN	STUFE	STATE	iin	STATE_TAIL	0	0	2	3	oiiin | daiiin	Use iin as the learned visible cue for IIN=STUFE in STATE_TAIL position.
K	ZUGEBEN	OPERATION	k	OPERATION_BODY	5	15	0	23	ykshy | yka | ykar | ykady | ykeeal | ykey | ykeeody | kchy | ykain | ykan	Use k as the learned visible cue for K=ZUGEBEN in OPERATION_BODY position.
L	LEITEN	PATH	l	PATH_ONSET	18	0	1	27	dl | lchedal | ly | lcheckhy | lched | lcheckhedy | ldy | lchy | lcheey | lchedy	Use l as the learned visible cue for L=LEITEN in PATH_ONSET position.
