page_review_index	page	physical_folio	canvas_ids	complete_page_review_state	reviewer_provenance	automated_visual_method	formal_identity_access_state
1	f100r	f100	1006248	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
2	f102v2	f102	1006252;1006253	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
3	f58r	f58	1006188	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
4	f67r2	f67	1006194	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
5	f67v2	f67	1006195	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
6	f68r1	f68	1006196	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
7	f68r2	f68	1006196	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
8	f70v2	f70	1006200;1006201	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
9	f75v	f75	1006209	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
10	f82r	f82	1006222	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
11	f82v	f82	1006223	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
12	f83r	f83	1006224	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
13	f83v	f83	1006225	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
14	f88r	f88	1037112	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
15	f88v	f88	1006233	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
16	f89r1	f89	1006233	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
17	f89r2	f89	1006233	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
18	f89v1	f89	1006234;1006235	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
19	f89v2	f89	1006234;1006235	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
20	f99r	f99	1006246	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
21	f99v	f99	1006247	REVIEWED_SOURCE_AWARE	SINGLE_AI_DIRECT_VISUAL_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	NONE	SEALED
