review_index	unit_review_index	page	physical_folio	locus	array_id	source_relation_state	source_confidence	object_localization_state	normalized_relation_geometry	neutral_object_topology	normalized_object_id	source_object_reference	singular_positive_relation	matched_same_unit_comparator_available	later_score_eligibility	normalization_basis	canvas_ids	reviewer_provenance	formal_identity_access_state
1	42	f99v	f99	f99v.17	f99v:L2	PROXIMITY_ONLY	UNHEDGED	SINGULAR_OBJECT_LOCALIZED	PROXIMITY_ONLY	PLANT_OR_FIGURE_DRAWING_UNIT	G391_OBJ_5DCA82E5C9F2	f99v[2,3]	0	0	INELIGIBLE_NOT_SINGULAR_POSITIVE	SOURCE_NOMINATED_SINGLE_NEARBY_OBJECT_WITHOUT_OWNERSHIP	1006247	SINGLE_AI_SOURCE_AWARE_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	SEALED
2	20	f100r	f100	f100r.9	f100r:L2	PROXIMITY_ONLY	HEDGED	SINGULAR_OBJECT_LOCALIZED	PROXIMITY_ONLY	PLANT_OR_FIGURE_DRAWING_UNIT	G391_OBJ_E1B0E2E3A21B	f100r[2,4]	0	0	INELIGIBLE_NOT_SINGULAR_POSITIVE	SOURCE_NOMINATED_SINGLE_NEARBY_OBJECT_WITHOUT_OWNERSHIP	1006248	SINGLE_AI_SOURCE_AWARE_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	SEALED
3	43	f89r1	f89	f89r1.3	f89r1:L1	PROXIMITY_ONLY	UNHEDGED	SINGULAR_OBJECT_LOCALIZED	PROXIMITY_ONLY	PLANT_OR_FIGURE_DRAWING_UNIT	G391_OBJ_4B4150AB5877	f89r1[1,2]	0	0	INELIGIBLE_NOT_SINGULAR_POSITIVE	SOURCE_NOMINATED_SINGLE_NEARBY_OBJECT_WITHOUT_OWNERSHIP	1006233	SINGLE_AI_SOURCE_AWARE_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	SEALED
4	1	f68r1	f68	f68r1.11	f68r1:S1	REL_EXPLICIT_ATTACHMENT	UNHEDGED	SINGULAR_OBJECT_LOCALIZED	ON_OR_ATTACHED	DISCRETE_POINT_OR_STARLIKE_OBJECT	G391_OBJ_4DD375F8C5D9	SOURCE_NAMED_STAR_FOR_f68r1_11	1	0	INELIGIBLE_NO_SAME_UNIT_TOPOLOGY_MATCH	SOURCE_EXACT_OBJECT_NOMINATION_CONSISTENT_WITH_COMPLETE_PAGE_GEOMETRY	1006196	SINGLE_AI_SOURCE_AWARE_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	SEALED
5	17	f100r	f100	f100r.17	f100r:C2	REL_EXPLICIT_ATTACHMENT	HEDGED	MULTIPLE_OR_ALTERNATIVE_OBJECTS	AMBIGUOUS_OR_MULTIPLE	OTHER_OR_UNRESOLVED			0	0	INELIGIBLE_NOT_SINGULAR_POSITIVE	SOURCE_DESCRIPTION_RETAINS_AMBIGUOUS_OWNER_OR_RELATION	1006248	SINGLE_AI_SOURCE_AWARE_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	SEALED
6	1	f68r1	f68	f68r1.21	f68r1:S1	REL_EXPLICIT_ATTACHMENT	UNHEDGED	SINGULAR_OBJECT_LOCALIZED	ON_OR_ATTACHED	DISCRETE_POINT_OR_STARLIKE_OBJECT	G391_OBJ_A3E5CC40970B	SOURCE_NAMED_STAR_FOR_f68r1_21	1	0	INELIGIBLE_NO_SAME_UNIT_TOPOLOGY_MATCH	SOURCE_EXACT_OBJECT_NOMINATION_CONSISTENT_WITH_COMPLETE_PAGE_GEOMETRY	1006196	SINGLE_AI_SOURCE_AWARE_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	SEALED
7	11	f88r	f88	f88r.6	f88r:L1	PROXIMITY_ONLY	UNHEDGED	SINGULAR_OBJECT_LOCALIZED	PROXIMITY_ONLY	PLANT_OR_FIGURE_DRAWING_UNIT	G391_OBJ_1BB6D63AE947	f88r[1,5]	0	0	INELIGIBLE_NOT_SINGULAR_POSITIVE	SOURCE_NOMINATED_SINGLE_NEARBY_OBJECT_WITHOUT_OWNERSHIP	1037112	SINGLE_AI_SOURCE_AWARE_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	SEALED
8	5	f82v	f82	f82v.44	f82v:N3	REL_EXPLICIT_ATTACHMENT	HEDGED	MULTIPLE_OR_ALTERNATIVE_OBJECTS	AMBIGUOUS_OR_MULTIPLE	OTHER_OR_UNRESOLVED			0	0	INELIGIBLE_NOT_SINGULAR_POSITIVE	SOURCE_DESCRIPTION_RETAINS_AMBIGUOUS_OWNER_OR_RELATION	1006223	SINGLE_AI_SOURCE_AWARE_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	SEALED
9	29	f68r2	f68	f68r2.24	f68r2:S1	REL_EXPLICIT_ATTACHMENT	HEDGED	SINGULAR_OBJECT_LOCALIZED	ON_OR_ATTACHED	DISCRETE_POINT_OR_STARLIKE_OBJECT	G391_OBJ_87DBC639E7AF	SOURCE_NAMED_STAR_FOR_f68r2_24	1	0	INELIGIBLE_NO_SAME_UNIT_TOPOLOGY_MATCH	SOURCE_EXACT_OBJECT_NOMINATION_CONSISTENT_WITH_COMPLETE_PAGE_GEOMETRY	1006196	SINGLE_AI_SOURCE_AWARE_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	SEALED
10	42	f99v	f99	f99v.19	f99v:L2	PROXIMITY_ONLY	HEDGED	MULTIPLE_OR_ALTERNATIVE_OBJECTS	PROXIMITY_ONLY	OTHER_OR_UNRESOLVED			0	0	INELIGIBLE_NOT_SINGULAR_POSITIVE	SOURCE_DESCRIPTION_NAMES_MULTIPLE_OR_ALIGNMENT_ONLY	1006247	SINGLE_AI_SOURCE_AWARE_EXPLORATORY_WITH_PRIOR_PAGE_EXPOSURE	SEALED
