review_index	unit_review_index	page	physical_folio	locus	array_id	source_relation_state	source_confidence	source_visual_detail	source_provenance	source_id	evidence_lineage	formal_identity_access_state
1	42	f99v	f99	f99v.17	f99v:L2	PROXIMITY_ONLY	UNHEDGED	plant <f99v>[2,3] - dark East of plant <f99v>[2,3], at top, above root.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
2	20	f100r	f100	f100r.9	f100r:L2	PROXIMITY_ONLY	HEDGED	"""plant <f100r>[2,4] - """"closed umbrella"""" leaf? East of plant <f100r>[2,4], at ground level. Kluge's 23A. <f100r.L2.4;K> from photo in Brumbaugh. <f100r.L2.4;P> from Petersen, reported by K. Kluge"""	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
3	43	f89r1	f89	f89r1.3	f89r1:L1	PROXIMITY_ONLY	UNHEDGED	plant <f89r1>[1,2] - light coloured root, dark leaves, stem East of plant <f89r1>[1,2]. Kluge's 24A.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
4	1	f68r1	f68	f68r1.11	f68r1:S1	REL_EXPLICIT_ATTACHMENT	UNHEDGED	Label on star at 11:00 - second from border. Seven points, no core.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
5	17	f100r	f100	f100r.17	f100r:C2	REL_EXPLICIT_ATTACHMENT	HEDGED	There is no trace of label on the container itself. Since the two plants <f100r>[3,1] and <f100r>[3,2] seem to have their own labels, <f100r.L3.1> and <f100r.L3.2b>, we have assumed that the word above and between them is associated with the container. Between plants <f100r>[3,1] and <f100r>[3,2], at top. Kluge's 27A.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
6	1	f68r1	f68	f68r1.21	f68r1:S1	REL_EXPLICIT_ATTACHMENT	UNHEDGED	Label on star at 09:00 - nearest to center. Seven points, no core.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
7	11	f88r	f88	f88r.6	f88r:L1	PROXIMITY_ONLY	UNHEDGED	plant <f88r>[1,5] - light coloured roots, dark leaf East of plant <f88r>[1,5], West of its leaf.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
8	5	f82v	f82	f82v.44	f82v:N3	REL_EXPLICIT_ATTACHMENT	HEDGED	Label next to nymph 3 (in barrel). This label may be attached to the East end of the upper channel.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
9	29	f68r2	f68	f68r2.24	f68r2:S1	REL_EXPLICIT_ATTACHMENT	HEDGED	Label on star at 05:30, distance 0.2. Seven points, no core. Label seems to have been retraced in darker ink.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
10	42	f99v	f99	f99v.19	f99v:L2	PROXIMITY_ONLY	HEDGED	plant <f99v>[2,5] - beet?, light Between plants <f99v>[2,5] and <f99v>[2,6], at top.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
11	1	f68r1	f68	f68r1.16	f68r1:S1	REL_EXPLICIT_ATTACHMENT	UNHEDGED	Label on star at 10:30 - near center. Seven points, no core.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
12	29	f68r2	f68	f68r2.8	f68r2:S1	REL_EXPLICIT_ATTACHMENT	UNHEDGED	There is an un-named star at 00:45, distance 0.8. Seven points, no core, fully painted minus 2 rays. Label on star at 10:30, distance 0.8. Seven points, blank core.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
13	27	f67r2	f67	f67r2.24	f67r2:Q1	PROXIMITY_ONLY	UNHEDGED	Sector at 00:30, line 2. Grove's T5.2. The gallows has half of a hook at the end of the horz arm, so it is halfway between @f and @z.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
14	7	f75v	f75	f75v.50	f75v:N2	REL_ARRAY_OR_GROUP	HEDGED	"""In some transcriptions, including the EVMT files, these labels were entered as part of lines <f75v.P3.24> through <f75v.P3.32>. These labels are delimited by a narrow channel on the left and separated by nymph heads """"<!hd>"""" intruding from the pond below. Units <f75v.N2>, <f75v.N3>, and <f75v.P4> may constitute a sigle logical group of labels. Line 1, label 1. May be words 1 and 2 of <f75v.P3.24>. May be two separate labels."""	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
15	2	f99r	f99	f99r.27	f99r:L2	PROXIMITY_ONLY	UNHEDGED	plant <f99r>[2,7] - light, large bulb Above plant <f99r>[2,7], between stem and root tip.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
16	21	f82v	f82	f82v.47	f82v:X2	PROXIMITY_ONLY	UNHEDGED	Label between the two curved channels.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
17	19	f99r	f99	f99r.7	f99r:L1	PROXIMITY_ONLY	UNHEDGED	West of plant <f99r>[1,5], stem level, line 2. EVMT's <e99r.L6>, word 2.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
18	31	f83r	f83	f83r.45	f83r:N1	REL_EXPLICIT_ATTACHMENT	HEDGED	Label near leftmost nymph. This label may be attached to the left end of the tube between the nymphs.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
19	1	f68r1	f68	f68r1.25	f68r1:S1	REL_EXPLICIT_ATTACHMENT	UNHEDGED	Label on star at 03:00 - next to border. Eight points, blank core.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
20	42	f99v	f99	f99v.18	f99v:L2	PROXIMITY_ONLY	UNHEDGED	plant <f99v>[2,4] - light Between plants <f99v>[2,4] and <f99v>[2,5], at top.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
21	32	f88v	f88	f88v.5	f88v:L1	PROXIMITY_ONLY	UNHEDGED	plant <f88v>[1,4] - 2 dark roots, dark leaves. East of plant <f88v>[1,4]. Kluge's 16A.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
22	3	f89r2	f89	f89r2.4	f89r2:L1	PROXIMITY_ONLY	UNHEDGED	plant <f89r2>[1,3] large, light roots, dark leaves East of plant <f89r2>[1,3], below leaves. Latham's t.4. Kluge's 35A in <f89v>. Grove's X.18.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
23	24	f99v	f99	f99v.7	f99v:L1	PROXIMITY_ONLY	UNHEDGED	plant <f99v>[1,5] - pitchfork root Between plants <f99v>[1,5] and <f99v>[1,6].	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
24	24	f99v	f99	f99v.3	f99v:L1	PROXIMITY_ONLY	UNHEDGED	plant <f99v>[1,1] - light Between plants <f99v>[1,1] and <f99v>[1,2], under stem of the latter. Label broken by stem of plant <f99v>[1,2].	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
25	28	f67v2	f67	f67v2.22	f67v2:M1	REL_ENCLOSURE	UNHEDGED	Label inside Southeast circle.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
26	21	f82v	f82	f82v.45	f82v:X2	REL_EXPLICIT_ATTACHMENT	UNHEDGED	"""Label on pool with """"waterfall"""", East of nymphs."""	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
27	29	f68r2	f68	f68r2.12	f68r2:S1	REL_EXPLICIT_ATTACHMENT	UNHEDGED	Unnnamed star at 10:15, distance 0.6. Six points, no core. Label on star at 10:00, distance 0.6. Seven points, dot core or no core.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
28	38	f89r2	f89	f89r2.34	f89r2:L4	PROXIMITY_ONLY	UNHEDGED	West of plant <f89r2>[4,4], below leaf. Latham's b.5. Kluge's 49A in <f89v>. Grove's X.16.	EXISTING_HUMAN_ANNOTATION	transcription/sources/Stolfi_text25e1-52.evt	STOLFI_EXACT_HUMAN_ATLAS	SEALED
