locus	page	section	currier	source_lattice_paths	selected_source	literal_decoded	normalized_plaintext_or_record	confidence	alternative_analysis	uncertainty_reason
f100r.1	f100r	P	A	f100r.1|P01	chosaroshol	OP_01:VALUE_1597:STATE_03	OP_01:VALUE_1597:STATE_03	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.10	f100r	P	A	f100r.10|P01	dakocth	OP_04:VALUE_1598:STATE_05	OP_04:VALUE_1598:STATE_05	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.11	f100r	P	A	f100r.11|P01|f100r.11|P02|f100r.11|P03	sofal	OP_03:VALUE_0349:STATE_03	OP_03:VALUE_0349:STATE_03	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.12	f100r	P	A	f100r.12|P01|f100r.12|P02|f100r.12|P03	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	OP_08:VALUE_0013:STATE_03 OP_03:VALUE_0027:STATE_08 OP_02:VALUE_1599:STATE_01 OP_03:VALUE_0840:STATE_03 OP_01:VALUE_1600:STATE_05 OP_01:VALUE_0019:STATE_05 OP_02:VALUE_0087:STATE_06 OP_03:VALUE_0037:STATE_01 OP_01:VALUE_1601:STATE_05 OP_01:VALUE_0025:STATE_05	OP_08:VALUE_0013:STATE_03 OP_03:VALUE_0027:STATE_08 OP_02:VALUE_1599:STATE_01 OP_03:VALUE_0840:STATE_03 OP_01:VALUE_1600:STATE_05 OP_01:VALUE_0019:STATE_05 OP_02:VALUE_0087:STATE_06 OP_03:VALUE_0037:STATE_01 OP_01:VALUE_1601:STATE_05 OP_01:VALUE_0025:STATE_05	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.13	f100r	P	A	f100r.13|P01|f100r.13|P02|f100r.13|P03	dsheor cthey qokeey oteey ykeeodain sorary daiin daiin deeamshol	OP_04:VALUE_0166:STATE_04 OP_01:VALUE_0101:STATE_01 OP_02:VALUE_0009:STATE_01 OP_01:VALUE_0031:STATE_01 OP_01:VALUE_1602:STATE_02 OP_03:VALUE_0700:STATE_01 OP_04:VALUE_0003:STATE_02 OP_04:VALUE_0003:STATE_02 OP_04:VALUE_1603:STATE_03	OP_04:VALUE_0166:STATE_04 OP_01:VALUE_0101:STATE_01 OP_02:VALUE_0009:STATE_01 OP_01:VALUE_0031:STATE_01 OP_01:VALUE_1602:STATE_02 OP_03:VALUE_0700:STATE_01 OP_04:VALUE_0003:STATE_02 OP_04:VALUE_0003:STATE_02 OP_04:VALUE_1603:STATE_03	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.14	f100r	P	A	f100r.14|P01|f100r.14|P02|f100r.14|P03	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	OP_03:VALUE_0016:STATE_04 OP_01:VALUE_0309:STATE_01 OP_02:VALUE_0031:STATE_01 OP_02:VALUE_0078:STATE_01 OP_02:VALUE_0528:STATE_08 OP_02:VALUE_0028:STATE_03 OP_03:VALUE_0001:STATE_05 OP_09:VALUE_0003:STATE_02 OP_01:VALUE_0012:STATE_03 OP_01:VALUE_0841:STATE_05	OP_03:VALUE_0016:STATE_04 OP_01:VALUE_0309:STATE_01 OP_02:VALUE_0031:STATE_01 OP_02:VALUE_0078:STATE_01 OP_02:VALUE_0528:STATE_08 OP_02:VALUE_0028:STATE_03 OP_03:VALUE_0001:STATE_05 OP_09:VALUE_0003:STATE_02 OP_01:VALUE_0012:STATE_03 OP_01:VALUE_0841:STATE_05	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.15	f100r	P	A	f100r.15|P01|f100r.15|P02|f100r.15|P03	dcheor shol qokeeol chor chol qokeeody dareu	OP_04:VALUE_0013:STATE_04 OP_03:VALUE_0016:STATE_03 OP_02:VALUE_0055:STATE_03 OP_01:VALUE_0004:STATE_04 OP_01:VALUE_0004:STATE_03 OP_02:VALUE_0151:STATE_01 OP_04:VALUE_1604:STATE_05	OP_04:VALUE_0013:STATE_04 OP_03:VALUE_0016:STATE_03 OP_02:VALUE_0055:STATE_03 OP_01:VALUE_0004:STATE_04 OP_01:VALUE_0004:STATE_03 OP_02:VALUE_0151:STATE_01 OP_04:VALUE_1604:STATE_05	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.16	f100r	P	A	f100r.16|P01	okeeos	OP_01:VALUE_0055:STATE_06	OP_01:VALUE_0055:STATE_06	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.17	f100r	P	A	f100r.17|P01	shockhey	OP_03:VALUE_0842:STATE_01	OP_03:VALUE_0842:STATE_01	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
f100r.18	f100r	P	A	f100r.18|P01	orol	OP_01:VALUE_0139:STATE_03	OP_01:VALUE_0139:STATE_03	EXPLORATORY	other lattice path or mapping restart	whole-manuscript postselected candidate
