source_unit	latent_or_plaintext_unit	mapping_probability	context_restriction	occurrences	counterexamples
_	OP_01	1.0	OP	20320	none admitted; unknown inventory entries fail
q	OP_02	1.0	OP	5395	none admitted; unknown inventory entries fail
s	OP_03	1.0	OP	4297	none admitted; unknown inventory entries fail
d	OP_04	1.0	OP	3562	none admitted; unknown inventory entries fail
l	OP_05	1.0	OP	1296	none admitted; unknown inventory entries fail
k	OP_06	1.0	OP	1095	none admitted; unknown inventory entries fail
t	OP_07	1.0	OP	962	none admitted; unknown inventory entries fail
p	OP_08	1.0	OP	537	none admitted; unknown inventory entries fail
r	OP_09	1.0	OP	378	none admitted; unknown inventory entries fail
f	OP_10	1.0	OP	114	none admitted; unknown inventory entries fail
y	STATE_01	1.0	STATE	15077	none admitted; unknown inventory entries fail
n	STATE_02	1.0	STATE	6096	none admitted; unknown inventory entries fail
l	STATE_03	1.0	STATE	5727	none admitted; unknown inventory entries fail
r	STATE_04	1.0	STATE	5670	none admitted; unknown inventory entries fail
_	STATE_05	1.0	STATE	2592	none admitted; unknown inventory entries fail
s	STATE_06	1.0	STATE	1073	none admitted; unknown inventory entries fail
m	STATE_07	1.0	STATE	1058	none admitted; unknown inventory entries fail
d	STATE_08	1.0	STATE	585	none admitted; unknown inventory entries fail
g	STATE_09	1.0	STATE	78	none admitted; unknown inventory entries fail
o	VALUE_0001	1.0	VALUE	1945	none admitted; unknown inventory entries fail
a	VALUE_0002	1.0	VALUE	1758	none admitted; unknown inventory entries fail
aii	VALUE_0003	1.0	VALUE	1723	none admitted; unknown inventory entries fail
cho	VALUE_0004	1.0	VALUE	961	none admitted; unknown inventory entries fail
ched	VALUE_0005	1.0	VALUE	760	none admitted; unknown inventory entries fail
ai	VALUE_0006	1.0	VALUE	737	none admitted; unknown inventory entries fail
oka	VALUE_0007	1.0	VALUE	733	none admitted; unknown inventory entries fail
che	VALUE_0008	1.0	VALUE	548	none admitted; unknown inventory entries fail
okee	VALUE_0009	1.0	VALUE	545	none admitted; unknown inventory entries fail
okaii	VALUE_0010	1.0	VALUE	504	none admitted; unknown inventory entries fail
y	VALUE_0011	1.0	VALUE	489	none admitted; unknown inventory entries fail
ota	VALUE_0012	1.0	VALUE	485	none admitted; unknown inventory entries fail
cheo	VALUE_0013	1.0	VALUE	477	none admitted; unknown inventory entries fail
okai	VALUE_0014	1.0	VALUE	467	none admitted; unknown inventory entries fail
