locus	selected_path_id	source	segmentation	rule
f100r.1	f100r.1|P01	chosaroshol	chosaroshol	optional one-character prefix + nonempty core + optional one-character suffix
f100r.10	f100r.10|P01	dakocth	dakocth	optional one-character prefix + nonempty core + optional one-character suffix
f100r.11	f100r.11|P02	sofal	sofal	optional one-character prefix + nonempty core + optional one-character suffix
f100r.12	f100r.12|P02	pcheol sheod qocpheeckhy shodol cthdaoto ch qeos sheey chcthso s	pcheol | sheod | qocpheeckhy | shodol | cthdaoto | ch | qeos | sheey | chcthso | s	optional one-character prefix + nonempty core + optional one-character suffix
f100r.13	f100r.13|P02	dsheor cthey qokeey oteey ykeeodain sorary daiin daiin deeamshol	dsheor | cthey | qokeey | oteey | ykeeodain | sorary | daiin | daiin | deeamshol	optional one-character prefix + nonempty core + optional one-character suffix
f100r.14	f100r.14|P02	shor chkeey qoteey qokeody qoteold qokeol so raiin otal ykecho	shor | chkeey | qoteey | qokeody | qoteold | qokeol | so | raiin | otal | ykecho	optional one-character prefix + nonempty core + optional one-character suffix
f100r.15	f100r.15|P01	dcheor shol qokeeol chor chol qokeeody dareu	dcheor | shol | qokeeol | chor | chol | qokeeody | dareu	optional one-character prefix + nonempty core + optional one-character suffix
f100r.16	f100r.16|P01	okeeos	okeeos	optional one-character prefix + nonempty core + optional one-character suffix
f100r.17	f100r.17|P01	shockhey	shockhey	optional one-character prefix + nonempty core + optional one-character suffix
f100r.18	f100r.18|P01	orol	orol	optional one-character prefix + nonempty core + optional one-character suffix
f100r.19	f100r.19|P01	olcheom	olcheom	optional one-character prefix + nonempty core + optional one-character suffix
f100r.2	f100r.2|P01	sochorcfhy	sochorcfhy	optional one-character prefix + nonempty core + optional one-character suffix
f100r.20	f100r.20|P01	oteol	oteol	optional one-character prefix + nonempty core + optional one-character suffix
f100r.21	f100r.21|P02	otols	otols	optional one-character prefix + nonempty core + optional one-character suffix
f100r.22	f100r.22|P01	folshody choldaiin fchod ycheol cphol qotees shey aseso alcfhy	folshody | choldaiin | fchod | ycheol | cphol | qotees | shey | aseso | alcfhy	optional one-character prefix + nonempty core + optional one-character suffix
f100r.23	f100r.23|P02	soiin chol cphol shol shol qockhol chor chol sho keey cckhhy ykeeam	soiin | chol | cphol | shol | shol | qockhol | chor | chol | sho | keey | cckhhy | ykeeam	optional one-character prefix + nonempty core + optional one-character suffix
f100r.24	f100r.24|P03	saiichor sheor qockhody odeor yksheey cholsheody sai cheol saiin	saiichor | sheor | qockhody | odeor | yksheey | cholsheody | sai | cheol | saiin	optional one-character prefix + nonempty core + optional one-character suffix
f100r.25	f100r.25|P01	sheor qkeeody chol daiin ctheol olcheol cheky cheol cheockhy okeol	sheor | qkeeody | chol | daiin | ctheol | olcheol | cheky | cheol | cheockhy | okeol	optional one-character prefix + nonempty core + optional one-character suffix
f100r.26	f100r.26|P01	yaiin chekeey chol cholody chos olchor qokeol okeeol cheols al	yaiin | chekeey | chol | cholody | chos | olchor | qokeol | okeeol | cheols | al	optional one-character prefix + nonempty core + optional one-character suffix
f100r.27	f100r.27|P01	chol cheol cho chckheody otolchey	chol | cheol | cho | chckheody | otolchey	optional one-character prefix + nonempty core + optional one-character suffix
f100r.3	f100r.3|P01	otear	otear	optional one-character prefix + nonempty core + optional one-character suffix
f100r.4	f100r.4|P02	chofary	chofary	optional one-character prefix + nonempty core + optional one-character suffix
