position_id	source_reading_id	expected_page	expected_locus	expected_token_ordinal	expected_surface	expected_old_context_de	v98_context_realization_de	expected_clause_type	expected_action_license	expected_left_surface	expected_right_surface	context_mode	local_evidence_de
P001	oror#1	f102v2	f102v2.3	1	oror	zwei Portionen	zwei Portionen	NOMINAL_BLOCK	NOT_ACTION_LICENSED	<BOS>	<EOS>	UNCHANGED_MULTI_POSITION_QUANTITY	Einzelposten; keine Stoffidentität ergänzen.
P013	yey#1	f105r	f105r.2	2	yey	hieran anschließend	anschließend:	NOMINAL_BLOCK	NOT_ACTION_LICENSED	dshees	cheey	STRUCTURAL_LINK_RENDER	Verknüpft die vorstehende feuchte Endform als Scharnier mit dem folgenden Trockenstatus.
P025	kodeey#1	f105r	f105r.31	1	kodeey	vollständig erhitzte und abgeschlossene Zubereitungsdosis	vollständig erhitzte und abgeschlossene Zubereitungsdosis	NOMINAL_BLOCK	NOT_ACTION_LICENSED	<BOS>	lchl	LOCAL_PRODUCT_HEAD	Zubereitung bleibt als lokaler Dosis-Kopf vor getrocknetem Holz erhalten.
P029	aiijy#1	f105r	f105r.31	5	aiijy	in drei Bündel abfüllen und schließen	den vorstehenden Anteil in drei Bündel abfüllen und schließen	ACTION_CLAUSE	GDT689_V62_ACTION_ORDINAL	ar	cpheesy	LOCAL_PATIENT_BINDING	Der sichtbare linke ar-Posten liefert den Patienten genau einmal.
P030	cpheesy#1	f105r	f105r.31	6	cpheesy	vollständig bereitetes und abgeschlossenes Arzneikompositum	vollständig bereitetes und abgeschlossenes Arzneikompositum	NOMINAL_BLOCK	NOT_ACTION_LICENSED	aiijy	okal	LOCAL_PRODUCT_HEAD	Arznei bleibt nur im lokalen Kompositionsregister.
P053	tail#1	f105v	f105v.14	7	tail	kaltgestellte Rohdroge II	kaltgestellte Rohdroge II	NOMINAL_BLOCK	NOT_ACTION_LICENSED	aiiin	odar	LOCAL_PRODUCT_HEAD	Rohdroge bleibt lokal zwischen Menge IV und dem folgenden Abmessschritt.
P096	otytchol#1	f10r	f10r.2	7	otytchol	nachgekühlter Trockenstoff im Ansatz	nachgekühlter Trockenstoff im Ansatz	NOMINAL_BLOCK	NOT_ACTION_LICENSED	chair	oky	LOCAL_PREPARATION_FRAME	Ansatz bleibt nur der lokale Rahmen zwischen Trockenanteil und heißem Anfangsansatz.
P109	oror#1	f112v	f112v.10	4	oror	zwei Portionen	zwei Portionen	NOMINAL_BLOCK	NOT_ACTION_LICENSED	okchedy	<EOS>	UNCHANGED_MULTI_POSITION_QUANTITY	Die Zweiermenge folgt einem heiß-trockenen Mittelstufenergebnis.
P114	oror#1	f113v	f113v.12	5	oror	zwei Portionen	zwei Portionen	NOMINAL_BLOCK	NOT_ACTION_LICENSED	olchey	<EOS>	UNCHANGED_MULTI_POSITION_QUANTITY	Die Zweiermenge folgt einem getrockneten Holzansatz.
P132	chpcheey#1	f114r	f114r.24	4	chpcheey	nachgetrocknetes Pulver, Form II	nachgetrocknetes Pulver, Form II	NOMINAL_BLOCK	NOT_ACTION_LICENSED	chor	chcphey	UNCHANGED_POWDER_RESULT	Nominales Pulverresultat zwischen Pflanzenteil und fertigem Kompositum.
