source_reading_id	surface	expected_old_core_de	v98_dictionary_default_de	v98_context_summary_de	value_kind	structural_tag	decision	origin_gdt	origin_artifact	origin_selector	origin_composition	origin_support_de	action_default_allowed	exact_whole_surface_default_allowed	component_global_export_allowed	evidence_de	counterevidence_de	strongest_rival_de	open_semantic_slots	lineage_class
aiijy#1	aiijy	in drei Bündel abfüllen und schließen	in drei Bündel abfüllen und schließen	den vorstehenden Anteil in drei Bündel abfüllen und schließen	ACTION_WHOLE	NONE	RETAIN	GDT681	experiments/yolo/gdt681_six_five_hole_family_completion/src/TARGET_CARD_SPECS.tsv	surface=aiijy	AIII_TRIPLE+AJY_FILL_BUNDLE_CLOSE	1 exakte Aktion auf 1 Seite; die Ganzkarte selbst trägt Dreizahl, Abfüllen und Schließen	1	1	0	GDT681 lizenziert die exakte Ganzform als Mengenaktion; der sichtbare linke ar-Posten liefert den lokalen Patienten.	Singleton; IT2a aiidy erlaubt drei Teile abteilen und fertigstellen; keine freie AIII- oder AJY-Regel.	drei Teile abteilen und fertigstellen	genaue historische Gebindeart; Patient außerhalb des lokalen Kontexts	LEARNED_EXACT_QUANTITY_ACTION_WHOLE
chpcheey#1	chpcheey	nachgetrocknetes Pulver, Form II	nachgetrocknetes Pulver, Form II	nachgetrocknetes Pulver, Form II	MATERIAL_STATE_WHOLE	NONE	RETAIN	GDT681	experiments/yolo/gdt681_six_five_hole_family_completion/src/TARGET_CARD_SPECS.tsv	surface=chpcheey	CH_DRY+PCHEEY_DRY_POWDER_FORM_II	1 exakter nominaler Beleg; ZL3b und RF1b erhalten die Ganzform	0	1	0	Pulveridentität, erneute Trocknung und opake Form II bleiben am exakten Ganzwort gemeinsam sichtbar.	Singleton; IT2a chpeeeey kann längere Trockendauer anzeigen; keine freie CHP- oder EY-Bedeutung.	sehr lange getrocknetes Pulver	Bedeutung von Form II; genaue Trockendauer	EXACT_POWDER_STATE_WHOLE
cpheesy#1	cpheesy	vollständig bereitetes und abgeschlossenes Arzneikompositum	vollständig bereitetes und abgeschlossenes Kompositum	vollständig bereitetes und abgeschlossenes Arzneikompositum	MATERIAL_RESULT_WHOLE	NONE	REVISE	GDT681	experiments/yolo/gdt681_six_five_hole_family_completion/src/TARGET_CARD_SPECS.tsv	surface=cpheesy	CPH_COMPOSITE+EESY_COMPLETE_CLOSE	1 bilateraler nominaler Beleg im Kompositionsregister	0	1	0	GDT681 trägt Kompositum plus vollständigen Abschluss; Arznei stammt nur aus dem lokalen Register und wird aus dem Wörterbuchkern entfernt.	Singleton; internes S kann eine Samenkomposition wählen; kein produktiver CPH- oder EESY-Export.	vollständig bereitete Samenkomposition	genaue Bestandteile und medizinische Verwendung	BOUND_COMPOSITE_RESULT_CORE
da#1	da	eine Teilmenge abmessen	eine Teilmenge abmessen	vom vorstehenden heißen Material eine Teilmenge abmessen	ACTION_WHOLE	NONE	RETAIN	GDT680	experiments/yolo/gdt680_eight_four_hole_family_completion/artifacts/TARGET_FAMILY_CARDS.tsv	surface=da	D_MEASURE+A_UNIT_I	11 Quellkontexte auf 11 Seiten; 5 bilateral exakt und 6 leserinstabil, alle mit Teilungs- oder Dosisfunktion	1	1	0	Die wiederholte exakte Kurzkarte trägt Abmessen plus Teilmenge; nur der heiße Patient wird lokal ergänzt.	Einige Quellstellen können Dosisetiketten statt Imperative sein; keine freie D- oder A-Zerlegung.	Teilmenge oder Dosisetikett ohne Imperativ	Patient; historische Einheit; Imperativ gegen Etikett	READER_CONDITIONED_MEASURE_ACTION_WHOLE
dy#1	dy	.	[STRUKTUR: SATZSCHLUSS]	.	STRUCTURAL_MARK	LINE_STOP	REVISE	GDT687	experiments/yolo/gdt687_v60_dchey_y_dy_action_result_boundary_dispatch/artifacts/V60_95_POSITION_SCOPE_DISPATCH.tsv	POSITION_ROWS	FREE_DY	1 exakte freie dy-Endposition nach einem Wertblock	0	0	0	GDT687 weist diese Lesart lokal als Zeilenschluss ohne Aktionslizenz aus; der Punkt bleibt Renderer, der Wörterbuchwert wird als Strukturmarke benannt.	Gesprochener Schließbefehl bleibt ein Rivale; gebundenes dy ist nicht dieselbe Lesart.	gesprochener Schließbefehl	lautliche Realisierung; historische Interpunktion	POSITION_DISPATCHED_STRUCTURAL_MARK
dy#2	dy	;	[STRUKTUR: ARBEITSSCHRITT-TRENNER]	;	STRUCTURAL_MARK	CLAUSE_STOP	REVISE	GDT687	experiments/yolo/gdt687_v60_dchey_y_dy_action_result_boundary_dispatch/artifacts/V60_95_POSITION_SCOPE_DISPATCH.tsv	POSITION_ROWS	FREE_DY	2 exakte freie dy-Binnenpositionen auf 2 Seiten	0	0	0	Beide Stellen trennen abgeschlossene Arbeitsblöcke und tragen keine eigene Aktion; Semikolon ist der lokale Renderer.	Gesprochener Schließbefehl bleibt ein Rivale; nicht mit dy#1 oder gebundenem dy verschmelzen.	gesprochener Schließbefehl	lautliche Realisierung; genaue Grenzstärke	POSITION_DISPATCHED_STRUCTURAL_MARK
kodeey#1	kodeey	vollständig erhitzte und abgeschlossene Zubereitungsdosis	vollständig erhitzte und abgeschlossene Dosis	vollständig erhitzte und abgeschlossene Zubereitungsdosis	QUANTITY_STATE_WHOLE	NONE	REVISE	GDT681	experiments/yolo/gdt681_six_five_hole_family_completion/src/TARGET_CARD_SPECS.tsv	surface=kodeey	K_HOT+O_PREP+D_MEASURE+EE_END+Y_CLOSE	1 exakter ZL3b- und IT2a-Beleg; Dosis und Abschluss bleiben auch im RF1b-Kälterivalen	0	1	0	Hitze, Dosis und Abschluss sind im exakten Ganzwort gebunden; der Produktkopf Zubereitung wird nur lokal beibehalten.	Singleton; RF1b todeey kehrt den Wärmekopf um; keine produktive K/T-Polarität.	vollständig gekühlte und abgeschlossene Dosis	Patient; genaue Einheit; thermische Leserpolarität	READER_RIVAL_DOSE_RESULT_CORE
oror#1	oror	zwei Portionen	zwei Portionen	zwei Portionen	QUANTITY_WHOLE	NONE	RETAIN	GDT675	experiments/yolo/gdt675_f81r_card_occurrence_conflict_scan/artifacts/CARD_PANEL_TRANSFER_PROFILE.tsv	surface=oror	OR_PORTION+OR_PORTION	3 aktive Fundstellen auf 3 Seiten plus 1 Quellstelle	0	1	0	Drei voneinander getrennte aktuelle Kontexte tragen dieselbe Zweier-Portionslesung; stärkste echte Mehrstelleninvarianz dieser Runde.	Historische Einheit und Materialkopf fehlen; eine doppelte Portion bleibt als gleichwertige Formulierung möglich.	eine doppelte Portion	historische Einheit; jeweiliger Stoffbezug	EXACT_REPEATED_QUANTITY_WHOLE
otytchol#1	otytchol	nachgekühlter Trockenstoff im Ansatz	nachgekühlter Trockenstoff	nachgekühlter Trockenstoff im Ansatz	MATERIAL_STATE_WHOLE	NONE	REVISE	GDT680	experiments/yolo/gdt680_eight_four_hole_family_completion/artifacts/TARGET_FAMILY_CARDS.tsv	surface=otytchol	O_PREP+TY_COLD_START+T_COLD+CH_DRY+OL_MATERIAL	1 exakter nominaler Kalt-Trocken-Kontext	0	1	0	Nachkühlung und Trockenstoff bilden den kleinsten gemeinsamen Ganzwortkern; Ansatz ist nur der lokale Rahmen.	Singleton; kalter Ansatz aus Trockenstoff auf Anfangsstufe bleibt möglich; innere T/Y/T-Grenze offen.	kalter Ansatz aus Trockenstoff, Anfangsstufe	genauer Stoff; Anfangsstufe; innere Segmentierung	BOUND_COLD_DRY_MATERIAL_CORE
qy#1	qy	hiervon nehmen	hiervon nehmen	hiervon nehmen	ACTION_WHOLE	NONE	RETAIN	GDT678	experiments/yolo/gdt678_seventeen_two_hole_family_completion/artifacts/TARGET_FAMILY_CARDS.tsv	surface=qy	Q_COMMAND+Y_REFERENCE	4 Quellkontexte auf 4 Seiten tragen dieselbe kurze Entnahme- oder Referenzaktion	1	1	0	GDT678 bindet die TAKE-Funktion an die exakte Kurzkarte über vier Kontexte; keine zusätzliche Objektidentität wird eingetragen.	Drei Stellen haben Leser-Rivalen; hierzu oder anschließend bleibt möglich; keine freie q- oder y-Regel.	hierzu oder anschließend	Bezugsziel; Objekt; Leserentscheidung	READER_CONDITIONED_REFERENCE_ACTION_WHOLE
