macro_id	component_pattern	atomic_length	workshop_phrase_de	teaching_function	uses_in_2010_prose_events	keep_rule
M01	OK+EE+DY	3	länger ansetzen; fertig	graded operation	46	KEEP
M02	OK+E+DY	3	kurz ansetzen; fertig	graded operation	44	KEEP
M03	OK+EE+Y	3	dies länger ansetzen	graded operation	27	KEEP
M04	OK+E+Y	3	dies kurz ansetzen	graded operation	13	KEEP
M05	SH+EE+DY	3	länger halten; fertig	graded hold	8	KEEP
M06	SH+E+DY	3	kurz halten; fertig	graded hold	18	KEEP
M07	SH+EE+Y	3	dies länger halten	graded hold	18	KEEP
M08	SH+E+Y	3	dies kurz halten	graded hold	31	KEEP
M09	OT+EE+DY	3	danach länger; fertig	ordered grade	9	KEEP
M10	OT+E+DY	3	danach kurz; fertig	ordered grade	13	KEEP
M11	SHED+DY	2	ruhen lassen; fertig	rest endpoint	48	KEEP
M12	L+CHD+DY	3	abführen und umsetzen; fertig	transfer endpoint	20	KEEP
M13	OL+CHD+DY	3	weiter umsetzen; fertig	continuation endpoint	8	KEEP
M14	OK+CHD+DY	3	ansetzen und umsetzen; fertig	operation endpoint	7	KEEP
M15	P+CHD+DY	3	einsetzen und umsetzen; fertig	entry endpoint	5	KEEP
M16	LSH+E+DY	3	kurz spülen; fertig	wash endpoint	6	KEEP
M17	CHD+Y	2	dies umsetzen	referential transfer	82	KEEP
M18	CKH+Y	2	dies durch den Durchlass	path phrase	30	KEEP
M19	CHEO+L	2	den Auszug weiterleiten	content transfer	16	KEEP
M20	D_ADDR+AR	2	aus diesem Teil entnehmen	source phrase	24	KEEP
M21	OK+AIIN	2	nach Sollmaß ansetzen	measured operation	27	KEEP
M22	OK+AIN	2	eine Portion ansetzen	portioned operation	37	KEEP
M23	OK+AL	2	an der Zielstelle ansetzen	targeted operation	26	KEEP
M24	OK+AR	2	von der Entnahmestelle ansetzen	sourced operation	19	KEEP
M25	OL+DY	2	fortsetzen; fertig	continuation endpoint	16	KEEP
M26	OL+Y	2	mit diesem fortsetzen	referential continuation	17	KEEP
M27	OT+Y	2	danach diesen Posten	ordered referent	25	KEEP
M28	S+AIIN	2	das Sollmaß prüfen	measurement check	9	KEEP
M29	S+AIN	2	die Portion prüfen	portion check	11	KEEP
M30	S+AR	2	die Entnahmestelle prüfen	source check	12	KEEP
M31	CH+OR	2	vom Ansatz entnehmen	content selection	29	KEEP
M32	CTH+Y	2	die Bereitschaft dieses Postens prüfen	state check	23	KEEP
M33	CHK+E+Y	3	dies kurz behandeln	graded treatment	6	KEEP
M34	CHK+EE+Y	3	dies länger behandeln	graded treatment	5	KEEP
M35	SOLK+EE+Y	3	dies länger an der Sammelstelle halten	station hold	5	KEEP
M36	OK+OL	2	den Gang beginnen und fortsetzen	operation continuation	15	KEEP
M37	OT+OR	2	danach mit dem Ansatz	ordered content	8	KEEP
M38	D_ADDR+OL	2	in diesem Teil fortsetzen	local continuation	12	KEEP
M39	O+P+Y	3	dies in den Arbeitsgang einsetzen	work entry	5	KEEP
M40	K+AIIN	2	nach Sollmaß zuordnen	measured assignment	8	KEEP
M41	K+AIN	2	eine Portion zuordnen	portioned assignment	12	KEEP
M42	K+AL	2	der Zielstelle zuordnen	target assignment	5	KEEP
M43	SH+OR	2	den Ansatz halten	content hold	9	KEEP
M44	OL+OR	2	mit dem Ansatz fortsetzen	content continuation	4	KEEP_TENTATIVE
