card_no	surfaces	semantic_component_parse	standard_command_de	c3_occurrences	c4_occurrences	status
PROC003	char|dar|sar	AR	VORRAT	1	0	C3_ONLY
PROC004	chety|chty	T+Y	EINTRAGEN · ARBEITSPOSTEN	1	0	C3_ONLY
PROC008	choky|oky|qoky	OK+Y	ANSETZEN · ARBEITSPOSTEN	3	1	SHARED
PROC009	aiin|chaiin|daiin|saiin|taiin	AIIN	SOLLMASS	4	5	SHARED
PROC013	cheol|chol|ol|qol|sol|tol	OL	FORTSETZEN	1	2	SHARED
PROC014	checthy|cthy|shcthy	CTH+Y	BEREIT · ARBEITSPOSTEN	5	0	C3_ONLY
PROC016	chor|or|shor|sor	OR	ANSATZ	1	2	SHARED
PROC019	chey|chy|dy|shy|sy|y	Y	ARBEITSPOSTEN	7	2	SHARED
PROC026	tshol	T+SH+OL	EINTRAGEN · HALTEN · FORTSETZEN	1	0	C3_ONLY
PROC027	schoal	SH+O+AL	HALTEN · ARBEITSGANG · ZIELSTELLE	1	0	C3_ONLY
PROC028	cfhy	CFH+Y	AUSWRINGEN · ARBEITSPOSTEN	1	0	C3_ONLY
PROC029	shfydaiin	SH+Y+AIIN	HALTEN · ARBEITSPOSTEN · SOLLMASS	1	0	C3_ONLY
PROC030	cphy	P+Y	EINFUELLEN · ARBEITSPOSTEN	1	0	C3_ONLY
PROC031	cheey|shey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	1	1	SHARED
PROC032	tchody	T+CH+O+DY	EINTRAGEN · ABNEHMEN · ARBEITSGANG; SCHLUSS	1	0	C3_ONLY
PROC033	shoyty	SH+O+Y+T+Y	ARBEITSPOSTEN HALTEN · IM ARBEITSGANG EINTRAGEN · ARBEITSPOSTEN	1	0	C3_ONLY
PROC034	dchol|schol	RESUME_CARD	WIEDERAUFNEHMEN	1	0	C3_ONLY
PROC035	kchy	K+Y	ZUDOSIEREN · ARBEITSPOSTEN	1	0	C3_ONLY
PROC036	qotchy	OT+Y	DANACH · ARBEITSPOSTEN	1	0	C3_ONLY
PROC037	okchol	OK+OL	ANSETZEN · FORTSETZEN	1	0	C3_ONLY
PROC038	okaiin|qokaiin	OK+AIIN	ANSETZEN · SOLLMASS	4	1	SHARED
PROC039	ykain	Y+K+AIN	ARBEITSPOSTEN · ZUDOSIEREN · PORTION	0	1	C4_ONLY
PROC040	ykan	Y+K+AN	ARBEITSPOSTEN · ZUDOSIEREN · NACHPORTION	0	1	C4_ONLY
PROC041	ody	O+DY	ARBEITSGANG; SCHLUSS	0	1	C4_ONLY
PROC042	chdy|chedy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	4	4	SHARED
PROC043	talam	TALAM	VERWAHREN	0	1	C4_ONLY
PROC044	ykaiin	Y+K+AIIN	ARBEITSPOSTEN · ZUDOSIEREN · SOLLMASS	0	1	C4_ONLY
PROC045	cheoar	CH+E+O+AR	ABNEHMEN · KURZ · ARBEITSGANG · VORRAT	0	1	C4_ONLY
PROC046	cheeky	CHK+EE+Y	WAERMEN · LANG · ARBEITSPOSTEN	0	2	C4_ONLY
PROC047	oldy	OL+DY	FORTSETZEN; SCHLUSS	0	2	C4_ONLY
PROC048	okal|qokal	OK+AL	ANSETZEN · ZIELSTELLE	1	1	SHARED
PROC049	oltchy	OL+T+Y	FORTSETZEN · EINTRAGEN · ARBEITSPOSTEN	0	1	C4_ONLY
PROC050	orain	OR+AIN	ANSATZ · PORTION	0	1	C4_ONLY
PROC055	al|chal|cheal|dal|sal|tal	AL	ZIELSTELLE	3	1	SHARED
PROC065	otchey	OT+Y	DANACH · ARBEITSPOSTEN	0	1	C4_ONLY
PROC067	qokedy	OK+E+DY	ANSETZEN · KURZ; SCHLUSS	3	2	SHARED
PROC069	chkain|kain	K+AIN	ZUDOSIEREN · PORTION	1	1	SHARED
PROC070	olkain|qolkain	OL+K+AIN	FORTSETZEN · ZUDOSIEREN · PORTION	0	1	C4_ONLY
PROC076	dchedy|schedy|tchedy	CHD+DY	UMSETZEN; SCHLUSS	2	0	C3_ONLY
PROC078	cheedy|shedy|tedy	SHED+DY	ABSETZEN; SCHLUSS	3	4	SHARED
PROC079	olchedy|qolchedy	OL+CHD+DY	FORTSETZEN · UMSETZEN; SCHLUSS	1	0	C3_ONLY
PROC080	okain|qokain	OK+AIN	ANSETZEN · PORTION	1	2	SHARED
PROC082	qokchdy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	1	0	C3_ONLY
PROC083	cheky	CHK+E+Y	WAERMEN · KURZ · ARBEITSPOSTEN	0	1	C4_ONLY
PROC091	okchedy|qokchedy	OK+CHD+DY	ANSETZEN · UMSETZEN; SCHLUSS	1	0	C3_ONLY
PROC092	okeey|qokeey	OK+EE+Y	ANSETZEN · LANG · ARBEITSPOSTEN	1	2	SHARED
PROC097	oiiin|soiiin	O+IIN	ARBEITSGANG · ARBEITSSTUFE	1	0	C3_ONLY
PROC098	olkeedy|solkeedy	SOLK+EE+DY	AUFFANGEN · LANG; SCHLUSS	2	0	C3_ONLY
PROC099	shckhedy	SH+CKH+E+DY	HALTEN · DURCHLASSKANAL · KURZ; SCHLUSS	0	2	C4_ONLY
PROC100	qokeedy	OK+EE+DY	ANSETZEN · LANG; SCHLUSS	3	2	SHARED
PROC108	ldy	L+DY	WEITERLEITEN; SCHLUSS	1	0	C3_ONLY
PROC112	otaiin|sotaiin	OT+AIIN	DANACH · SOLLMASS	2	0	C3_ONLY
PROC117	qcthey|shcthey	CTH+E+Y	BEREIT · KURZ · ARBEITSPOSTEN	1	0	C3_ONLY
PROC120	lchedy	L+CHD+DY	WEITERLEITEN · UMSETZEN; SCHLUSS	5	2	SHARED
PROC129	qoteedy	OT+EE+DY	DANACH · LANG; SCHLUSS	1	0	C3_ONLY
PROC131	otal|qotal	OT+AL	DANACH · ZIELSTELLE	2	1	SHARED
PROC132	chkeedy	CHK+EE+DY	WAERMEN · LANG; SCHLUSS	1	0	C3_ONLY
PROC133	chedchy	CHD+Y	UMSETZEN · ARBEITSPOSTEN	1	0	C3_ONLY
PROC134	pchedal	P+CHD+AL	EINFUELLEN · UMSETZEN · ZIELSTELLE	1	0	C3_ONLY
PROC135	otedy	OT+E+DY	DANACH · KURZ; SCHLUSS	2	0	C3_ONLY
PROC136	shecthedchy	SH+E+CTH+CHD+Y	HALTEN · KURZ · BIS BEREIT; UMSETZEN · ARBEITSPOSTEN	1	0	C3_ONLY
PROC137	chary	AR+Y	VORRAT · ARBEITSPOSTEN	1	0	C3_ONLY
PROC138	okair	OK+AIR	ANSETZEN · FLUESSIGKEITSLAUF	1	0	C3_ONLY
PROC139	sheedy	SH+EE+DY	HALTEN · LANG; SCHLUSS	1	0	C3_ONLY
PROC140	lo	L+O	WEITERLEITEN · ARBEITSGANG	1	0	C3_ONLY
PROC141	qokshedy	OK+SH+E+DY	ANSETZEN · HALTEN · KURZ; SCHLUSS	1	0	C3_ONLY
PROC142	shedal	SHED+AL	ABSETZEN · ZIELSTELLE	1	0	C3_ONLY
PROC143	shecthy	SH+E+CTH+Y	HALTEN · KURZ · BEREIT · ARBEITSPOSTEN	1	0	C3_ONLY
PROC144	dalchdy	AL+CHD+DY	ZIELSTELLE · UMSETZEN; SCHLUSS	1	0	C3_ONLY
PROC145	otchedy|qotchedy	OT+CHD+DY	DANACH · UMSETZEN; SCHLUSS	2	0	C3_ONLY
PROC146	cheedar	EE+AR	LANG · VORRAT	1	0	C3_ONLY
PROC147	chldaiin	L+AIIN	WEITERLEITEN · SOLLMASS	1	0	C3_ONLY
PROC148	chealror	AL+R+OR	ZIELSTELLE · KUEHLEN · ANSATZ	1	0	C3_ONLY
PROC149	cheeety	EEE+T+Y	VOLL · EINTRAGEN · ARBEITSPOSTEN	1	0	C3_ONLY
PROC150	schedair	CHD+AIR	UMSETZEN · FLUESSIGKEITSLAUF	1	0	C3_ONLY
PROC151	chedain	CHD+AIN	UMSETZEN · PORTION	1	0	C3_ONLY
PROC152	qotedaiin	OT+E+AIIN	DANACH · KURZ · SOLLMASS	1	0	C3_ONLY
PROC153	olsaly	OL+AL+Y	FORTSETZEN · ZIELSTELLE · ARBEITSPOSTEN	1	0	C3_ONLY
PROC154	qolchey	OL+Y	FORTSETZEN · ARBEITSPOSTEN	0	1	C4_ONLY
PROC155	qokylddy	OK+Y+LD+DY	ANSETZEN · ARBEITSPOSTEN · BEFESTIGEN; SCHLUSS	0	1	C4_ONLY
PROC156	dain	AIN	PORTION	0	1	C4_ONLY
PROC157	sheey	SH+EE+Y	HALTEN · LANG · ARBEITSPOSTEN	0	1	C4_ONLY
PROC158	okeeol	OK+EE+OL	ANSETZEN · LANG · FORTSETZEN	0	1	C4_ONLY
PROC159	lkedy	L+K+E+DY	WEITERLEITEN · ZUDOSIEREN · KURZ; SCHLUSS	0	1	C4_ONLY
PROC160	qokol	OK+OL	ANSETZEN · FORTSETZEN	0	1	C4_ONLY
PROC161	qockhey	O+CKH+E+Y	ARBEITSGANG · DURCHLASSKANAL · KURZ · ARBEITSPOSTEN	0	1	C4_ONLY
PROC162	dairydy	AIR+Y+DY	FLUESSIGKEITSLAUF · ARBEITSPOSTEN; SCHLUSS	0	1	C4_ONLY
PROC163	chckhal	CH+CKH+AL	ABNEHMEN · DURCHLASSKANAL · ZIELSTELLE	0	1	C4_ONLY
PROC164	solkey	SOLK+E+Y	AUFFANGEN · KURZ · ARBEITSPOSTEN	0	1	C4_ONLY
PROC165	skar	K+AR	ZUDOSIEREN · VORRAT	0	1	C4_ONLY
