component	sharp_word_de	c3_present	c4_present	status	interpretive_use
AIIN	SOLLMASS	YES	YES	SHARED	common workshop grammar
AIN	PORTION	YES	YES	SHARED	common workshop grammar
AIR	FLUESSIGKEITSLAUF	YES	YES	SHARED	common workshop grammar
AL	ZIELSTELLE	YES	YES	SHARED	common workshop grammar
AN	NACHPORTION	NO	YES	C4_ONLY	tempered-contact/poultice discriminator
AR	VORRAT	YES	YES	SHARED	common workshop grammar
CFH	AUSWRINGEN	YES	NO	C3_ONLY	flower-extract/station discriminator
CH	ABNEHMEN	YES	YES	SHARED	common workshop grammar
CHD	UMSETZEN	YES	YES	SHARED	common workshop grammar
CHK	WAERMEN	YES	YES	SHARED	common workshop grammar
CKH	DURCHLASSKANAL	NO	YES	C4_ONLY	tempered-contact/poultice discriminator
CTH	BEREIT	YES	NO	C3_ONLY	flower-extract/station discriminator
DY	SCHLUSS	YES	YES	SHARED	common workshop grammar
E	KURZ	YES	YES	SHARED	common workshop grammar
EE	LANG	YES	YES	SHARED	common workshop grammar
EEE	VOLL	YES	NO	C3_ONLY	flower-extract/station discriminator
IIN	ARBEITSSTUFE	YES	NO	C3_ONLY	flower-extract/station discriminator
K	ZUDOSIEREN	YES	YES	SHARED	common workshop grammar
L	WEITERLEITEN	YES	YES	SHARED	common workshop grammar
LD	BEFESTIGEN	NO	YES	C4_ONLY	tempered-contact/poultice discriminator
O	ARBEITSGANG	YES	YES	SHARED	common workshop grammar
OK	ANSETZEN	YES	YES	SHARED	common workshop grammar
OL	FORTSETZEN	YES	YES	SHARED	common workshop grammar
OR	ANSATZ	YES	YES	SHARED	common workshop grammar
OT	DANACH	YES	YES	SHARED	common workshop grammar
P	EINFUELLEN	YES	NO	C3_ONLY	flower-extract/station discriminator
R	KUEHLEN	YES	NO	C3_ONLY	flower-extract/station discriminator
RESUME_CARD	WIEDERAUFNEHMEN	YES	NO	C3_ONLY	flower-extract/station discriminator
SH	HALTEN	YES	YES	SHARED	common workshop grammar
SHED	ABSETZEN	YES	YES	SHARED	common workshop grammar
SOLK	AUFFANGEN	YES	YES	SHARED	common workshop grammar
T	EINTRAGEN	YES	YES	SHARED	common workshop grammar
TALAM	VERWAHREN	NO	YES	C4_ONLY	tempered-contact/poultice discriminator
Y	ARBEITSPOSTEN	YES	YES	SHARED	common workshop grammar
