visible_surface	master_card_id	canonical_form	source_short_value_de	imperative_clause_de	terminal_scope	exact_identity_recipe	reverse_rule_de
aiin	MC039	aiin	Sollmaß	Arbeite nach dem vorgeschriebenen Maß	NONCLOSE	AIIN[SUBTYPE=GENERAL_MEASURE]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
al	MC154	al	dorthin	Führe ihn dorthin	NONCLOSE	AL[SUBTYPE=TARGET_ADDRESS]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chaiin	MC039	aiin	Sollmaß	Arbeite nach dem vorgeschriebenen Maß	NONCLOSE	AIIN[SUBTYPE=GENERAL_MEASURE]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chal	MC154	al	dorthin	Führe ihn dorthin	NONCLOSE	AL[SUBTYPE=TARGET_ADDRESS]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
char	MC055	char	davon	Nimm davon	NONCLOSE	AR[SUBTYPE=SOURCE_ORIGIN]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chary	MC009	chary	Quellposten	Nimm den Posten aus der Quelle	NONCLOSE	AR+Y	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chckhal	MC022	chckhal	Zielpassage	Führe ihn durch die Zielpassage	NONCLOSE	AL+CKH	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chckhy	MC035	chckhy	durchleiten	Leite den Posten hindurch	NONCLOSE	Y+CKH	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chdal	MC001	chdal	Zieltransfer	Führe ihn zum Ziel über	NONCLOSE	AL+CHED_TRANSFER	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chdy	MC074	chdy	überführen	Führe den Posten über	NONCLOSE	Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
cheal	MC154	al	dorthin	Führe ihn dorthin	NONCLOSE	AL[SUBTYPE=TARGET_ADDRESS]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chealror	MC146	chealror	Zielbereitung	Stelle ihn am Zielgefäß bereit	NONCLOSE	AL+OR	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
checthy	MC161	checthy	bereit	Halte ihn bereit	NONCLOSE	Y+CTH	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chedain	MC145	chedain	Anteilstransfer	Führe einen Anteil über	NONCLOSE	AIN+CHED_TRANSFER	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chedchy	MC064	chedchy	Postentransfer	Führe den aktuellen Posten über	NONCLOSE	Y+CHED_TRANSFER[SUBTYPE=EXPANDED_TRANSFER_FORM]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chedy	MC074	chdy	überführen	Führe den Posten über	NONCLOSE	Y+CHED_TRANSFER[SUBTYPE=SHORT_TRANSFER_FORM]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
cheedar	MC042	cheedar	Quelltransfer	Führe ihn von der Quelle über	NONCLOSE	AR+CHED_TRANSFER	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
cheedy	MC128	cheedy	kurz absetzen	Lass ihn kurz absetzen	TERMINAL	E_GRADE+DY+SHED[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
cheeety	MC094	cheeety	Vollteil	Nimm den ganzen bezeichneten Teil	NONCLOSE	E_GRADE+TY	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
cheeky	MC032	cheeky	länger bearbeiten	Bearbeite ihn länger	NONCLOSE	E_GRADE+Y+CHK[GRADE=EE_LONG][SUBTYPE=GENERAL_LONG_ADJUSTMENT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
cheey	MC119	cheey	Klarlauf	Nimm den klaren Ablauf	NONCLOSE	W_MC119	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
cheky	MC147	cheky	kurz wärmen	Wärme ihn kurz	NONCLOSE	E_GRADE+Y+CHK[GRADE=E_SHORT]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
cheol	MC153	cheol	weiter	Arbeite weiter	NONCLOSE	OL[SUBTYPE=PLAIN_CONTINUATION]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
ches	MC152	ches	teilen	Teile den Posten	NONCLOSE	W_MC152	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chety	MC086	chety	Teil	Nimm den bezeichneten Teil	NONCLOSE	TY	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chey	MC123	chey	dies	Halte diesen Posten aktiv	NONCLOSE	Y	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chkain	MC105	chkain	Portion	Nimm eine Portion	NONCLOSE	AIN[SUBTYPE=GENERAL_PORTION]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chkeedy	MC110	chkeedy	Langwärmen	Wärme ihn lange	TERMINAL	E_GRADE+DY+CHK[GRADE=EE_LONG]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chkeey	MC166	chkeey	Langwärmen	Wärme ihn lange	NONCLOSE	E_GRADE+Y+CHK[GRADE=EE_LONG][SUBTYPE=LONG_WARMING]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
chldaiin	MC144	chldaiin	Sollabsetzung	Lass ihn bis zum Sollstand absetzen	NONCLOSE	AIIN[SUBTYPE=SETTLING_MEASURE]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
choky	MC026	choky	einsetzen	Setze den Posten ein	NONCLOSE	OK+Y[SUBTYPE=SET_CURRENT_ITEM]	Oberfläche eindeutig zur registrierten Karte; dann Kurzhandlung und Scope lesen.
