selector_id	base_minimal_recipe	grade_instruction	default_master_card_id	default_form	selected_master_card_id	selected_form	selected_short_value_de	selected_imperative_de	teaching_rule_de
SELECT_MC005	F_CHED_TRANSFER+F_DY+F_OK	NO_GRADE	MC088	qokchdy	MC005	okchedy	vorigen Posten überführen	Führe den vorigen Posten über	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC016	F_OL	NO_GRADE	MC153	cheol	MC016	rol	Anschluss	Schließe am nächsten Abschnitt an	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC134	F_OL	NO_GRADE	MC153	cheol	MC134	qolky	Weiterweg	Führe auf dem Weg weiter	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC166	F_CHK+F_E_GRADE+F_Y	EE_LONG	MC032	cheeky	MC166	chkeey	Langwärmen	Wärme ihn lange	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC172	F_IIN	NO_GRADE	MC033	oiiin	MC172	daiiin	Endstufe	Stelle die Endstufe ein	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC144	F_AIIN	NO_GRADE	MC039	aiin	MC144	chldaiin	Sollabsetzung	Lass ihn bis zum Sollstand absetzen	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC078	F_AL+F_Y	NO_GRADE	MC046	raly	MC078	olsaly	Zwischenziel	Führe zum Zwischenziel	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC089	F_AR	NO_GRADE	MC055	char	MC089	skar	Quellausguss	Gieße ihn von der Quellseite zu	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC056	F_AL	NO_GRADE	MC154	al	MC056	ral	Zielmarke	Halte die Zielmarke ein	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC067	F_CHED_TRANSFER+F_DY+F_OT	NO_GRADE	MC057	otchedy	MC067	otchdy	Nachtransfer	Führe ihn danach über	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC064	F_CHED_TRANSFER+F_Y	NO_GRADE	MC074	chdy	MC064	chedchy	Postentransfer	Führe den aktuellen Posten über	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC066	F_L	NO_GRADE	MC065	ls	MC066	lcheey	Klarabzug	Ziehe den klaren Anteil ab	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC137	F_CTH+F_E_GRADE+F_Y	E_SHORT	MC073	qcthey	MC137	shecthy	Kurzvorbereitung	Bereite ihn kurz vor	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC106	F_E_GRADE+F_OL	E_SHORT	MC076	dsheol	MC106	teol	kurz weiterführen	Führe ihn kurz weiter	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
SELECT_MC127	F_CHED_TRANSFER+F_L	NO_GRADE	MC155	lchedy	MC127	lched	Abführung	Führe ihn ab	bei diesem engeren Bedeutungszusatz die gelernte Nichtstandardform wählen
