event_id	record_unit_id	page	statement_id	field_id	visible_owner	owner_reset_or_break	owner_reset_rule	source_short_value_de	terminal_scope	source_key	predicted_master_card_id	expected_master_card_id	forward_identity_match	minimal_dictionary_recipe	grade_instruction	form_selector	exact_identity_recipe	canonical_forward_surface	observed_visible_surface	surface_relation	reverse_decoded_master_card_id	reverse_identity_match	dictionary_reading_de
E101	B1	f81v	B1-S001	F021	gemeinsames zweireihiges Figuren-/Beckenfeld	YES	RECORD_RESET;CLEAR_OWNER_ACTIVE_TARGET_PREVIOUS	kurz einwirken	TERMINAL	kurz einwirken|TERMINAL	MC083	MC083	YES	F_DY+F_E_GRADE+F_OK	E_SHORT	UNIQUE_RECIPE	OK+E_GRADE+DY[GRADE=E_SHORT]	qokedy	qokedy	CANONICAL	MC083	YES	Lass ihn kurz einwirken
E102	B1	f81v	B1-S002	F022	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	SAME_LOCAL_OWNER_LEDGER_CONTINUATION	bemessen	NONCLOSE	bemessen|NONCLOSE	MC120	MC120	YES	F_AIIN+F_OK	NO_GRADE	UNIQUE_RECIPE	OK+AIIN	okaiin	okaiin	CANONICAL	MC120	YES	Messe den Posten ab
E103	B1	f81v	B1-S002	F022	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	Beckenlauf	NONCLOSE	Beckenlauf|NONCLOSE	MC023	MC023	YES	F_AIR+F_K_BINDER	NO_GRADE	UNIQUE_RECIPE	AIR+K_BINDER	kair	kair	CANONICAL	MC023	YES	Führe durch den Beckenlauf
E104	B1	f81v	B1-S002	F022	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	dorthin einsetzen	NONCLOSE	dorthin einsetzen|NONCLOSE	MC040	MC040	YES	F_AL+F_OK	NO_GRADE	UNIQUE_RECIPE	OK+AL	okal	okal	CANONICAL	MC040	YES	Setze ihn dort ein
E105	B1	f81v	B1-S002	F022	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	davon	NONCLOSE	davon|NONCLOSE	MC055	MC055	YES	F_AR	NO_GRADE	DEFAULT_FOR_RECIPE	AR[SUBTYPE=SOURCE_ORIGIN]	char	sar	REGISTERED_ALLOGRAPH	MC055	YES	Nimm davon
E106	B1	f81v	B1-S002	F022	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	weiter	NONCLOSE	weiter|NONCLOSE	MC153	MC153	YES	F_OL	NO_GRADE	DEFAULT_FOR_RECIPE	OL[SUBTYPE=PLAIN_CONTINUATION]	cheol	ol	REGISTERED_ALLOGRAPH	MC153	YES	Arbeite weiter
E107	B1	f81v	B1-S002	F022	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	Portion	NONCLOSE	Portion|NONCLOSE	MC105	MC105	YES	F_AIN	NO_GRADE	UNIQUE_RECIPE	AIN[SUBTYPE=GENERAL_PORTION]	chkain	kain	REGISTERED_ALLOGRAPH	MC105	YES	Nimm eine Portion
E108	B1	f81v	B1-S002	F022	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	weiterer Anteil	NONCLOSE	weiterer Anteil|NONCLOSE	MC097	MC097	YES	F_AIN+F_OL	NO_GRADE	UNIQUE_RECIPE	OL+AIN	olkain	olkain	CANONICAL	MC097	YES	Nimm einen weiteren Anteil
E109	B1	f81v	B1-S002	F022	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	dorthin	NONCLOSE	dorthin|NONCLOSE	MC154	MC154	YES	F_AL	NO_GRADE	DEFAULT_FOR_RECIPE	AL[SUBTYPE=TARGET_ADDRESS]	al	al	CANONICAL	MC154	YES	Führe ihn dorthin
E110	B1	f81v	B1-S002	F022	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	weiter	NONCLOSE	weiter|NONCLOSE	MC153	MC153	YES	F_OL	NO_GRADE	DEFAULT_FOR_RECIPE	OL[SUBTYPE=PLAIN_CONTINUATION]	cheol	ol	REGISTERED_ALLOGRAPH	MC153	YES	Arbeite weiter
E111	B1	f81v	B1-S002	F022	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	Anschluss	NONCLOSE	Anschluss|NONCLOSE	MC016	MC016	YES	F_OL	NO_GRADE	SELECT_MC016	OL[SUBTYPE=CONNECTION_CONTINUATION]	rol	rol	CANONICAL	MC016	YES	Schließe am nächsten Abschnitt an
E112	B1	f81v	B1-S002	F022	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	Zusatz	NONCLOSE	Zusatz|NONCLOSE	MC012	MC012	YES	W_MC012	NO_GRADE	UNIQUE_RECIPE	W_MC012	dl	dl	CANONICAL	MC012	YES	Gib den Zusatz zu
E113	B1	f81v	B1-S002	F023	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	SAME_LOCAL_OWNER_LEDGER_CONTINUATION	derselbe Ansatz	NONCLOSE	derselbe Ansatz|NONCLOSE	MC157	MC157	YES	F_OL+F_OR	NO_GRADE	UNIQUE_RECIPE	OL+OR	cholor	olor	REGISTERED_ALLOGRAPH	MC157	YES	Verwende denselben Ansatz weiter
E114	B1	f81v	B1-S002	F023	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	weiter	NONCLOSE	weiter|NONCLOSE	MC153	MC153	YES	F_OL	NO_GRADE	DEFAULT_FOR_RECIPE	OL[SUBTYPE=PLAIN_CONTINUATION]	cheol	ol	REGISTERED_ALLOGRAPH	MC153	YES	Arbeite weiter
E115	B1	f81v	B1-S002	F023	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	Kurze Zielpassage	NONCLOSE	Kurze Zielpassage|NONCLOSE	MC058	MC058	YES	F_AL+F_CKH+F_E_GRADE	E_SHORT	UNIQUE_RECIPE	AL+E_GRADE+CKH[GRADE=E_SHORT]	sheckhal	sheckhal	CANONICAL	MC058	YES	Führe ihn kurz durch die Zielpassage
E116	B1	f81v	B1-S002	F023	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	Sollmaß	NONCLOSE	Sollmaß|NONCLOSE	MC039	MC039	YES	F_AIIN	NO_GRADE	DEFAULT_FOR_RECIPE	AIIN[SUBTYPE=GENERAL_MEASURE]	aiin	daiin	REGISTERED_ALLOGRAPH	MC039	YES	Arbeite nach dem vorgeschriebenen Maß
E117	B1	f81v	B1-S002	F023	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	Langer Zieleinsatz	NONCLOSE	Langer Zieleinsatz|NONCLOSE	MC096	MC096	YES	F_AL+F_E_GRADE+F_OK	EE_LONG	UNIQUE_RECIPE	OK+AL+E_GRADE	qokeedal	qokeedal	CANONICAL	MC096	YES	Setze ihn lange am Ziel ein
E118	B1	f81v	B1-S002	F023	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	Sollmaß	NONCLOSE	Sollmaß|NONCLOSE	MC039	MC039	YES	F_AIIN	NO_GRADE	DEFAULT_FOR_RECIPE	AIIN[SUBTYPE=GENERAL_MEASURE]	aiin	daiin	REGISTERED_ALLOGRAPH	MC039	YES	Arbeite nach dem vorgeschriebenen Maß
E119	B1	f81v	B1-S002	F023	gemeinsames zweireihiges Figuren-/Beckenfeld	NO	WITHIN_FIELD_SAME_OWNER	durchleiten	NONCLOSE	durchleiten|NONCLOSE	MC035	MC035	YES	F_CKH+F_Y	NO_GRADE	UNIQUE_RECIPE	Y+CKH	chckhy	chckhy	CANONICAL	MC035	YES	Leite den Posten hindurch
